DA,curr_acc,tot_acc,score,Marginalization Group
13470342,1865,65635,0.4375,1
13470319,385,66095,0.5,2
13470188,50,61970,0.5625,2
13470100,70,73355,0.5,2
13470196,1130,72515,0.5,2
13468004,3725,97585,0.625,3
13468555,3185,94020,0.5625,2
13468441,3900,81965,0.5,2
13468969,3840,80170,0.625,3
13469127,3570,88835,0.5,2
13452196,340,56635,0.625,3
13449998,1565,90755,0.75,4
13449611,1480,92885,0.5,2
30060705,1510,115330,0.875,5
13449587,1465,101975,0.6875,3
13449160,1520,110375,0.875,5
13448818,1565,112180,0.75,4
30020922,285,94665,0.75,4
13448509,340,90665,0.6875,3
13459307,145,40820,0.8125,5
13448708,285,89865,0.6875,3
13453654,345,66430,0.5625,2
13453357,450,59305,0.5,2
13458712,145,40320,0.6875,3
13460410,685,49985,0.5,2
13461363,420,50865,0.375,1
13461424,120,56445,0.4375,1
13460395,605,63905,0.5,2
13458231,55,48575,0.5625,2
13456427,1885,67445,0.625,3
13451978,1280,209230,0.5,2
13452236,340,60700,0.5,2
13452556,0,49740,1.0,5
13452695,295,57620,0.8125,5
14048909,150,123260,0.625,3
13451045,1565,112310,0.875,5
13450522,1565,112735,0.5625,2
30092973,1475,113335,1.0,5
13453484,10380,248295,0.25,1
30096415,10305,263810,0.25,1
14065255,10055,263455,0.3125,1
13454019,0,273235,0.75,4
13453667,13075,257550,0.5,2
13454245,10310,254835,0.1875,1
13454450,10175,261570,0.25,1
13455051,10700,262940,0.3125,1
13455221,10700,247450,0.375,1
13448443,2285,147740,0.4375,1
13448532,2340,145005,0.6875,3
13449730,2160,157845,0.625,3
13450130,2080,139455,0.625,3
13450146,1340,168550,0.5,2
13450315,1325,165505,0.625,3
13450897,1465,175525,0.4375,1
13451529,735,180255,0.375,1
13451202,580,180115,0.5625,2
13451459,795,199320,0.5625,2
13452089,630,210365,0.5625,2
13453181,545,145655,0.8125,5
13453447,610,135710,0.875,5
13452886,60,115995,0.75,4
13452463,80,113595,0.875,5
13453142,140,110915,0.6875,3
13453751,6545,109830,0.4375,1
13467440,117770,585875,0.4375,1
13454927,136490,268855,0.1875,1
13455770,191045,367040,0.25,1
20042713,10320,250700,0.25,1
13454796,10030,223395,0.5,2
13454211,10285,214100,0.1875,1
30060781,9940,262145,0.4375,1
13453693,10090,212980,0.375,1
13454027,10320,238160,0.1875,1
13453191,9935,203755,0.375,1
20041363,10010,204395,0.4375,1
13467397,10380,113400,0.375,1
13467078,10585,120840,0.3125,1
13467758,10630,119065,0.4375,1
13467596,10660,119200,0.25,1
13468003,10965,115980,0.1875,1
13470641,4095,51615,0.6875,3
13470167,1060,72725,0.5,2
30097773,3830,88005,0.4375,1
13468766,3900,85365,0.5,2
13449354,1565,102240,0.9375,5
13453828,450,59635,0.5625,2
13459141,145,42260,0.75,4
30092081,145,50510,0.625,3
13460950,230,64575,0.3125,1
13452742,290,48690,0.625,3
30097568,250,124275,0.75,4
13450904,1510,95420,0.6875,3
13449114,2340,154055,0.625,3
13449446,2340,155520,0.625,3
13450639,1510,162360,0.5,2
13453130,140,116995,0.875,5
13452618,140,103625,0.6875,3
13453424,10380,219840,0.1875,1
14015402,56120,291785,0.6875,3
14043613,54435,306295,0.75,4
14015633,97410,325715,0.75,4
14015503,105885,307210,0.6875,3
13460685,98145,280205,0.625,3
