budget,size,seed,obj,acc,time,projects
200,0.005,0,3423.1620000000075,4518,32.8298761844635,"[21, 45, 60, 66]"
200,0.005,12,2751.554999999995,4018,29.77034616470337,"[21, 45, 79, 80]"
200,0.005,23,2598.1049999999905,3716,29.856855869293213,"[30, 45, 50, 79]"
200,0.005,34,2959.1379999999735,4251,32.02241253852844,"[26, 32, 45, 80]"
200,0.005,45,3423.1620000000075,4518,31.342793703079224,"[21, 45, 60, 66]"
200,0.005,56,3945.017999999982,5325,30.191716194152832,"[21, 60, 66, 73]"
200,0.005,67,3691.23600000001,4974,25.993531703948975,"[20, 22, 45, 60]"
200,0.005,78,3290.011000000006,4474,30.249629497528076,"[6, 13, 21, 45]"
200,0.005,89,3483.549999999994,4668,31.640689373016357,"[13, 45, 79, 80]"
200,0.005,90,3387.745999999992,4478,27.143102407455444,"[13, 50, 79, 80]"
200,0.01,0,3200.2729999999956,4146,58.98646354675293,"[15, 20, 45, 79]"
200,0.01,12,4105.9510000000155,5331,55.82624936103821,"[12, 13, 21, 22]"
200,0.01,23,4258.326000000025,5524,71.85779738426208,"[12, 13, 15, 16]"
200,0.01,34,4105.9510000000155,5331,58.52735757827759,"[12, 13, 21, 22]"
200,0.01,45,3329.413999999968,4540,55.66514492034912,"[13, 26, 32, 80]"
200,0.01,56,3691.23600000001,4974,67.70310163497925,"[20, 22, 45, 60]"
200,0.01,67,4258.326000000025,5524,55.03074932098389,"[12, 13, 15, 16]"
200,0.01,78,3483.549999999994,4668,63.85392189025879,"[13, 45, 79, 80]"
200,0.01,89,3659.783000000012,4979,79.44664549827576,"[13, 16, 60, 67]"
200,0.01,90,3969.0160000000124,5188,79.48807263374329,"[13, 45, 60, 67]"
200,0.03,0,4326.347000000007,5771,232.81049013137817,"[21, 22, 66, 68]"
200,0.03,12,4195.238000000019,5413,214.76638650894165,"[12, 13, 22, 60]"
200,0.03,23,4017.198000000015,5295,167.8433005809784,"[13, 15, 16, 79]"
200,0.03,34,4105.9510000000155,5331,220.22099471092224,"[12, 13, 21, 22]"
200,0.03,45,3985.260000000011,5067,252.52235460281372,"[13, 15, 16, 20]"
200,0.03,56,3985.260000000011,5067,159.45870971679688,"[13, 15, 16, 20]"
