budget,size,seed,obj,acc,time,projects
100,0.005,0,2016.1109999999953,2991,14.545490503311157,"[15, 79]"
100,0.005,12,2457.8310000000038,3617,19.44767928123474,"[15, 16]"
100,0.005,23,2375.6999999999916,3515,21.46528697013855,"[22, 60]"
100,0.005,34,2326.270999999997,3523,18.415069818496704,"[21, 22]"
100,0.005,45,2412.94300000001,3325,14.571568250656128,"[13, 15]"
100,0.005,56,1369.0239999999776,2272,20.18450403213501,"[30, 79]"
100,0.005,67,2457.8310000000038,3617,16.958806037902832,"[15, 16]"
100,0.005,78,2457.8310000000038,3617,27.455883502960205,"[15, 16]"
100,0.005,89,2375.6999999999916,3515,20.849192142486572,"[22, 60]"
100,0.005,90,1413.9609999999902,2459,18.127450942993164,"[21, 27]"
100,0.01,0,2326.270999999997,3523,41.15255928039551,"[21, 22]"
100,0.01,12,2375.6999999999916,3515,25.395639657974243,"[22, 60]"
100,0.01,23,2375.6999999999916,3515,41.7898051738739,"[22, 60]"
100,0.01,34,1653.6169999999856,2675,34.430561542510986,"[79, 80]"
100,0.01,45,2412.94300000001,3325,33.08938002586365,"[13, 15]"
100,0.01,56,2267.144999999997,3252,35.372907638549805,"[20, 60]"
100,0.01,67,2101.3349999999937,3117,24.79284691810608,"[12, 60]"
100,0.01,78,2267.144999999997,3252,45.83254361152649,"[20, 60]"
100,0.01,89,2720.5050000000047,3702,40.8327522277832,"[13, 60]"
100,0.01,90,2326.270999999997,3523,40.59446573257446,"[21, 22]"
100,0.02,0,2162.2489999999907,3207,74.76478052139282,"[60, 75]"
100,0.02,12,2099.87099999999,3133,68.23754787445068,"[21, 60]"
100,0.02,23,2375.6999999999916,3515,87.35447692871094,"[22, 60]"
100,0.02,34,2287.9689999999882,3415,71.74203729629517,"[60, 67]"
100,0.02,45,2457.8310000000038,3617,77.10020565986633,"[15, 16]"
100,0.02,56,2162.2489999999907,3207,80.8754415512085,"[60, 75]"
100,0.02,67,2720.5050000000047,3702,70.85631275177002,"[13, 60]"
100,0.02,78,2267.144999999997,3252,87.84682655334473,"[20, 60]"
100,0.02,89,2219.1409999999905,3238,81.55783343315125,"[60, 79]"
100,0.02,90,2326.270999999997,3523,72.0946593284607,"[21, 22]"
100,0.03,0,2720.5050000000047,3702,108.01238298416138,"[13, 60]"
100,0.03,12,2099.87099999999,3133,102.86998248100281,"[21, 60]"
100,0.03,23,2375.6999999999916,3515,120.85564708709717,"[22, 60]"
100,0.03,34,2287.9689999999882,3415,104.70850133895874,"[60, 67]"
100,0.03,45,1874.0589999999993,2951,122.27152180671692,"[51, 53]"
100,0.03,56,2162.2489999999907,3207,120.80421257019043,"[60, 75]"
100,0.03,67,2219.1409999999905,3238,113.794109582901,"[60, 79]"
100,0.03,78,2720.5050000000047,3702,118.45577955245972,"[13, 60]"
100,0.03,89,2267.144999999997,3252,128.8637809753418,"[20, 60]"
100,0.03,90,2326.270999999997,3523,110.7700092792511,"[21, 22]"
100,0.05,0,2326.270999999997,3523,211.22434186935425,"[21, 22]"
100,0.05,12,2099.87099999999,3133,179.5683572292328,"[21, 60]"
100,0.05,23,2375.6999999999916,3515,170.30467081069946,"[22, 60]"
100,0.05,34,2287.9689999999882,3415,196.7071554660797,"[60, 67]"
100,0.05,45,2457.8310000000038,3617,189.3324475288391,"[15, 16]"
100,0.05,56,2720.5050000000047,3702,212.20204043388367,"[13, 60]"
100,0.05,67,2326.270999999997,3523,189.64115190505981,"[21, 22]"
100,0.05,78,2720.5050000000047,3702,198.2967975139618,"[13, 60]"
100,0.05,89,2720.5050000000047,3702,195.4128119945526,"[13, 60]"
100,0.05,90,2326.270999999997,3523,196.41962337493896,"[21, 22]"
100,0.08,0,2720.5050000000047,3702,321.52889823913574,"[13, 60]"
100,0.08,12,2720.5050000000047,3702,278.8925588130951,"[13, 60]"
100,0.08,23,2375.6999999999916,3515,298.5544285774231,"[22, 60]"
100,0.08,34,2720.5050000000047,3702,323.74620175361633,"[13, 60]"
100,0.08,45,2720.5050000000047,3702,285.5985939502716,"[13, 60]"
100,0.08,56,2720.5050000000047,3702,270.9082224369049,"[13, 60]"
100,0.08,67,2720.5050000000047,3702,301.5643939971924,"[13, 60]"
100,0.08,78,2720.5050000000047,3702,347.3022463321686,"[13, 60]"
100,0.08,89,2375.6999999999916,3515,295.3125538825989,"[22, 60]"
100,0.08,90,2326.270999999997,3523,281.28868317604065,"[21, 22]"
100,0.1,0,1957.4329999999954,2949,369.41010451316833,"[15, 75]"
100,0.1,12,2720.5050000000047,3702,348.97060561180115,"[13, 60]"
100,0.1,23,2375.6999999999916,3515,389.3380627632141,"[22, 60]"
100,0.1,34,2720.5050000000047,3702,396.324339389801,"[13, 60]"
100,0.1,45,2720.5050000000047,3702,376.9645562171936,"[13, 60]"
100,0.1,56,2720.5050000000047,3702,328.5451240539551,"[13, 60]"
100,0.1,67,2720.5050000000047,3702,404.9013521671295,"[13, 60]"
100,0.1,78,2720.5050000000047,3702,419.2252082824707,"[13, 60]"
100,0.1,89,2720.5050000000047,3702,415.4007873535156,"[13, 60]"
100,0.1,90,2326.270999999997,3523,381.8020622730255,"[21, 22]"
200,0.005,0,2641.698999999997,3780,27.265372037887573,"[15, 79, 80, 82]"
200,0.005,12,3684.8910000000105,5008,25.976089239120483,"[15, 16, 50, 51]"
200,0.005,23,3599.710000000008,4749,43.46392273902893,"[13, 22, 58, 60]"
200,0.005,34,3286.6289999999844,4672,37.81224203109741,"[21, 22, 75, 80]"
200,0.005,45,3277.4090000000106,4323,29.459110021591187,"[13, 20, 32, 60]"
200,0.005,56,2088.507999999976,3099,30.224212169647217,"[51, 66, 78, 79]"
200,0.005,67,3732.401,5071,30.255192279815674,"[21, 22, 51, 66]"
200,0.005,78,3535.9160000000174,4932,35.62458777427673,"[15, 16, 22, 75]"
200,0.005,89,3989.018000000018,5253,34.84568238258362,"[13, 20, 22, 60]"
200,0.005,90,3995.6760000000104,5360,46.95799732208252,"[13, 21, 27, 60]"
200,0.01,0,4033.468999999981,5507,82.68922519683838,"[60, 66, 67, 68]"
200,0.01,12,2640.5759999999937,3812,55.69341707229614,"[22, 30, 60, 82]"
200,0.01,23,3550.3710000000065,4893,75.62189030647278,"[22, 50, 51, 60]"
200,0.01,34,3214.4819999999363,4679,81.32876420021057,"[26, 27, 32, 75]"
200,0.01,45,3711.2250000000167,4923,64.21306681632996,"[13, 15, 16, 78]"
200,0.01,56,3805.645000000004,4984,79.56695818901062,"[13, 20, 60, 79]"
200,0.01,67,4105.9510000000155,5331,55.90461325645447,"[12, 13, 21, 22]"
200,0.01,78,4326.347000000007,5771,70.60547685623169,"[21, 22, 66, 68]"
200,0.01,89,4247.346000000005,5516,60.35630655288696,"[13, 21, 22, 66]"
200,0.01,90,4326.347000000007,5771,83.33041000366211,"[21, 22, 66, 68]"
200,0.02,0,3599.803000000011,5097,132.1017713546753,"[12, 15, 16, 22]"
200,0.02,12,4326.347000000007,5771,133.44950151443481,"[21, 22, 66, 68]"
200,0.02,23,4233.696000000016,5312,191.37516117095947,"[13, 45, 50, 60]"
200,0.02,34,4326.347000000007,5771,127.09534096717834,"[21, 22, 66, 68]"
200,0.02,45,3969.0160000000124,5188,154.30682396888733,"[13, 45, 60, 67]"
200,0.02,56,3998.274000000014,5383,173.6974699497223,"[21, 22, 61, 66]"
200,0.02,67,4247.346000000005,5516,123.89811730384827,"[13, 21, 22, 66]"
200,0.02,78,4326.347000000007,5771,169.39967441558838,"[21, 22, 66, 68]"
200,0.02,89,4326.347000000007,5771,125.10258460044861,"[21, 22, 66, 68]"
200,0.02,90,4326.347000000007,5771,132.23610925674438,"[21, 22, 66, 68]"
200,0.03,0,4258.326000000025,5524,213.34008622169495,"[12, 13, 15, 16]"
200,0.03,12,3945.017999999982,5325,184.44294333457947,"[21, 60, 66, 73]"
200,0.03,23,3619.1370000000043,4963,246.83648872375488,"[15, 22, 60, 61]"
200,0.03,34,4021.3610000000026,5395,204.28567504882812,"[21, 27, 60, 66]"
200,0.03,45,3969.0160000000124,5188,210.98586869239807,"[13, 45, 60, 67]"
200,0.03,56,4326.347000000007,5771,328.2752363681793,"[21, 22, 66, 68]"
200,0.03,67,4247.346000000005,5516,186.05576705932617,"[13, 21, 22, 66]"
200,0.03,78,3945.017999999982,5325,284.61426877975464,"[21, 60, 66, 73]"
200,0.03,89,4247.346000000005,5516,216.15232467651367,"[13, 21, 22, 66]"
200,0.03,90,4326.347000000007,5771,195.53549456596375,"[21, 22, 66, 68]"
200,0.05,0,4247.346000000005,5516,423.2470009326935,"[13, 21, 22, 66]"
200,0.05,12,3447.163999999997,4877,380.4413516521454,"[21, 27, 60, 80]"
200,0.05,23,4326.347000000007,5771,355.91780257225037,"[21, 22, 66, 68]"
200,0.05,34,4021.3610000000026,5395,407.1928696632385,"[21, 27, 60, 66]"
200,0.05,45,3842.2660000000033,5249,385.4503183364868,"[21, 22, 53, 66]"
200,0.05,56,3936.2470000000158,5278,467.7862617969513,"[13, 22, 60, 61]"
200,0.05,67,4326.347000000007,5771,457.8097953796387,"[21, 22, 66, 68]"
200,0.05,78,3945.017999999982,5325,334.798091173172,"[21, 60, 66, 73]"
200,0.05,89,4021.3610000000026,5395,411.4394385814667,"[21, 27, 60, 66]"
200,0.05,90,4326.347000000007,5771,458.834344625473,"[21, 22, 66, 68]"
200,0.08,0,3969.0160000000124,5188,700.3281047344208,"[13, 45, 60, 67]"
200,0.08,12,4326.347000000007,5771,727.0498356819153,"[21, 22, 66, 68]"
200,0.08,23,3911.8140000000258,5491,707.6619510650635,"[15, 16, 21, 27]"
200,0.08,34,4326.347000000007,5771,550.8268618583679,"[21, 22, 66, 68]"
200,0.08,45,4199.5250000000215,5630,649.7467577457428,"[13, 15, 16, 22]"
200,0.08,56,4077.1400000000176,5367,810.3518581390381,"[13, 21, 22, 68]"
200,0.08,67,4326.347000000007,5771,668.9844779968262,"[21, 22, 66, 68]"
200,0.08,78,4326.347000000007,5771,753.9426591396332,"[21, 22, 66, 68]"
200,0.08,89,4326.347000000007,5771,666.4405422210693,"[21, 22, 66, 68]"
200,0.08,90,4326.347000000007,5771,1076.356130361557,"[21, 22, 66, 68]"
200,0.1,0,4326.347000000007,5771,1158.9266920089722,"[21, 22, 66, 68]"
200,0.1,12,4063.624000000009,5186,1141.6016216278076,"[12, 13, 60, 79]"
200,0.1,23,3865.426999999978,5351,1008.4598598480225,"[21, 26, 27, 60]"
200,0.1,34,4326.347000000007,5771,888.0995488166809,"[21, 22, 66, 68]"
200,0.1,45,4080.802000000016,5292,1005.7393820285797,"[12, 13, 60, 67]"
200,0.1,56,4195.238000000019,5413,1003.936849117279,"[12, 13, 22, 60]"
200,0.1,67,4326.347000000007,5771,1020.0806801319122,"[21, 22, 66, 68]"
200,0.1,78,4326.347000000007,5771,1609.7260482311249,"[21, 22, 66, 68]"
200,0.1,89,4247.346000000005,5516,1079.249026298523,"[13, 21, 22, 66]"
200,0.1,90,4105.9510000000155,5331,1490.132713317871,"[12, 13, 21, 22]"
400,0.005,0,5071.418999999996,6604,116.20738506317139,"[15, 16, 18, 20, 74, 75, 79, 80, 82]"
400,0.005,12,6235.329000000025,7892,73.50575876235962,"[15, 16, 21, 27, 45, 50, 51, 57]"
400,0.005,23,7510.424000000019,9399,56.762012004852295,"[6, 13, 21, 22, 45, 66, 68, 73]"
400,0.005,34,6186.6409999999705,8073,57.99057602882385,"[21, 22, 53, 66, 75, 78, 79, 80]"
400,0.005,45,5866.109000000022,7214,102.50297260284424,"[13, 15, 20, 22, 32, 50, 60, 75]"
