budget,size,seed,obj,acc,time,loss_bound,projects
100,0.005,0,2720.5050000000047,3702,17.111241579055786,5.1,"[13, 60]"
100,0.005,12,2720.5050000000047,3702,15.628326892852783,5.1,"[13, 60]"
100,0.005,23,2720.5050000000047,3702,16.20267367362976,5.1,"[13, 60]"
100,0.005,34,2720.5050000000047,3702,16.66204071044922,5.1,"[13, 60]"
100,0.005,45,2720.5050000000047,3702,16.91981029510498,5.1,"[13, 60]"
100,0.005,56,2720.5050000000047,3702,16.03911066055298,5.1,"[13, 60]"
100,0.005,67,2375.6999999999916,3515,15.275153636932373,5.1,"[22, 60]"
100,0.005,78,2720.5050000000047,3702,16.748979568481445,5.1,"[13, 60]"
100,0.005,89,2720.5050000000047,3702,16.350279569625854,5.1,"[13, 60]"
100,0.005,90,2258.041000000003,3069,16.9028000831604,5.1,"[13, 50]"
100,0.01,0,2720.5050000000047,3702,35.57686471939087,10.5,"[13, 60]"
100,0.01,12,2720.5050000000047,3702,36.58651638031006,10.5,"[13, 60]"
100,0.01,23,2720.5050000000047,3702,38.11709761619568,10.5,"[13, 60]"
100,0.01,34,2720.5050000000047,3702,40.64129161834717,10.5,"[13, 60]"
100,0.01,45,2287.9689999999882,3415,37.086825370788574,10.5,"[60, 67]"
100,0.01,56,2720.5050000000047,3702,42.99799060821533,10.5,"[13, 60]"
100,0.01,67,2720.5050000000047,3702,43.05783009529114,10.5,"[13, 60]"
100,0.01,78,2267.144999999997,3252,41.13599729537964,10.5,"[20, 60]"
100,0.01,89,2720.5050000000047,3702,44.365333557128906,10.5,"[13, 60]"
100,0.01,90,2720.5050000000047,3702,42.31497550010681,10.5,"[13, 60]"
100,0.03,0,2720.5050000000047,3702,128.14429831504822,31.5,"[13, 60]"
100,0.03,12,2720.5050000000047,3702,136.17282390594482,31.5,"[13, 60]"
100,0.03,23,2720.5050000000047,3702,96.36230206489563,31.5,"[13, 60]"
100,0.03,34,2720.5050000000047,3702,130.62574553489685,31.5,"[13, 60]"
100,0.03,45,2720.5050000000047,3702,122.45155024528503,31.5,"[13, 60]"
100,0.03,56,2720.5050000000047,3702,102.91878318786621,31.5,"[13, 60]"
100,0.03,67,2720.5050000000047,3702,131.94915223121643,31.5,"[13, 60]"
100,0.03,78,2720.5050000000047,3702,114.1357581615448,31.5,"[13, 60]"
100,0.03,89,2720.5050000000047,3702,122.00782489776611,31.5,"[13, 60]"
100,0.03,90,2720.5050000000047,3702,120.64737486839294,31.5,"[13, 60]"
100,0.05,0,2720.5050000000047,3702,183.7776744365692,52.8,"[13, 60]"
100,0.05,12,2720.5050000000047,3702,198.9630846977234,52.8,"[13, 60]"
100,0.05,23,2720.5050000000047,3702,190.29239201545715,52.8,"[13, 60]"
100,0.05,34,2720.5050000000047,3702,211.98316836357117,52.8,"[13, 60]"
100,0.05,45,2720.5050000000047,3702,202.0526943206787,52.8,"[13, 60]"
100,0.05,56,2720.5050000000047,3702,177.44467949867249,52.8,"[13, 60]"
100,0.05,67,2720.5050000000047,3702,199.88199973106384,52.8,"[13, 60]"
100,0.05,78,2720.5050000000047,3702,195.80439925193787,52.8,"[13, 60]"
100,0.05,89,2720.5050000000047,3702,214.89781093597412,52.8,"[13, 60]"
100,0.05,90,2720.5050000000047,3702,205.29801273345947,52.8,"[13, 60]"
100,0.08,0,2720.5050000000047,3702,284.70883440971375,84.6,"[13, 60]"
100,0.08,12,2720.5050000000047,3702,352.091436624527,84.6,"[13, 60]"
100,0.08,23,2720.5050000000047,3702,308.8789174556732,84.6,"[13, 60]"
100,0.08,34,2720.5050000000047,3702,318.46467089653015,84.6,"[13, 60]"
100,0.08,45,2720.5050000000047,3702,326.78031516075134,84.6,"[13, 60]"
100,0.08,56,2720.5050000000047,3702,306.1130394935608,84.6,"[13, 60]"
100,0.08,67,2720.5050000000047,3702,293.5702965259552,84.6,"[13, 60]"
100,0.08,78,2720.5050000000047,3702,274.7100303173065,84.6,"[13, 60]"
100,0.08,89,2720.5050000000047,3702,353.40000104904175,84.6,"[13, 60]"
100,0.08,90,2720.5050000000047,3702,312.82577657699585,84.6,"[13, 60]"
100,0.1,0,2720.5050000000047,3702,343.6919286251068,105.6,"[13, 60]"
100,0.1,12,2720.5050000000047,3702,364.2570013999939,105.6,"[13, 60]"
100,0.1,23,2720.5050000000047,3702,473.06897258758545,105.6,"[13, 60]"
100,0.1,34,2720.5050000000047,3702,411.9931161403656,105.6,"[13, 60]"
100,0.1,45,2720.5050000000047,3702,428.4703633785248,105.6,"[13, 60]"
100,0.1,56,2720.5050000000047,3702,372.87389183044434,105.6,"[13, 60]"
100,0.1,67,2720.5050000000047,3702,379.5417423248291,105.6,"[13, 60]"
100,0.1,78,2720.5050000000047,3702,350.4788827896118,105.6,"[13, 60]"
100,0.1,89,2720.5050000000047,3702,450.2291691303253,105.6,"[13, 60]"
100,0.1,90,2720.5050000000047,3702,461.3483877182007,105.6,"[13, 60]"
300,0.005,0,5814.744000000013,7298,68.13480043411255,5.1,"[12, 13, 21, 22, 27, 66]"
300,0.005,12,5546.132000000014,7125,49.77187442779541,5.1,"[12, 21, 22, 45, 66, 68]"
300,0.005,23,5824.031000000003,7515,50.52887988090515,5.1,"[21, 22, 45, 66, 68, 73]"
300,0.005,34,5489.173000000032,7031,54.17113995552063,5.1,"[12, 13, 27, 60, 66, 67]"
300,0.005,45,5814.744000000013,7298,55.04280877113342,5.1,"[12, 13, 21, 22, 27, 66]"
300,0.005,56,5824.031000000003,7515,54.69687342643738,5.1,"[21, 22, 45, 66, 68, 73]"
300,0.005,67,5138.711999999994,6669,48.877296686172485,5.1,"[15, 16, 21, 25, 66, 73]"
300,0.005,78,5990.382000000038,7479,68.77708148956299,5.1,"[13, 15, 21, 27, 53, 66]"
300,0.005,89,5058.837000000007,6518,51.4643771648407,5.1,"[12, 13, 22, 60, 72, 73]"
300,0.005,90,5533.310000000012,6946,50.540348291397095,5.1,"[12, 13, 45, 60, 66, 67]"
300,0.01,0,5883.942000000012,7539,126.37805104255676,10.5,"[13, 20, 26, 27, 32, 60]"
300,0.01,12,6094.034000000023,7602,97.097341299057,10.5,"[13, 21, 22, 45, 66, 68]"
300,0.01,23,5990.382000000038,7479,138.0361328125,10.5,"[13, 15, 21, 27, 53, 66]"
300,0.01,34,5737.173999999975,7652,95.88259863853455,10.5,"[15, 21, 26, 27, 32, 75]"
300,0.01,45,6184.258000000003,7964,143.1452136039734,10.5,"[13, 21, 26, 27, 32, 60]"
300,0.01,56,5990.382000000038,7479,110.90246796607971,10.5,"[13, 15, 21, 27, 53, 66]"
300,0.01,67,5442.993000000015,6782,98.64422535896301,10.5,"[12, 13, 20, 22, 45, 60]"
300,0.01,78,6099.00000000004,7665,139.19292759895325,10.5,"[13, 15, 16, 21, 27, 66]"
300,0.01,89,5946.08100000002,7562,118.79831862449646,10.5,"[12, 13, 60, 66, 67, 68]"
300,0.01,90,5377.015000000014,6873,108.3103380203247,10.5,"[12, 13, 21, 22, 27, 45]"
300,0.03,0,6158.131000000023,7840,429.0252435207367,31.5,"[13, 21, 22, 66, 68, 73]"
300,0.03,12,5994.023999999999,7765,383.7248754501343,31.5,"[13, 21, 22, 26, 27, 32]"
300,0.03,23,6094.034000000023,7602,662.1204166412354,31.5,"[13, 21, 22, 45, 66, 68]"
300,0.03,34,5737.173999999975,7652,304.5745220184326,31.5,"[15, 21, 26, 27, 32, 75]"
300,0.03,45,5737.173999999975,7652,615.4572303295135,31.5,"[15, 21, 26, 27, 32, 75]"
300,0.03,56,5806.506000000014,7342,389.1305561065674,31.5,"[13, 21, 22, 27, 66, 75]"
300,0.03,67,5537.263000000008,6958,339.61160016059875,31.5,"[13, 22, 45, 50, 60, 68]"
300,0.03,78,5848.988000000019,7615,399.2947759628296,31.5,"[13, 21, 22, 26, 27, 68]"
300,0.03,89,6142.412000000033,7782,300.01372814178467,31.5,"[13, 21, 22, 27, 66, 68]"
300,0.03,90,6094.034000000023,7602,359.72622871398926,31.5,"[13, 21, 22, 45, 66, 68]"
300,0.05,0,5802.967999999977,7762,995.2638595104218,52.8,"[21, 22, 26, 27, 32, 68]"
300,0.05,12,6094.034000000023,7602,652.7935004234314,52.8,"[13, 21, 22, 45, 66, 68]"
300,0.05,23,5737.173999999975,7652,729.5710444450378,52.8,"[15, 21, 26, 27, 32, 75]"
300,0.05,34,5769.520000000004,7398,1017.3418803215027,52.8,"[13, 15, 21, 26, 27, 32]"
300,0.05,45,6094.034000000023,7602,1030.4447002410889,52.8,"[13, 21, 22, 45, 66, 68]"
300,0.05,56,6184.258000000003,7964,1065.9406189918518,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,67,6094.034000000023,7602,1874.4612092971802,52.8,"[13, 21, 22, 45, 66, 68]"
300,0.05,78,6094.034000000023,7602,1277.5408158302307,52.8,"[13, 21, 22, 45, 66, 68]"
300,0.05,89,6142.412000000033,7782,1953.5354013442993,52.8,"[13, 21, 22, 27, 66, 68]"
300,0.05,90,5883.942000000012,7539,1521.6347064971924,52.8,"[13, 20, 26, 27, 32, 60]"
300,0.08,0,6094.034000000023,7602,2704.6614117622375,84.6,"[13, 21, 22, 45, 66, 68]"
300,0.08,12,6094.034000000023,7602,4022.524555683136,84.6,"[13, 21, 22, 45, 66, 68]"
300,0.08,23,6142.412000000033,7782,3061.5335631370544,84.6,"[13, 21, 22, 27, 66, 68]"
300,0.08,34,6142.412000000033,7782,2066.877878665924,84.6,"[13, 21, 22, 27, 66, 68]"
300,0.08,45,6094.034000000023,7602,3754.731332540512,84.6,"[13, 21, 22, 45, 66, 68]"
300,0.08,56,5990.382000000038,7479,2587.879006385803,84.6,"[13, 15, 21, 27, 53, 66]"
300,0.08,67,6142.412000000033,7782,4225.567594528198,84.6,"[13, 21, 22, 27, 66, 68]"
300,0.08,78,6094.034000000023,7602,4113.009906768799,84.6,"[13, 21, 22, 45, 66, 68]"
300,0.08,89,6094.034000000023,7602,5043.979594945908,84.6,"[13, 21, 22, 45, 66, 68]"
300,0.08,90,6094.034000000023,7602,2679.6323025226593,84.6,"[13, 21, 22, 45, 66, 68]"
300,0.1,0,6094.034000000023,7602,5472.420204162598,105.6,"[13, 21, 22, 45, 66, 68]"
300,0.1,12,6142.412000000033,7782,3420.554285287857,105.6,"[13, 21, 22, 27, 66, 68]"
300,0.1,23,6142.412000000033,7782,6341.027826786041,105.6,"[13, 21, 22, 27, 66, 68]"
300,0.1,34,6184.258000000003,7964,4451.84358215332,105.6,"[13, 21, 26, 27, 32, 60]"
300,0.1,45,6184.258000000003,7964,3494.576060771942,105.6,"[13, 21, 26, 27, 32, 60]"
300,0.1,56,6099.00000000004,7665,8518.219591379166,105.6,"[13, 15, 16, 21, 27, 66]"
300,0.1,67,6094.034000000023,7602,6249.608875274658,105.6,"[13, 21, 22, 45, 66, 68]"
300,0.1,78,6094.034000000023,7602,6166.200577735901,105.6,"[13, 21, 22, 45, 66, 68]"
300,0.1,89,6029.560000000014,7475,4958.959549188614,105.6,"[15, 21, 22, 27, 66, 68]"
300,0.1,90,6158.131000000023,7840,12014.068047761917,105.6,"[13, 21, 22, 66, 68, 73]"
500,0.005,0,7210.672000000033,8909,204.39094495773315,5.1,"[12, 13, 16, 21, 22, 25, 27, 34, 45, 66]"
500,0.005,12,7510.866000000005,9117,162.9797077178955,5.1,"[12, 13, 15, 45, 57, 60, 61, 66, 67, 68]"
500,0.005,23,8680.967000000026,10691,244.4717893600464,5.1,"[12, 13, 16, 21, 22, 45, 66, 68, 73, 79]"
500,0.005,34,8387.516000000016,10281,231.9283127784729,5.1,"[12, 13, 20, 22, 26, 32, 45, 60, 75, 80]"
500,0.005,45,8890.26500000002,10939,171.97849035263062,5.1,"[12, 13, 21, 22, 45, 66, 68, 72, 73, 80]"
500,0.005,56,8680.967000000026,10691,162.26264810562134,5.1,"[12, 13, 16, 21, 22, 45, 66, 68, 73, 79]"
500,0.005,67,7227.478000000014,8870,216.16395115852356,5.1,"[13, 15, 16, 21, 25, 45, 57, 66, 73, 75]"
500,0.005,78,8518.88100000003,10469,266.5851686000824,5.1,"[13, 15, 16, 21, 25, 26, 27, 50, 66, 67, 79]"
500,0.005,89,8351.281000000003,10492,158.87366914749146,5.1,"[12, 13, 45, 60, 66, 67, 68, 72, 73, 80]"
500,0.005,90,7544.63700000001,9046,150.40550804138184,5.1,"[12, 13, 15, 20, 22, 45, 57, 60, 68, 79]"
500,0.01,0,8157.122000000036,10257,532.7972135543823,10.5,"[12, 13, 21, 22, 26, 27, 32, 35, 45, 82]"
500,0.01,12,9116.503000000032,11129,355.3419942855835,10.5,"[12, 13, 16, 21, 22, 26, 32, 45, 66, 68]"
500,0.01,23,9140.88600000003,11323,262.7324438095093,10.5,"[12, 13, 16, 21, 22, 26, 27, 32, 45, 68]"
500,0.01,34,9798.784000000032,11845,225.7233328819275,10.5,"[12, 13, 15, 16, 21, 26, 27, 32, 66, 75]"
500,0.01,45,9817.63900000003,11881,447.44586277008057,10.5,"[13, 15, 16, 21, 26, 27, 28, 32, 50, 66, 75]"
500,0.01,56,8975.54600000003,10826,327.61150646209717,10.5,"[13, 15, 16, 21, 22, 27, 66, 75, 79, 80, 82]"
500,0.01,67,8455.585000000015,10401,616.401130437851,10.5,"[12, 13, 21, 22, 45, 66, 68, 73, 75, 79]"
500,0.01,78,9116.238000000027,11122,813.878128528595,10.5,"[6, 13, 15, 16, 21, 26, 27, 32, 50, 66, 82]"
500,0.01,89,9140.88600000003,11323,460.95791459083557,10.5,"[12, 13, 16, 21, 22, 26, 27, 32, 45, 68]"
500,0.01,90,9044.738000000032,11175,253.79683756828308,10.5,"[12, 13, 15, 21, 26, 27, 32, 53, 67, 75]"
500,0.03,0,9598.342000000026,11732,2199.9471526145935,31.5,"[13, 15, 21, 22, 26, 27, 32, 45, 50, 68]"
500,0.03,12,9537.317000000032,11671,4451.642040491104,31.5,"[12, 13, 15, 21, 22, 26, 27, 32, 45, 68]"
500,0.03,23,9384.786000000022,11645,9584.783708810806,31.5,"[13, 15, 16, 21, 26, 27, 35, 50, 75, 79, 80]"
500,0.03,34,9817.63900000003,11881,1051.4124267101288,31.5,"[13, 15, 16, 21, 26, 27, 28, 32, 50, 66, 75]"
500,0.03,45,9695.386000000022,11783,1648.0125637054443,31.5,"[13, 15, 16, 21, 27, 50, 66, 67, 68, 79, 80]"
500,0.03,56,9506.336000000018,11467,616.5717508792877,31.5,"[13, 15, 16, 21, 22, 27, 50, 66, 75, 79, 80]"
500,0.03,67,9362.599000000015,11260,540.4677295684814,31.5,"[12, 13, 15, 21, 22, 27, 45, 66, 68, 80]"
500,0.03,78,9625.414000000008,11621,990.397394657135,31.5,"[13, 15, 16, 21, 22, 26, 27, 50, 61, 66, 80]"
500,0.03,89,9324.503000000022,11373,1628.4463875293732,31.5,"[13, 15, 16, 21, 27, 35, 50, 66, 75, 79, 80]"
500,0.03,90,9753.404000000013,11826,758.1836097240448,31.5,"[13, 15, 16, 21, 22, 27, 50, 66, 68, 79, 80]"
500,0.05,0,9753.404000000013,11826,3806.7780997753143,52.8,"[13, 15, 16, 21, 22, 27, 50, 66, 68, 79, 80]"
500,0.05,12,9598.342000000026,11732,2884.2705206871033,52.8,"[13, 15, 21, 22, 26, 27, 32, 45, 50, 68]"
500,0.05,23,9598.342000000026,11732,16173.614325523376,52.8,"[13, 15, 21, 22, 26, 27, 32, 45, 50, 68]"
500,0.05,34,9598.342000000026,11732,34259.57479548454,52.8,"[13, 15, 21, 22, 26, 27, 32, 45, 50, 68]"
500,0.05,45,9598.342000000026,11732,3435.9563937187195,52.8,"[13, 15, 21, 22, 26, 27, 32, 45, 50, 68]"
500,0.05,56,9598.342000000026,11732,5659.125131368637,52.8,"[13, 15, 21, 22, 26, 27, 32, 45, 50, 68]"
500,0.05,67,9753.404000000013,11826,10066.984671115875,52.8,"[13, 15, 16, 21, 22, 27, 50, 66, 68, 79, 80]"
