budget,size,seed,obj,acc,time,loss_bound,projects
100,0.005,0,1897.724999999995,2909,21.434680938720703,5.1,"[45, 79]"
100,0.005,12,1897.724999999995,2909,15.823667049407959,5.1,"[45, 79]"
100,0.005,23,1829.094000000001,2850,18.621173858642578,5.1,"[6, 45]"
100,0.005,34,1579.0910000000003,2521,15.983230590820312,5.1,"[45, 80]"
100,0.005,45,1897.724999999995,2909,19.434003114700317,5.1,"[45, 79]"
100,0.005,56,2267.144999999997,3252,16.134854316711426,5.1,"[20, 60]"
100,0.005,67,1579.0910000000003,2521,16.84894371032715,5.1,"[45, 80]"
100,0.005,78,1851.3239999999969,2691,19.22660255432129,5.1,"[13, 21]"
100,0.005,89,2104.399999999994,2977,18.53443694114685,5.1,"[13, 79]"
100,0.005,90,1653.6169999999856,2675,16.69435715675354,5.1,"[79, 80]"
100,0.01,0,1931.9199999999928,2739,38.583325147628784,10.5,"[15, 20]"
100,0.01,12,1278.5049999999846,2164,47.26174879074097,10.5,"[30, 51]"
100,0.01,23,1509.2719999999863,2457,38.54295492172241,10.5,"[51, 75]"
100,0.01,34,2326.270999999997,3523,36.98706340789795,10.5,"[21, 22]"
100,0.01,45,1874.0589999999993,2951,40.84574747085571,10.5,"[51, 53]"
100,0.01,56,2375.6999999999916,3515,42.6160409450531,10.5,"[22, 60]"
100,0.01,67,2720.5050000000047,3702,30.640064239501953,10.5,"[13, 60]"
100,0.01,78,2258.041000000003,3069,39.21214318275452,10.5,"[13, 50]"
100,0.01,89,2720.5050000000047,3702,44.233718395233154,10.5,"[13, 60]"
100,0.01,90,2287.9689999999882,3415,40.66625428199768,10.5,"[60, 67]"
100,0.03,0,2267.144999999997,3252,128.77965927124023,31.5,"[20, 60]"
100,0.03,12,2720.5050000000047,3702,128.15729331970215,31.5,"[13, 60]"
100,0.03,23,2720.5050000000047,3702,100.3935375213623,31.5,"[13, 60]"
100,0.03,34,2258.041000000003,3069,119.33787608146667,31.5,"[13, 50]"
100,0.03,45,2412.94300000001,3325,111.37217807769775,31.5,"[13, 15]"
100,0.03,56,2457.8310000000038,3617,98.24625897407532,31.5,"[15, 16]"
100,0.03,67,2412.94300000001,3325,110.21823167800903,31.5,"[13, 15]"
100,0.03,78,2720.5050000000047,3702,109.46826839447021,31.5,"[13, 60]"
100,0.03,89,2720.5050000000047,3702,115.73950505256653,31.5,"[13, 60]"
100,0.03,90,2720.5050000000047,3702,111.36459684371948,31.5,"[13, 60]"
100,0.05,0,2720.5050000000047,3702,201.1163272857666,52.8,"[13, 60]"
100,0.05,12,2720.5050000000047,3702,195.00381994247437,52.8,"[13, 60]"
100,0.05,23,1931.9199999999928,2739,208.5398166179657,52.8,"[15, 20]"
100,0.05,34,2412.94300000001,3325,182.9966802597046,52.8,"[13, 15]"
100,0.05,45,2267.144999999997,3252,180.9134030342102,52.8,"[20, 60]"
100,0.05,56,2720.5050000000047,3702,174.06054210662842,52.8,"[13, 60]"
100,0.05,67,2720.5050000000047,3702,185.7722418308258,52.8,"[13, 60]"
100,0.05,78,2267.144999999997,3252,182.09006929397583,52.8,"[20, 60]"
100,0.05,89,2457.8310000000038,3617,202.96528100967407,52.8,"[15, 16]"
100,0.05,90,2457.8310000000038,3617,191.8197422027588,52.8,"[15, 16]"
100,0.08,0,2267.144999999997,3252,266.2081489562988,84.6,"[20, 60]"
100,0.08,12,2720.5050000000047,3702,313.377991437912,84.6,"[13, 60]"
100,0.08,23,2412.94300000001,3325,292.8804717063904,84.6,"[13, 15]"
100,0.08,34,2457.8310000000038,3617,294.93108010292053,84.6,"[15, 16]"
100,0.08,45,2412.94300000001,3325,297.60732674598694,84.6,"[13, 15]"
100,0.08,56,2720.5050000000047,3702,294.8712549209595,84.6,"[13, 60]"
100,0.08,67,2457.8310000000038,3617,318.3099853992462,84.6,"[15, 16]"
100,0.08,78,2720.5050000000047,3702,283.2591698169708,84.6,"[13, 60]"
100,0.08,89,2267.144999999997,3252,300.9557490348816,84.6,"[20, 60]"
100,0.08,90,2457.8310000000038,3617,302.674920797348,84.6,"[15, 16]"
100,0.1,0,2720.5050000000047,3702,364.80503726005554,105.6,"[13, 60]"
100,0.1,12,2720.5050000000047,3702,400.6775543689728,105.6,"[13, 60]"
