budget,size,seed,obj,acc,time,loss_bound,projects
100,0.005,0,2720.5050000000047,3702,28.358488082885742,5.1,"[13, 60]"
100,0.005,12,2720.5050000000047,3702,25.836337089538574,5.1,"[13, 60]"
100,0.005,23,2720.5050000000047,3702,25.07386803627014,5.1,"[13, 60]"
100,0.005,34,2720.5050000000047,3702,31.880262851715088,5.1,"[13, 60]"
100,0.005,45,2720.5050000000047,3702,29.486905813217163,5.1,"[13, 60]"
100,0.005,56,2720.5050000000047,3702,23.885456085205078,5.1,"[13, 60]"
100,0.005,67,2720.5050000000047,3702,35.801302909851074,5.1,"[13, 60]"
300,0.005,0,4969.727000000006,6334,88.91364979743958,5.1,"[12, 22, 45, 50, 51, 60]"
300,0.005,12,4969.727000000006,6334,93.62616109848022,5.1,"[12, 22, 45, 50, 51, 60]"
300,0.005,23,5533.310000000012,6946,71.02061986923218,5.1,"[12, 13, 45, 60, 66, 67]"
300,0.005,34,5814.744000000013,7298,90.0922839641571,5.1,"[12, 13, 21, 22, 27, 66]"
300,0.005,45,5990.382000000038,7479,74.97589111328125,5.1,"[13, 15, 21, 27, 53, 66]"
300,0.005,56,5377.015000000014,6873,74.25207781791687,5.1,"[12, 13, 21, 22, 27, 45]"
300,0.005,67,5213.917000000014,6602,79.89841222763062,5.1,"[12, 13, 21, 22, 34, 66]"
300,0.005,78,5489.173000000032,7031,67.61174392700195,5.1,"[12, 13, 27, 60, 66, 67]"
300,0.005,89,5990.382000000038,7479,74.78882193565369,5.1,"[13, 15, 21, 27, 53, 66]"
300,0.005,90,5814.744000000013,7298,85.47094821929932,5.1,"[12, 13, 21, 22, 27, 66]"
300,0.01,0,5737.173999999975,7652,157.5222179889679,10.5,"[15, 21, 26, 27, 32, 75]"
300,0.01,12,5737.173999999975,7652,154.20966601371765,10.5,"[15, 21, 26, 27, 32, 75]"
300,0.01,23,5821.290000000021,7592,180.52199983596802,10.5,"[13, 60, 66, 67, 68, 73]"
300,0.01,34,5990.382000000038,7479,127.24995398521423,10.5,"[13, 15, 21, 27, 53, 66]"
300,0.01,45,5472.834000000012,6925,120.52056312561035,10.5,"[12, 13, 21, 22, 45, 79]"
300,0.01,56,5871.897000000015,7375,152.28568601608276,10.5,"[13, 15, 21, 53, 66, 73]"
300,0.01,67,5747.263000000028,7178,109.44060277938843,10.5,"[13, 21, 27, 45, 60, 66]"
300,0.01,78,5654.520000000019,7106,129.30004501342773,10.5,"[13, 21, 45, 60, 66, 73]"
300,0.01,89,5213.917000000014,6602,173.48961520195007,10.5,"[12, 13, 21, 22, 34, 66]"
300,0.01,90,5824.031000000003,7515,206.47590398788452,10.5,"[21, 22, 45, 66, 68, 73]"
300,0.03,0,6094.034000000023,7602,493.8300759792328,31.5,"[13, 21, 22, 45, 66, 68]"
300,0.03,12,6094.034000000023,7602,501.62314105033875,31.5,"[13, 21, 22, 45, 66, 68]"
300,0.03,23,5737.173999999975,7652,533.7860999107361,31.5,"[15, 21, 26, 27, 32, 75]"
300,0.03,34,6142.412000000033,7782,600.5784792900085,31.5,"[13, 21, 22, 27, 66, 68]"
300,0.03,45,5737.173999999975,7652,368.16566276550293,31.5,"[15, 21, 26, 27, 32, 75]"
300,0.03,56,5848.988000000019,7615,691.8037648200989,31.5,"[13, 21, 22, 26, 27, 68]"
300,0.03,67,5883.942000000012,7539,739.6328587532043,31.5,"[13, 20, 26, 27, 32, 60]"
300,0.03,78,6127.2570000000305,7640,507.6662709712982,31.5,"[12, 13, 21, 22, 66, 68]"
300,0.03,89,6094.034000000023,7602,542.3709261417389,31.5,"[13, 21, 22, 45, 66, 68]"
300,0.03,90,6142.412000000033,7782,451.175418138504,31.5,"[13, 21, 22, 27, 66, 68]"
300,0.05,0,5802.967999999977,7762,3710.425819158554,52.8,"[21, 22, 26, 27, 32, 68]"
300,0.05,12,5802.967999999977,7762,3549.682416677475,52.8,"[21, 22, 26, 27, 32, 68]"
