budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,174.06249999999454,1235,21.290250301361084,10.5,"[6, 12]"
100,0.01,12,174.06249999999454,1235,21.236636877059937,10.5,"[6, 12]"
100,0.01,23,225.12499999999818,2164,27.883647441864014,10.5,"[13, 60]"
100,0.01,34,202.1437500000011,1764,26.279724597930908,10.5,"[13, 50]"
100,0.01,45,174.06249999999454,1235,21.813418865203857,10.5,"[6, 12]"
100,0.01,56,184.074999999988,1451,22.26006531715393,10.5,"[60, 61]"
100,0.01,67,164.41875000000437,1562,22.319188833236694,10.5,"[13, 79]"
100,0.01,78,182.79375000000073,1656,21.322283267974854,10.5,"[22, 60]"
100,0.01,89,225.12499999999818,2164,26.704451322555542,10.5,"[13, 60]"
100,0.01,90,174.06249999999454,1235,19.252010345458984,10.5,"[6, 12]"
100,0.02,0,225.12499999999818,2164,45.032039165496826,21.0,"[13, 60]"
100,0.02,12,225.12499999999818,2164,43.02387571334839,21.0,"[13, 60]"
100,0.02,23,225.12499999999818,2164,49.80288100242615,21.0,"[13, 60]"
100,0.02,34,225.12499999999818,2164,47.94891929626465,21.0,"[13, 60]"
100,0.02,45,225.12499999999818,2164,47.94526720046997,21.0,"[13, 60]"
100,0.02,56,184.074999999988,1451,50.45445942878723,21.0,"[60, 61]"
100,0.02,67,225.12499999999818,2164,43.997395515441895,21.0,"[13, 60]"
100,0.02,78,225.12499999999818,2164,47.82321310043335,21.0,"[13, 60]"
100,0.02,89,225.12499999999818,2164,49.15012311935425,21.0,"[13, 60]"
100,0.02,90,225.12499999999818,2164,48.07508873939514,21.0,"[13, 60]"
100,0.03,0,225.12499999999818,2164,81.206778049469,31.5,"[13, 60]"
100,0.03,12,225.12499999999818,2164,71.62500071525574,31.5,"[13, 60]"
100,0.03,23,225.12499999999818,2164,68.11418223381042,31.5,"[13, 60]"
100,0.03,34,225.12499999999818,2164,74.76257181167603,31.5,"[13, 60]"
100,0.03,45,225.12499999999818,2164,66.43482947349548,31.5,"[13, 60]"
100,0.03,56,225.12499999999818,2164,72.62073683738708,31.5,"[13, 60]"
100,0.03,67,225.12499999999818,2164,66.60157752037048,31.5,"[13, 60]"
100,0.03,78,225.12499999999818,2164,71.94849157333374,31.5,"[13, 60]"
100,0.03,89,225.12499999999818,2164,74.23711919784546,31.5,"[13, 60]"
