budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,160.0374999999949,1286,18.73894453048706,10.5,"[60, 72]"
100,0.01,12,181.7312499999971,1500,16.706412076950073,10.5,"[60, 75]"
100,0.01,23,190.2312499999971,1301,26.896814107894897,10.5,"[60, 80]"
100,0.01,34,144.918750000008,1301,24.567753314971924,10.5,"[13, 26]"
100,0.01,45,190.2312499999971,1301,28.031934022903442,10.5,"[60, 80]"
100,0.01,56,118.80625000000146,871,26.12544298171997,10.5,"[26, 27]"
100,0.01,67,96.65000000000146,491,19.846911668777466,10.5,"[6, 72]"
100,0.01,78,190.2312499999971,1301,17.2459933757782,10.5,"[60, 80]"
100,0.01,89,163.39374999999927,1391,26.22410798072815,10.5,"[6, 13]"
100,0.01,90,191.45624999999382,1297,21.91743230819702,10.5,"[12, 50]"
100,0.02,0,225.12499999999818,2164,45.48742413520813,21.0,"[13, 60]"
100,0.02,12,178.03749999999673,1438,57.56630802154541,21.0,"[21, 60]"
100,0.02,23,190.2312499999971,1301,41.78210711479187,21.0,"[60, 80]"
100,0.02,34,190.2312499999971,1301,43.16100788116455,21.0,"[60, 80]"
100,0.02,45,188.01249999999527,1395,49.680200815200806,21.0,"[6, 60]"
100,0.02,56,152.53125,1434,49.80458617210388,21.0,"[13, 75]"
100,0.02,67,190.2312499999971,1301,33.28475332260132,21.0,"[60, 80]"
100,0.02,78,181.7312499999971,1500,56.36671233177185,21.0,"[60, 75]"
100,0.02,89,80.94999999999709,285,40.39998531341553,21.0,"[35, 80]"
100,0.02,90,142.11874999999418,1174,52.31340456008911,21.0,"[35, 60]"
100,0.03,0,182.79375000000073,1656,78.7546706199646,31.5,"[22, 60]"
100,0.03,12,182.79375000000073,1656,61.88507843017578,31.5,"[22, 60]"
100,0.03,23,192.71874999999636,1391,73.72895932197571,31.5,"[50, 60]"
100,0.03,34,190.2312499999971,1301,65.70603013038635,31.5,"[60, 80]"
100,0.03,45,178.03749999999673,1438,75.81265449523926,31.5,"[21, 60]"
100,0.03,56,225.12499999999818,2164,67.91010594367981,31.5,"[13, 60]"
100,0.03,67,190.2312499999971,1301,69.56242442131042,31.5,"[60, 80]"
100,0.03,78,225.12499999999818,2164,70.11953592300415,31.5,"[13, 60]"
100,0.03,89,190.2312499999971,1301,68.08170580863953,31.5,"[60, 80]"
100,0.03,90,190.2312499999971,1301,64.98429322242737,31.5,"[60, 80]"
100,0.04,0,190.2312499999971,1301,86.97786211967468,42.3,"[60, 80]"
100,0.04,12,225.12499999999818,2164,89.93170428276062,42.3,"[13, 60]"
100,0.04,23,225.12499999999818,2164,91.61584138870239,42.3,"[13, 60]"
100,0.04,34,225.12499999999818,2164,94.05708122253418,42.3,"[13, 60]"
100,0.04,45,225.12499999999818,2164,86.50510144233704,42.3,"[13, 60]"
100,0.04,56,225.12499999999818,2164,94.05570602416992,42.3,"[13, 60]"
100,0.04,67,225.12499999999818,2164,95.35937237739563,42.3,"[13, 60]"
100,0.04,78,190.2312499999971,1301,81.29939866065979,42.3,"[60, 80]"
100,0.04,89,190.2312499999971,1301,87.29051923751831,42.3,"[60, 80]"
100,0.04,90,190.2312499999971,1301,90.91854047775269,42.3,"[60, 80]"
100,0.05,0,225.12499999999818,2164,109.96122217178345,52.8,"[13, 60]"
100,0.05,12,225.12499999999818,2164,103.19566893577576,52.8,"[13, 60]"
100,0.05,23,193.34374999999818,1600,106.81365013122559,52.8,"[60, 79]"
100,0.05,34,225.12499999999818,2164,126.60473918914795,52.8,"[13, 60]"
100,0.05,45,225.12499999999818,2164,125.17987132072449,52.8,"[13, 60]"
100,0.05,56,171.206249999992,1852,135.44414019584656,52.8,"[15, 16]"
100,0.05,67,225.12499999999818,2164,109.68185019493103,52.8,"[13, 60]"
100,0.05,78,225.12499999999818,2164,104.69261598587036,52.8,"[13, 60]"
100,0.05,89,225.12499999999818,2164,112.22683262825012,52.8,"[13, 60]"
100,0.05,90,225.12499999999818,2164,118.10116171836853,52.8,"[13, 60]"
300,0.01,0,473.12500000000364,4015,59.71442890167236,10.5,"[13, 22, 30, 50, 60, 72]"
300,0.01,12,496.1312499999949,3917,50.810384035110474,10.5,"[13, 50, 60, 72, 75, 80]"
300,0.01,23,537.4687499999818,4215,62.22151470184326,10.5,"[16, 21, 26, 27, 28, 60, 80]"
300,0.01,34,543.824999999988,4365,65.63103723526001,10.5,"[21, 26, 27, 60, 61, 80]"
300,0.01,45,378.0249999999978,2250,54.62528967857361,10.5,"[30, 50, 60, 66, 72, 80]"
300,0.01,56,460.94999999999345,3884,54.12431073188782,10.5,"[13, 26, 27, 30, 32, 45]"
300,0.01,67,464.49999999999454,3585,61.619399547576904,10.5,"[6, 12, 32, 45, 72, 80]"
300,0.01,78,481.68749999999636,3169,55.15245485305786,10.5,"[6, 16, 26, 27, 60, 61, 80]"
300,0.01,89,466.6249999999891,3845,56.781089782714844,10.5,"[6, 13, 22, 30, 60, 61]"
300,0.01,90,404.7499999999909,2552,57.62344980239868,10.5,"[12, 30, 50, 72, 75, 80]"
300,0.02,0,518.4999999999873,4007,83.85029029846191,21.0,"[6, 12, 13, 60, 61, 75]"
300,0.02,12,474.3999999999942,4035,79.3806529045105,21.0,"[13, 16, 21, 60, 66, 75]"
300,0.02,23,486.4375000000018,3864,63.147732973098755,21.0,"[13, 22, 30, 60, 68, 80]"
300,0.02,34,552.4312499999996,4400,79.47585868835449,21.0,"[12, 13, 22, 60, 68, 80]"
300,0.02,45,515.362499999992,3976,80.69155192375183,21.0,"[6, 12, 13, 21, 60, 75]"
300,0.02,56,527.7625000000025,4421,77.64856433868408,21.0,"[6, 12, 13, 21, 22, 68]"
300,0.02,67,536.6062499999953,4566,86.22296333312988,21.0,"[13, 60, 66, 67, 68, 80]"
300,0.02,78,564.2124999999942,4501,62.6261932849884,21.0,"[12, 13, 32, 60, 72, 80]"
300,0.02,89,379.5437500000062,3065,76.28623008728027,21.0,"[6, 21, 22, 35, 66, 80]"
300,0.02,90,478.2874999999822,3896,67.46907353401184,21.0,"[12, 13, 21, 35, 60, 61]"
300,0.03,0,517.1937500000004,4214,103.76891899108887,31.5,"[13, 22, 32, 60, 68, 72]"
300,0.03,12,486.4375000000018,3864,95.56772899627686,31.5,"[13, 22, 30, 60, 68, 80]"
300,0.03,23,541.299999999992,3844,100.78696799278259,31.5,"[12, 32, 50, 60, 72, 80]"
