budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,225.12499999999818,2164,25.299686908721924,10.5,"[13, 60]"
100,0.01,12,194.54374999999527,1465,23.00964093208313,10.5,"[12, 60]"
100,0.01,23,191.45624999999382,1297,24.98762321472168,10.5,"[12, 50]"
100,0.01,34,225.12499999999818,2164,28.399833917617798,10.5,"[13, 60]"
100,0.01,45,225.12499999999818,2164,33.9748375415802,10.5,"[13, 60]"
100,0.01,56,166.04999999999563,1867,29.57362174987793,10.5,"[13, 15]"
100,0.01,67,225.12499999999818,2164,30.80064582824707,10.5,"[13, 60]"
100,0.01,78,184.074999999988,1451,27.614579439163208,10.5,"[60, 61]"
100,0.01,89,191.45624999999382,1297,20.52542281150818,10.5,"[12, 50]"
100,0.01,90,171.206249999992,1852,27.476541996002197,10.5,"[15, 16]"
100,0.02,0,225.12499999999818,2164,53.23120975494385,21.0,"[13, 60]"
100,0.02,12,202.1437500000011,1764,52.68413710594177,21.0,"[13, 50]"
100,0.02,23,225.12499999999818,2164,48.952357053756714,21.0,"[13, 60]"
100,0.02,34,191.45624999999382,1297,55.15318036079407,21.0,"[12, 50]"
100,0.02,45,152.5812500000102,1565,53.68658256530762,21.0,"[21, 22]"
100,0.02,56,225.12499999999818,2164,54.5245943069458,21.0,"[13, 60]"
100,0.02,67,225.12499999999818,2164,51.23610019683838,21.0,"[13, 60]"
100,0.02,78,184.074999999988,1451,55.881848096847534,21.0,"[60, 61]"
100,0.02,89,225.12499999999818,2164,55.265626192092896,21.0,"[13, 60]"
100,0.02,90,184.074999999988,1451,53.7393102645874,21.0,"[60, 61]"
100,0.03,0,225.12499999999818,2164,79.0197696685791,31.5,"[13, 60]"
100,0.03,12,172.16874999999345,1600,67.76681351661682,31.5,"[60, 67]"
100,0.03,23,172.16874999999345,1600,78.41748237609863,31.5,"[60, 67]"
100,0.03,34,225.12499999999818,2164,79.59951996803284,31.5,"[13, 60]"
100,0.03,45,184.074999999988,1451,80.76495289802551,31.5,"[60, 61]"
100,0.03,56,184.074999999988,1451,65.10419487953186,31.5,"[60, 61]"
100,0.03,67,225.12499999999818,2164,75.43533515930176,31.5,"[13, 60]"
