budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,52.03125,266,15.226329565048218,10.5,"[30, 82]"
100,0.01,12,52.03125,266,15.312747955322266,10.5,"[30, 82]"
100,0.01,23,40.29374999999709,522,25.445481538772583,10.5,"[47, 51]"
100,0.01,34,127.84375,748,24.84355878829956,10.5,"[75, 80]"
100,0.01,45,225.12499999999818,2164,25.75337290763855,10.5,"[13, 60]"
100,0.01,56,193.34374999999818,1600,25.20155119895935,10.5,"[60, 79]"
100,0.01,67,194.54374999999527,1465,18.382860898971558,10.5,"[12, 60]"
100,0.01,78,193.34374999999818,1600,27.47728681564331,10.5,"[60, 79]"
100,0.01,89,132.79375000000437,1257,19.089752674102783,10.5,"[13, 72]"
100,0.01,90,95.03124999999636,732,18.049442291259766,10.5,"[21, 27]"
100,0.02,0,125.32500000000437,1338,65.27906918525696,21.0,"[13, 22]"
100,0.02,12,83.71250000000146,438,38.225372314453125,21.0,"[30, 66]"
100,0.02,23,184.074999999988,1451,46.75441360473633,21.0,"[60, 61]"
100,0.02,34,127.84375,748,53.150028705596924,21.0,"[75, 80]"
100,0.02,45,225.12499999999818,2164,48.85119867324829,21.0,"[13, 60]"
100,0.02,56,181.7312499999971,1500,45.2669358253479,21.0,"[60, 75]"
100,0.02,67,188.01249999999527,1395,43.46103358268738,21.0,"[6, 60]"
100,0.02,78,188.01249999999527,1395,57.484243869781494,21.0,"[6, 60]"
100,0.02,89,109.16250000000218,728,49.60598874092102,21.0,"[72, 79]"
100,0.02,90,95.03124999999636,732,45.3533399105072,21.0,"[21, 27]"
100,0.03,0,125.32500000000437,1338,93.53306221961975,31.5,"[13, 22]"
100,0.03,12,184.074999999988,1451,73.62349939346313,31.5,"[60, 61]"
100,0.03,23,91.14999999999782,839,78.54883289337158,31.5,"[51, 75]"
100,0.03,34,152.5812500000102,1565,82.93282461166382,31.5,"[21, 22]"
100,0.03,45,132.79375000000437,1257,81.02472519874573,31.5,"[13, 72]"
100,0.03,56,193.34374999999818,1600,61.64129281044006,31.5,"[60, 79]"
100,0.03,67,188.01249999999527,1395,68.91804671287537,31.5,"[6, 60]"
100,0.03,78,174.06249999999454,1235,82.75091290473938,31.5,"[6, 12]"
100,0.03,89,127.58124999999927,1252,64.56979250907898,31.5,"[45, 79]"
100,0.03,90,64.93124999999782,466,72.64750099182129,31.5,"[66, 67]"
100,0.04,0,125.32500000000437,1338,102.94673252105713,42.3,"[13, 22]"
100,0.04,12,184.074999999988,1451,75.25010323524475,42.3,"[60, 61]"
100,0.04,23,127.84375,748,88.27977180480957,42.3,"[75, 80]"
100,0.04,34,152.5812500000102,1565,122.05163812637329,42.3,"[21, 22]"
100,0.04,45,152.5812500000102,1565,101.33830332756042,42.3,"[21, 22]"
100,0.04,56,225.12499999999818,2164,111.313059091568,42.3,"[13, 60]"
100,0.04,67,174.06249999999454,1235,92.83579635620117,42.3,"[6, 12]"
100,0.04,78,193.34374999999818,1600,96.64034819602966,42.3,"[60, 79]"
100,0.04,89,127.80624999999418,1166,96.76004934310913,42.3,"[6, 45]"
100,0.04,90,108.59999999999854,584,105.67130255699158,42.3,"[12, 66]"
100,0.05,0,202.1437500000011,1764,128.72307538986206,52.8,"[13, 50]"
100,0.05,12,184.074999999988,1451,102.91552948951721,52.8,"[60, 61]"
100,0.05,23,127.84375,748,119.99099707603455,52.8,"[75, 80]"
100,0.05,34,181.7312499999971,1500,142.0644290447235,52.8,"[60, 75]"
100,0.05,45,172.16874999999345,1600,125.56795978546143,52.8,"[60, 67]"
100,0.05,56,225.12499999999818,2164,114.95175957679749,52.8,"[13, 60]"
100,0.05,67,188.01249999999527,1395,117.65617179870605,52.8,"[6, 60]"
100,0.05,78,193.34374999999818,1600,126.09798240661621,52.8,"[60, 79]"
100,0.05,89,124.46875,953,111.09753251075745,52.8,"[45, 80]"
100,0.05,90,152.5812500000102,1565,128.89698362350464,52.8,"[21, 22]"
300,0.01,0,313.0249999999942,2924,43.06245684623718,10.5,"[20, 27, 60, 66, 78, 82]"
300,0.01,12,313.0249999999942,2924,42.63039493560791,10.5,"[20, 27, 60, 66, 78, 82]"
300,0.01,23,437.60624999997526,4092,53.43078136444092,10.5,"[15, 51, 60, 61, 66, 67]"
300,0.01,34,410.2500000000109,3563,38.6477792263031,10.5,"[21, 22, 75, 78, 79, 80]"
300,0.01,45,398.36875000000146,3360,52.82922840118408,10.5,"[13, 14, 32, 60, 67, 80]"
300,0.01,56,448.54374999999527,3514,59.765387535095215,10.5,"[16, 21, 60, 61, 66, 79]"
300,0.01,67,432.39999999998327,3597,52.45174813270569,10.5,"[6, 15, 16, 22, 27, 51, 80]"
300,0.01,78,488.26249999999345,4063,63.995829582214355,10.5,"[6, 12, 45, 60, 75, 79]"
300,0.01,89,482.5749999999862,4527,56.50802206993103,10.5,"[12, 13, 15, 16, 22, 72]"
300,0.01,90,412.7812499999982,3231,34.93941378593445,10.5,"[6, 21, 27, 66, 67, 68]"
300,0.02,0,560.5250000000051,5437,116.52749824523926,21.0,"[13, 15, 21, 22, 66, 68]"
300,0.02,12,479.62500000001273,4499,76.2764105796814,21.0,"[21, 22, 30, 66, 68, 73]"
300,0.02,23,446.23124999998436,3865,115.48559832572937,21.0,"[51, 60, 61, 66, 67, 68]"
300,0.02,34,554.7687500000029,4934,113.76067185401917,21.0,"[21, 22, 27, 66, 68, 80]"
300,0.02,45,498.61875000002146,4865,124.65712594985962,21.0,"[13, 21, 22, 32, 66, 73]"
300,0.02,56,436.90625,4056,117.62533020973206,21.0,"[15, 16, 21, 51, 66, 75]"
300,0.02,67,510.80624999999054,3848,124.70350551605225,21.0,"[6, 12, 21, 27, 60, 80]"
300,0.02,78,543.918749999988,4455,117.08358883857727,21.0,"[6, 12, 60, 66, 67, 68]"
300,0.02,89,481.56249999999636,3780,127.81014728546143,21.0,"[15, 22, 32, 60, 68, 72]"
300,0.02,90,468.17500000000837,4357,103.7219545841217,21.0,"[15, 21, 50, 66, 67, 68]"
300,0.03,0,502.27500000000873,4900,213.2657232284546,31.5,"[13, 21, 22, 66, 68, 72]"
300,0.03,12,518.1562499999891,4547,163.11101150512695,31.5,"[21, 27, 60, 61, 66, 79]"
300,0.03,23,418.22499999998763,3433,180.1560981273651,31.5,"[12, 15, 51, 60, 61, 75]"
300,0.03,34,554.7687500000029,4934,148.02458715438843,31.5,"[21, 22, 27, 66, 68, 80]"
300,0.03,45,483.9124999999949,4750,168.26356863975525,31.5,"[13, 21, 22, 26, 27, 45]"
300,0.03,56,447.7687500000102,4079,189.45178627967834,31.5,"[15, 16, 21, 66, 75, 79]"
300,0.03,67,552.1125000000065,4842,158.71049761772156,31.5,"[6, 15, 16, 21, 27, 79, 80]"
300,0.03,78,543.918749999988,4455,176.21019434928894,31.5,"[6, 12, 60, 66, 67, 68]"
300,0.03,89,503.61874999999236,3967,182.71301317214966,31.5,"[6, 12, 32, 45, 60, 72]"
300,0.03,90,482.9937499999978,3741,179.03259658813477,31.5,"[21, 26, 32, 66, 67, 68]"
300,0.04,0,500.3875000000098,5165,272.0257604122162,42.3,"[13, 21, 22, 53, 66, 68]"
300,0.04,12,571.3500000000095,5391,201.26338744163513,42.3,"[13, 21, 22, 50, 66, 68]"
300,0.04,23,441.6499999999869,3282,196.898699760437,42.3,"[12, 45, 60, 61, 75, 80]"
300,0.04,34,565.7187500000091,5367,258.6486463546753,42.3,"[15, 21, 22, 27, 66, 68]"
300,0.04,45,543.5250000000106,5140,297.7876970767975,42.3,"[13, 15, 16, 21, 26, 27]"
300,0.04,56,438.1125000000029,3657,278.7663006782532,42.3,"[13, 30, 60, 66, 75, 79]"
300,0.04,67,543.918749999988,4455,260.60611939430237,42.3,"[6, 12, 60, 66, 67, 68]"
300,0.04,78,543.918749999988,4455,199.1776921749115,42.3,"[6, 12, 60, 66, 67, 68]"
300,0.04,89,429.46874999999636,3577,210.19258618354797,42.3,"[6, 12, 26, 27, 45, 79]"
300,0.04,90,576.7000000000062,5420,210.7802972793579,42.3,"[12, 13, 21, 22, 66, 68]"
300,0.05,0,571.3500000000095,5391,355.94648003578186,52.8,"[13, 21, 22, 50, 66, 68]"
300,0.05,12,512.7562499999894,4299,262.414936542511,52.8,"[13, 21, 27, 60, 61, 80]"
300,0.05,23,554.7687500000029,4934,265.5418565273285,52.8,"[21, 22, 27, 66, 68, 80]"
300,0.05,34,565.7187500000091,5367,272.24558329582214,52.8,"[15, 21, 22, 27, 66, 68]"
300,0.05,45,543.5250000000106,5140,315.75506353378296,52.8,"[13, 15, 16, 21, 26, 27]"
300,0.05,56,454.55624999999964,4073,342.4730987548828,52.8,"[13, 30, 45, 60, 75, 79]"
300,0.05,67,528.9562499999956,3911,321.9530770778656,52.8,"[6, 12, 13, 60, 75, 80]"
300,0.05,78,494.67499999999563,4367,285.6332051753998,52.8,"[45, 60, 66, 67, 68, 79]"
300,0.05,89,503.8749999999982,4024,316.45532608032227,52.8,"[6, 15, 16, 26, 27, 79, 80]"
300,0.05,90,576.7000000000062,5420,322.3022439479828,52.8,"[12, 13, 21, 22, 66, 68]"
500,0.01,0,615.462499999996,5530,60.678016901016235,10.5,"[15, 16, 21, 27, 45, 50, 57, 60, 78, 82]"
500,0.01,12,615.462499999996,5530,61.898553133010864,10.5,"[15, 16, 21, 27, 45, 50, 57, 60, 78, 82]"
500,0.01,23,915.3937500000011,7612,91.19585371017456,10.5,"[15, 16, 21, 26, 27, 50, 51, 60, 61, 66, 67]"
500,0.01,34,818.6437500000266,7329,118.00791573524475,10.5,"[15, 16, 21, 27, 28, 66, 67, 75, 78, 79, 80]"
500,0.01,45,633.7937499999989,5678,87.20196032524109,10.5,"[8, 13, 14, 15, 20, 22, 32, 60, 68, 80]"
500,0.01,56,792.9187500000116,6132,76.04922604560852,10.5,"[15, 16, 21, 26, 32, 51, 59, 60, 61, 66, 79]"
500,0.01,67,894.6062500000335,7168,75.32240462303162,10.5,"[6, 12, 13, 15, 16, 21, 22, 27, 51, 68, 80]"
500,0.01,78,914.2875000000022,7615,94.96997737884521,10.5,"[6, 12, 15, 16, 21, 27, 60, 61, 66, 75, 79]"
500,0.01,89,903.418750000008,7646,87.78520655632019,10.5,"[12, 13, 15, 21, 22, 26, 27, 32, 45, 72]"
500,0.01,90,819.0562500000124,7234,79.90537118911743,10.5,"[6, 13, 15, 21, 24, 27, 60, 66, 67, 68]"
500,0.02,0,912.1812499999905,7586,160.86029410362244,21.0,"[12, 13, 15, 21, 26, 32, 50, 66, 67, 68]"
500,0.02,12,689.0125000000116,5759,136.6607882976532,21.0,"[21, 22, 35, 60, 66, 68, 73, 78, 79, 82]"
500,0.02,23,1009.1687499999953,8271,184.57056832313538,21.0,"[15, 16, 21, 22, 26, 27, 32, 51, 60, 61, 66]"
500,0.02,34,1012.5562500000233,8536,177.17261576652527,21.0,"[6, 12, 15, 16, 21, 22, 27, 66, 68, 79, 80]"
500,0.02,45,878.3750000000109,7952,196.03389024734497,21.0,"[13, 15, 21, 22, 27, 32, 45, 66, 68, 80]"
500,0.02,56,826.7875000000058,7085,130.70654916763306,21.0,"[15, 16, 21, 27, 51, 60, 61, 66, 75, 79, 82]"
500,0.02,67,1012.6312500000186,8641,199.124329328537,21.0,"[6, 12, 15, 16, 21, 22, 27, 51, 66, 68, 80]"
500,0.02,78,965.3687499999978,8058,167.33352398872375,21.0,"[6, 12, 15, 16, 21, 27, 60, 61, 66, 75, 80]"
500,0.02,89,791.3812499999967,6227,167.21120977401733,21.0,"[12, 15, 21, 22, 32, 45, 50, 60, 61, 72]"
500,0.02,90,927.3062500000287,8053,132.81144165992737,21.0,"[13, 15, 21, 26, 27, 28, 50, 66, 67, 68, 80]"
500,0.03,0,957.9500000000044,8176,265.19966173171997,31.5,"[12, 13, 15, 21, 22, 26, 32, 66, 68, 72]"
500,0.03,12,812.5062500000131,6865,258.2679476737976,31.5,"[15, 16, 21, 26, 27, 35, 60, 61, 66, 79, 82]"
500,0.03,23,1065.912500000015,8843,313.7943615913391,31.5,"[12, 15, 16, 21, 22, 27, 50, 51, 66, 68, 80]"
500,0.03,34,1012.5562500000233,8536,283.67468643188477,31.5,"[6, 12, 15, 16, 21, 22, 27, 66, 68, 79, 80]"
500,0.03,45,991.7062500000065,8891,309.52469849586487,31.5,"[13, 15, 21, 22, 26, 27, 32, 45, 66, 68]"
500,0.03,56,870.5562499999996,7311,270.1982583999634,31.5,"[12, 15, 16, 21, 27, 51, 60, 61, 66, 75, 79]"
500,0.03,67,941.7937499999935,7645,213.93467903137207,31.5,"[6, 13, 16, 21, 27, 60, 66, 67, 68, 79, 80]"
500,0.03,78,965.3687499999978,8058,249.3051290512085,31.5,"[6, 12, 15, 16, 21, 27, 60, 61, 66, 75, 80]"
500,0.03,89,925.7250000000222,7810,248.8642656803131,31.5,"[6, 12, 15, 16, 21, 22, 26, 27, 45, 79, 80]"
