budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,311.2499999999891,981,18.611342430114746,10.5,"[79, 80]"
100,0.01,12,311.2499999999891,981,18.55611777305603,10.5,"[79, 80]"
100,0.01,23,385.3833333333314,1391,18.69554877281189,10.5,"[6, 13]"
100,0.01,34,558.5833333333394,2164,21.440017223358154,10.5,"[13, 60]"
100,0.01,45,477.3833333333423,1764,18.84000325202942,10.5,"[13, 50]"
100,0.01,56,311.2499999999891,981,21.625582695007324,10.5,"[79, 80]"
100,0.01,67,229.2166666666635,530,20.368000030517578,10.5,"[6, 30]"
100,0.01,78,446.71666666667625,1852,17.607068061828613,10.5,"[15, 16]"
100,0.01,89,229.2166666666635,530,20.422162771224976,10.5,"[6, 30]"
100,0.01,90,558.5833333333394,2164,15.764132022857666,10.5,"[13, 60]"
100,0.02,0,558.5833333333394,2164,41.36266613006592,21.0,"[13, 60]"
100,0.02,12,558.5833333333394,2164,42.767170906066895,21.0,"[13, 60]"
100,0.02,23,426.28333333334194,1600,45.652907609939575,21.0,"[60, 67]"
100,0.02,34,558.5833333333394,2164,30.870969772338867,21.0,"[13, 60]"
100,0.02,45,448.7000000000062,1656,48.799535036087036,21.0,"[22, 60]"
100,0.02,56,558.5833333333394,2164,50.41116809844971,21.0,"[13, 60]"
100,0.02,67,558.5833333333394,2164,50.24554204940796,21.0,"[13, 60]"
100,0.02,78,460.4166666666697,1600,46.93284225463867,21.0,"[60, 79]"
100,0.02,89,426.28333333334194,1600,45.56901526451111,21.0,"[60, 67]"
100,0.02,90,477.3833333333423,1764,43.09385275840759,21.0,"[13, 50]"
100,0.03,0,558.5833333333394,2164,72.283522605896,31.5,"[13, 60]"
100,0.03,12,426.28333333334194,1600,71.59779977798462,31.5,"[60, 67]"
100,0.03,23,426.28333333334194,1600,69.47343468666077,31.5,"[60, 67]"
100,0.03,34,427.9499999999989,1301,64.12330889701843,31.5,"[60, 80]"
100,0.03,45,446.71666666667625,1852,65.23857355117798,31.5,"[15, 16]"
100,0.03,56,558.5833333333394,2164,73.22665905952454,31.5,"[13, 60]"
100,0.03,67,311.2499999999891,981,58.12154269218445,31.5,"[79, 80]"
100,0.03,78,460.4166666666697,1600,61.63820242881775,31.5,"[60, 79]"
100,0.03,89,460.4166666666697,1600,64.07140111923218,31.5,"[60, 79]"
100,0.03,90,311.2499999999891,981,58.53580689430237,31.5,"[79, 80]"
100,0.04,0,426.28333333334194,1600,101.99956250190735,42.3,"[60, 67]"
100,0.04,12,369.0500000000029,1565,92.78240776062012,42.3,"[21, 22]"
100,0.04,23,558.5833333333394,2164,97.02806043624878,42.3,"[13, 60]"
100,0.04,34,558.5833333333394,2164,99.88757181167603,42.3,"[13, 60]"
100,0.04,45,558.5833333333394,2164,82.13018989562988,42.3,"[13, 60]"
100,0.04,56,369.0500000000029,1565,93.08596730232239,42.3,"[21, 22]"
100,0.04,67,477.3833333333423,1764,84.94630527496338,42.3,"[13, 50]"
100,0.04,78,460.4166666666697,1600,91.86528658866882,42.3,"[60, 79]"
100,0.04,89,446.71666666667625,1852,80.8031051158905,42.3,"[15, 16]"
100,0.04,90,426.28333333334194,1600,102.07951498031616,42.3,"[60, 67]"
100,0.05,0,460.4166666666697,1600,110.56470370292664,52.8,"[60, 79]"
100,0.05,12,369.0500000000029,1565,112.17948508262634,52.8,"[21, 22]"
100,0.05,23,460.4166666666697,1600,110.8548812866211,52.8,"[60, 79]"
100,0.05,34,558.5833333333394,2164,94.88718891143799,52.8,"[13, 60]"
100,0.05,45,460.4166666666697,1600,107.0705885887146,52.8,"[60, 79]"
100,0.05,56,558.5833333333394,2164,115.49730467796326,52.8,"[13, 60]"
100,0.05,67,460.4166666666697,1600,106.8561658859253,52.8,"[60, 79]"
100,0.05,78,369.0500000000029,1565,124.12716245651245,52.8,"[21, 22]"
100,0.05,89,558.5833333333394,2164,105.36974573135376,52.8,"[13, 60]"
100,0.05,90,558.5833333333394,2164,107.83718681335449,52.8,"[13, 60]"
300,0.01,0,838.6833333333216,2886,54.82195472717285,10.5,"[6, 12, 35, 53, 79, 80]"
300,0.01,12,838.6833333333216,2886,54.53529357910156,10.5,"[6, 12, 35, 53, 79, 80]"
300,0.01,23,1181.6500000000087,3991,42.97584104537964,10.5,"[6, 12, 13, 22, 60, 78]"
300,0.01,34,1194.51666666667,3883,49.22962212562561,10.5,"[6, 12, 13, 21, 30, 60]"
300,0.01,45,956.2666666666755,3695,58.83157277107239,10.5,"[13, 50, 51, 53, 78, 79]"
300,0.01,56,1127.2999999999993,4040,50.83980751037598,10.5,"[12, 21, 22, 50, 51, 79]"
300,0.01,67,817.1166666666686,2939,45.46879839897156,10.5,"[6, 15, 16, 35, 51, 70, 77]"
300,0.01,78,1174.26666666667,4248,35.765092849731445,10.5,"[12, 13, 15, 16, 26, 30]"
300,0.01,89,817.1166666666686,2939,45.67763352394104,10.5,"[6, 15, 16, 35, 51, 70, 77]"
300,0.01,90,1289.1666666666606,4648,52.85199546813965,10.5,"[12, 13, 45, 60, 79, 80]"
300,0.02,0,1250.5499999999956,4310,93.30153226852417,21.0,"[12, 13, 60, 78, 79, 80]"
300,0.02,12,1183.700000000008,4220,98.59391450881958,21.0,"[12, 13, 15, 30, 60, 67]"
300,0.02,23,1108.4333333333398,3947,151.0686275959015,21.0,"[6, 12, 30, 45, 60, 67]"
300,0.02,34,1257.416666666666,4589,89.1529278755188,21.0,"[12, 13, 15, 16, 45, 79]"
300,0.02,45,1088.9166666666606,3767,97.72489643096924,21.0,"[21, 27, 60, 78, 79, 80]"
300,0.02,56,1304.283333333351,4410,128.9506618976593,21.0,"[12, 13, 22, 30, 60, 68]"
300,0.02,67,1304.283333333351,4410,128.62168192863464,21.0,"[12, 13, 22, 30, 60, 68]"
300,0.02,78,1160.2333333333281,4294,112.50782442092896,21.0,"[12, 13, 21, 22, 30, 79]"
300,0.02,89,1108.4333333333398,3947,151.4051604270935,21.0,"[6, 12, 30, 45, 60, 67]"
300,0.02,90,1222.6166666666686,4277,87.26768469810486,21.0,"[13, 50, 60, 78, 79, 80]"
300,0.03,0,1464.7999999999993,5242,190.37121629714966,31.5,"[13, 21, 26, 27, 32, 60]"
300,0.03,12,1464.7999999999993,5242,162.6654510498047,31.5,"[13, 21, 26, 27, 32, 60]"
300,0.03,23,1289.1666666666752,4985,171.00959539413452,31.5,"[15, 16, 21, 27, 49, 66, 79]"
300,0.03,34,1241.383333333326,4621,165.7025272846222,31.5,"[15, 16, 20, 26, 32, 80]"
300,0.03,45,1415.0833333333412,5114,152.31067299842834,31.5,"[15, 16, 21, 26, 27, 32]"
300,0.03,56,1464.7999999999993,5242,181.2381353378296,31.5,"[13, 21, 26, 27, 32, 60]"
300,0.03,67,1319.3833333333369,4842,150.43252682685852,31.5,"[6, 15, 16, 21, 27, 79, 80]"
300,0.03,78,1464.7999999999993,5242,195.95997023582458,31.5,"[13, 21, 26, 27, 32, 60]"
300,0.03,89,1381.500000000009,5266,171.74671459197998,31.5,"[15, 16, 21, 27, 28, 66, 80]"
300,0.03,90,1319.3833333333369,4842,150.6892647743225,31.5,"[6, 15, 16, 21, 27, 79, 80]"
300,0.04,0,1102.6666666666515,4049,267.2625765800476,42.3,"[15, 16, 22, 27, 51, 79, 80]"
300,0.04,12,1415.0833333333412,5114,223.60932540893555,42.3,"[15, 16, 21, 26, 27, 32]"
300,0.04,23,1464.7999999999993,5242,222.61874222755432,42.3,"[13, 21, 26, 27, 32, 60]"
300,0.04,34,1304.916666666657,5058,284.5571882724762,42.3,"[13, 15, 16, 21, 22, 66]"
300,0.04,45,1464.7999999999993,5242,230.34309434890747,42.3,"[13, 21, 26, 27, 32, 60]"
300,0.04,56,1415.0833333333412,5114,231.78371572494507,42.3,"[15, 16, 21, 26, 27, 32]"
300,0.04,67,1280.5666666666566,4283,221.00776934623718,42.3,"[15, 16, 26, 27, 50, 51, 80]"
300,0.04,78,1464.7999999999993,5242,283.8907129764557,42.3,"[13, 21, 26, 27, 32, 60]"
300,0.04,89,1381.500000000009,5266,222.28107595443726,42.3,"[15, 16, 21, 27, 28, 66, 80]"
300,0.04,90,1102.6666666666515,4049,267.59274458885193,42.3,"[15, 16, 22, 27, 51, 79, 80]"
300,0.05,0,1464.7999999999993,5242,321.0550608634949,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,12,1333.0000000000182,4653,252.36442637443542,52.8,"[15, 21, 22, 26, 27, 32]"
300,0.05,23,1464.7999999999993,5242,322.6068923473358,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,34,1381.500000000009,5266,306.3867015838623,52.8,"[15, 16, 21, 27, 28, 66, 80]"
300,0.05,45,1373.3166666666802,4779,227.93787336349487,52.8,"[15, 21, 26, 27, 32, 60]"
300,0.05,56,1464.7999999999993,5242,296.06014609336853,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,67,1373.3166666666802,4779,227.7357952594757,52.8,"[15, 21, 26, 27, 32, 60]"
300,0.05,78,1415.0833333333412,5114,322.4894368648529,52.8,"[15, 16, 21, 26, 27, 32]"
300,0.05,89,1464.7999999999993,5242,264.17642092704773,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,90,1408.6166666666613,5021,231.9086856842041,52.8,"[12, 13, 21, 26, 27, 60]"
500,0.01,0,2089.366666666663,6947,91.01651406288147,10.5,"[6, 12, 15, 16, 21, 26, 27, 32, 35, 79, 80]"
500,0.01,12,2089.366666666663,6947,90.3133933544159,10.5,"[6, 12, 15, 16, 21, 26, 27, 32, 35, 79, 80]"
500,0.01,23,1849.883333333315,6983,78.2875623703003,10.5,"[6, 12, 13, 21, 22, 35, 45, 66, 68, 78]"
500,0.01,34,2117.1333333333223,7313,90.14886164665222,10.5,"[6, 12, 13, 15, 16, 21, 22, 66, 68, 70, 77]"
500,0.01,45,2285.7000000000007,8161,71.62142324447632,10.5,"[13, 15, 16, 21, 27, 50, 51, 66, 78, 79, 80]"
500,0.01,56,2082.28333333332,7286,90.51089382171631,10.5,"[12, 13, 16, 21, 22, 50, 51, 66, 68, 79, 80]"
500,0.01,67,2045.5666666666784,7234,84.62163138389587,10.5,"[13, 15, 16, 21, 26, 27, 30, 35, 50, 51, 79]"
500,0.01,78,1889.0666666666584,6161,68.74608445167542,10.5,"[12, 15, 16, 26, 27, 30, 35, 50, 51, 79, 80]"
500,0.01,89,2045.5666666666784,7234,84.18378925323486,10.5,"[13, 15, 16, 21, 26, 27, 30, 35, 50, 51, 79]"
500,0.01,90,2059.19999999999,7223,93.5098705291748,10.5,"[6, 12, 13, 45, 60, 66, 67, 68, 79, 80]"
500,0.02,0,2289.049999999994,7947,153.29897379875183,21.0,"[6, 12, 13, 15, 16, 21, 26, 27, 30, 79, 80]"
500,0.02,12,2351.3166666666966,8085,176.65945768356323,21.0,"[13, 15, 16, 21, 22, 26, 27, 32, 50, 51, 79]"
500,0.02,23,2241.9333333333307,7810,206.9385621547699,21.0,"[6, 12, 15, 16, 21, 22, 26, 27, 45, 79, 80]"
500,0.02,34,1927.6999999999825,6485,135.90646815299988,21.0,"[6, 12, 13, 15, 16, 26, 27, 35, 45, 79, 80]"
500,0.02,45,2233.033333333333,7964,158.48706698417664,21.0,"[6, 13, 15, 16, 21, 22, 27, 66, 78, 79, 80]"
500,0.02,56,2327.0666666666766,8087,205.1392788887024,21.0,"[15, 16, 21, 22, 27, 30, 51, 66, 68, 79, 80]"
500,0.02,67,2327.0666666666766,8087,203.84770965576172,21.0,"[15, 16, 21, 22, 27, 30, 51, 66, 68, 79, 80]"
500,0.02,78,2549.9333333333434,8981,173.29544639587402,21.0,"[13, 15, 16, 21, 22, 27, 50, 66, 68, 79, 80]"
500,0.02,89,2241.9333333333307,7810,205.89824652671814,21.0,"[6, 12, 15, 16, 21, 22, 26, 27, 45, 79, 80]"
500,0.02,90,2269.6166666666704,8018,201.9747450351715,21.0,"[13, 15, 16, 21, 26, 27, 50, 51, 78, 79, 80]"
500,0.03,0,2298.483333333321,7876,227.493501663208,31.5,"[6, 12, 15, 16, 21, 22, 26, 32, 66, 79, 80]"
500,0.03,12,2439.283333333353,8271,237.48176503181458,31.5,"[15, 16, 21, 22, 26, 27, 32, 51, 60, 61, 66]"
500,0.03,23,2383.7333333333445,8045,238.3683958053589,31.5,"[15, 16, 21, 22, 26, 27, 32, 50, 51, 66, 79]"
500,0.03,34,2009.9833333333245,6828,251.64686059951782,31.5,"[15, 16, 21, 22, 26, 32, 66, 78, 79, 80]"
500,0.03,45,2494.6666666666697,8814,382.8749186992645,31.5,"[15, 16, 21, 22, 26, 27, 32, 50, 51, 61, 66]"
