budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,400.8333333333376,1235,22.678290367126465,10.5,"[6, 12]"
100,0.01,12,400.8333333333376,1235,22.591570138931274,10.5,"[6, 12]"
100,0.01,23,316.8666666666668,1338,20.053362607955933,10.5,"[13, 22]"
100,0.01,34,558.5833333333394,2164,20.93799138069153,10.5,"[13, 60]"
100,0.01,45,477.3833333333423,1764,23.572006702423096,10.5,"[13, 50]"
100,0.01,56,369.0500000000029,1565,20.937994480133057,10.5,"[21, 22]"
100,0.01,67,446.71666666667625,1852,22.194632053375244,10.5,"[15, 16]"
100,0.01,78,400.8333333333376,1235,15.87752890586853,10.5,"[6, 12]"
100,0.01,89,446.71666666667625,1852,22.45592188835144,10.5,"[15, 16]"
100,0.01,90,448.7000000000062,1656,20.153066635131836,10.5,"[22, 60]"
100,0.02,0,448.7000000000062,1656,46.9873149394989,21.0,"[22, 60]"
100,0.02,12,431.7166666666708,1297,42.93712854385376,21.0,"[12, 50]"
100,0.02,23,426.28333333334194,1600,48.50625276565552,21.0,"[60, 67]"
100,0.02,34,369.0500000000029,1565,44.149904012680054,21.0,"[21, 22]"
100,0.02,45,558.5833333333394,2164,48.52724862098694,21.0,"[13, 60]"
100,0.02,56,558.5833333333394,2164,42.72371959686279,21.0,"[13, 60]"
100,0.02,67,558.5833333333394,2164,42.714741230010986,21.0,"[13, 60]"
100,0.02,78,558.5833333333394,2164,53.659470081329346,21.0,"[13, 60]"
100,0.02,89,426.28333333334194,1600,48.71758008003235,21.0,"[60, 67]"
100,0.02,90,477.3833333333423,1764,51.87727904319763,21.0,"[13, 50]"
100,0.03,0,431.7166666666708,1297,70.29696321487427,31.5,"[12, 50]"
100,0.03,12,558.5833333333394,2164,64.3987021446228,31.5,"[13, 60]"
100,0.03,23,558.5833333333394,2164,74.71714186668396,31.5,"[13, 60]"
100,0.03,34,558.5833333333394,2164,68.8857409954071,31.5,"[13, 60]"
100,0.03,45,446.71666666667625,1852,74.85276627540588,31.5,"[15, 16]"
100,0.03,56,558.5833333333394,2164,68.17364287376404,31.5,"[13, 60]"
100,0.03,67,558.5833333333394,2164,70.98624014854431,31.5,"[13, 60]"
100,0.03,78,558.5833333333394,2164,63.52707529067993,31.5,"[13, 60]"
100,0.03,89,558.5833333333394,2164,72.71150588989258,31.5,"[13, 60]"
100,0.03,90,558.5833333333394,2164,71.2613730430603,31.5,"[13, 60]"
100,0.04,0,558.5833333333394,2164,90.02316665649414,42.3,"[13, 60]"
100,0.04,12,558.5833333333394,2164,94.29676914215088,42.3,"[13, 60]"
100,0.04,23,558.5833333333394,2164,101.40674877166748,42.3,"[13, 60]"
100,0.04,34,558.5833333333394,2164,95.3051085472107,42.3,"[13, 60]"
100,0.04,45,558.5833333333394,2164,92.1734504699707,42.3,"[13, 60]"
100,0.04,56,558.5833333333394,2164,94.22196865081787,42.3,"[13, 60]"
100,0.04,67,558.5833333333394,2164,91.13223528862,42.3,"[13, 60]"
100,0.04,78,558.5833333333394,2164,99.36917352676392,42.3,"[13, 60]"
100,0.04,89,558.5833333333394,2164,82.117347240448,42.3,"[13, 60]"
100,0.04,90,558.5833333333394,2164,89.65325784683228,42.3,"[13, 60]"
100,0.05,0,558.5833333333394,2164,122.49332284927368,52.8,"[13, 60]"
100,0.05,12,558.5833333333394,2164,123.2911901473999,52.8,"[13, 60]"
100,0.05,23,558.5833333333394,2164,122.80351567268372,52.8,"[13, 60]"
100,0.05,34,558.5833333333394,2164,118.00742697715759,52.8,"[13, 60]"
100,0.05,45,558.5833333333394,2164,112.71749448776245,52.8,"[13, 60]"
100,0.05,56,558.5833333333394,2164,113.0755090713501,52.8,"[13, 60]"
100,0.05,67,558.5833333333394,2164,113.84448003768921,52.8,"[13, 60]"
100,0.05,78,558.5833333333394,2164,110.03869438171387,52.8,"[13, 60]"
100,0.05,89,558.5833333333394,2164,120.32511448860168,52.8,"[13, 60]"
100,0.05,90,558.5833333333394,2164,113.36675596237183,52.8,"[13, 60]"
300,0.01,0,1302.083333333334,4800,56.69442582130432,10.5,"[12, 13, 15, 16, 22, 68]"
300,0.01,12,1302.083333333334,4800,56.896780252456665,10.5,"[12, 13, 15, 16, 22, 68]"
300,0.01,23,1302.133333333335,5387,51.480297565460205,10.5,"[13, 21, 22, 45, 66, 68]"
300,0.01,34,1308.1333333333587,4690,55.53245687484741,10.5,"[12, 13, 15, 60, 61, 67]"
300,0.01,45,1180.9166666666806,4278,58.93740200996399,10.5,"[13, 22, 50, 51, 60, 75]"
300,0.01,56,1213.6166666666686,4292,48.92711687088013,10.5,"[12, 21, 22, 50, 51, 68]"
300,0.01,67,1319.3833333333369,4842,50.01222491264343,10.5,"[6, 15, 16, 21, 27, 79, 80]"
300,0.01,78,1353.1666666666733,4855,55.158430099487305,10.5,"[12, 13, 15, 21, 22, 68]"
300,0.01,89,1319.3833333333369,4842,49.77186560630798,10.5,"[6, 15, 16, 21, 27, 79, 80]"
