budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,477.3833333333423,1764,21.56709051132202,10.5,"[13, 50]"
100,0.01,12,385.3833333333314,1391,24.357218742370605,10.5,"[6, 13]"
100,0.01,23,434.45000000000437,1395,22.44275212287903,10.5,"[6, 60]"
100,0.01,34,558.5833333333394,2164,19.133054733276367,10.5,"[13, 60]"
100,0.01,45,435.6666666666715,1391,23.197133541107178,10.5,"[50, 60]"
100,0.01,56,477.3833333333423,1764,23.48796820640564,10.5,"[13, 50]"
100,0.01,67,431.7166666666708,1297,17.765572547912598,10.5,"[12, 50]"
100,0.01,78,434.45000000000437,1395,21.276750087738037,10.5,"[6, 60]"
100,0.01,89,434.45000000000437,1395,21.339105367660522,10.5,"[6, 60]"
100,0.01,90,431.7166666666708,1297,15.879748582839966,10.5,"[12, 50]"
100,0.02,0,558.5833333333394,2164,34.879783391952515,21.0,"[13, 60]"
100,0.02,12,558.5833333333394,2164,35.70026636123657,21.0,"[13, 60]"
100,0.02,23,558.5833333333394,2164,37.230855226516724,21.0,"[13, 60]"
100,0.02,34,558.5833333333394,2164,38.56232690811157,21.0,"[13, 60]"
100,0.02,45,558.5833333333394,2164,34.46220397949219,21.0,"[13, 60]"
100,0.02,56,558.5833333333394,2164,40.18413329124451,21.0,"[13, 60]"
100,0.02,67,427.9499999999989,1301,36.410943031311035,21.0,"[60, 80]"
100,0.02,78,460.4166666666697,1600,38.18495726585388,21.0,"[60, 79]"
100,0.02,89,558.5833333333394,2164,43.82560396194458,21.0,"[13, 60]"
100,0.02,90,558.5833333333394,2164,58.87669587135315,21.0,"[13, 60]"
100,0.03,0,558.5833333333394,2164,77.86954855918884,31.5,"[13, 60]"
100,0.03,12,427.9499999999989,1301,79.5801956653595,31.5,"[60, 80]"
100,0.03,23,434.45000000000437,1395,77.86426401138306,31.5,"[6, 60]"
100,0.03,34,558.5833333333394,2164,89.42442560195923,31.5,"[13, 60]"
100,0.03,45,460.4166666666697,1600,78.58214354515076,31.5,"[60, 79]"
100,0.03,56,558.5833333333394,2164,79.78339147567749,31.5,"[13, 60]"
100,0.03,67,431.7166666666708,1297,75.72576260566711,31.5,"[12, 50]"
100,0.03,78,558.5833333333394,2164,85.9317889213562,31.5,"[13, 60]"
100,0.03,89,558.5833333333394,2164,81.81370854377747,31.5,"[13, 60]"
100,0.03,90,558.5833333333394,2164,76.94425940513611,31.5,"[13, 60]"
100,0.04,0,558.5833333333394,2164,93.86148595809937,42.3,"[13, 60]"
100,0.04,12,558.5833333333394,2164,112.49635577201843,42.3,"[13, 60]"
100,0.04,23,427.9499999999989,1301,105.42635464668274,42.3,"[60, 80]"
100,0.04,34,558.5833333333394,2164,105.90789461135864,42.3,"[13, 60]"
100,0.04,45,558.5833333333394,2164,97.46982455253601,42.3,"[13, 60]"
100,0.04,56,558.5833333333394,2164,102.47094106674194,42.3,"[13, 60]"
100,0.04,67,558.5833333333394,2164,68.57917785644531,42.3,"[13, 60]"
100,0.04,78,558.5833333333394,2164,66.96299266815186,42.3,"[13, 60]"
100,0.04,89,558.5833333333394,2164,71.8839225769043,42.3,"[13, 60]"
100,0.04,90,558.5833333333394,2164,70.72063970565796,42.3,"[13, 60]"
100,0.05,0,558.5833333333394,2164,78.6209921836853,52.8,"[13, 60]"
100,0.05,12,558.5833333333394,2164,82.48255467414856,52.8,"[13, 60]"
100,0.05,23,558.5833333333394,2164,82.244788646698,52.8,"[13, 60]"
100,0.05,34,558.5833333333394,2164,78.18590569496155,52.8,"[13, 60]"
100,0.05,45,558.5833333333394,2164,89.58048176765442,52.8,"[13, 60]"
100,0.05,56,558.5833333333394,2164,80.48370885848999,52.8,"[13, 60]"
100,0.05,67,558.5833333333394,2164,81.2683117389679,52.8,"[13, 60]"
100,0.05,78,558.5833333333394,2164,86.49992370605469,52.8,"[13, 60]"
100,0.05,89,558.5833333333394,2164,94.03157210350037,52.8,"[13, 60]"
100,0.05,90,558.5833333333394,2164,78.97896099090576,52.8,"[13, 60]"
300,0.01,0,1334.8833333333605,4881,53.12169599533081,10.5,"[13, 22, 45, 50, 60, 68]"
300,0.01,12,1113.4666666666853,3829,51.446452617645264,10.5,"[6, 13, 22, 60, 61, 66]"
300,0.01,23,1235.9666666666635,4267,51.846763372421265,10.5,"[6, 12, 13, 15, 16, 75]"
300,0.01,34,1305.0333333333438,4670,45.87088990211487,10.5,"[6, 13, 60, 66, 67, 68]"
300,0.01,45,1302.9333333333616,4669,56.05113625526428,10.5,"[13, 15, 22, 50, 60, 61]"
