budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,204.39999999999418,397,18.94243812561035,10.5,"[72, 80]"
100,0.01,12,459.2000000000098,1451,17.293427228927612,10.5,"[60, 61]"
100,0.01,23,427.9499999999989,1301,15.436952114105225,10.5,"[60, 80]"
100,0.01,34,222.71666666665624,436,14.08103060722351,10.5,"[30, 80]"
100,0.01,45,558.5833333333394,2164,21.38838505744934,10.5,"[13, 60]"
100,0.01,56,448.7000000000062,1656,18.811964988708496,10.5,"[22, 60]"
100,0.01,67,261.71666666665806,701,20.810041189193726,10.5,"[50, 75]"
100,0.01,78,222.71666666665624,436,17.06300950050354,10.5,"[30, 80]"
100,0.01,89,427.9499999999989,1301,15.0473952293396,10.5,"[60, 80]"
100,0.01,90,431.7166666666708,1297,14.094226360321045,10.5,"[12, 50]"
100,0.02,0,366.6666666666588,1235,31.353351593017578,21.0,"[13, 80]"
100,0.02,12,399.86666666666315,1562,32.48269176483154,21.0,"[13, 79]"
100,0.02,23,460.4166666666697,1600,29.07294201850891,21.0,"[60, 79]"
100,0.02,34,434.45000000000437,1395,35.19790601730347,21.0,"[6, 60]"
100,0.02,45,431.7166666666708,1297,30.3167622089386,21.0,"[12, 50]"
100,0.02,56,379.8666666666704,1291,31.703709363937378,21.0,"[60, 66]"
100,0.02,67,427.9499999999989,1301,30.997652053833008,21.0,"[60, 80]"
100,0.02,78,427.9499999999989,1301,25.90046215057373,21.0,"[60, 80]"
100,0.02,89,434.45000000000437,1395,36.343464851379395,21.0,"[6, 60]"
100,0.02,90,558.5833333333394,2164,35.84366297721863,21.0,"[13, 60]"
100,0.03,0,388.5166666666719,1286,46.78810381889343,31.5,"[60, 72]"
100,0.03,12,427.9499999999989,1301,48.935091972351074,31.5,"[60, 80]"
100,0.03,23,448.7000000000062,1656,47.95630192756653,31.5,"[22, 60]"
100,0.03,34,558.5833333333394,2164,56.07443928718567,31.5,"[13, 60]"
100,0.03,45,427.9499999999989,1301,51.437395334243774,31.5,"[60, 80]"
100,0.03,56,460.4166666666697,1600,56.47620224952698,31.5,"[60, 79]"
100,0.03,67,427.9499999999989,1301,47.716981172561646,31.5,"[60, 80]"
100,0.03,78,427.9499999999989,1301,54.976295709609985,31.5,"[60, 80]"
100,0.03,89,366.6666666666588,1235,47.92723345756531,31.5,"[13, 80]"
100,0.03,90,427.9499999999989,1301,49.8996684551239,31.5,"[60, 80]"
100,0.04,0,558.5833333333394,2164,66.51375722885132,42.3,"[13, 60]"
100,0.04,12,407.46666666666533,1301,73.29989409446716,42.3,"[16, 60]"
100,0.04,23,366.6666666666588,1235,68.87834286689758,42.3,"[13, 80]"
100,0.04,34,427.9499999999989,1301,56.73159837722778,42.3,"[60, 80]"
100,0.04,45,427.9499999999989,1301,69.55246138572693,42.3,"[60, 80]"
100,0.04,56,332.4499999999971,1257,63.07486414909363,42.3,"[13, 72]"
100,0.04,67,558.5833333333394,2164,55.226842641830444,42.3,"[13, 60]"
100,0.04,78,427.9499999999989,1301,62.866934061050415,42.3,"[60, 80]"
100,0.04,89,458.4500000000062,1465,67.01378583908081,42.3,"[12, 60]"
100,0.04,90,427.9499999999989,1301,62.8918981552124,42.3,"[60, 80]"
100,0.05,0,427.9499999999989,1301,66.28665280342102,52.8,"[60, 80]"
100,0.05,12,311.2499999999891,981,82.86441326141357,52.8,"[79, 80]"
100,0.05,23,446.71666666667625,1852,79.40619778633118,52.8,"[15, 16]"
100,0.05,34,558.5833333333394,2164,85.64194989204407,52.8,"[13, 60]"
100,0.05,45,427.9499999999989,1301,74.879145860672,52.8,"[60, 80]"
100,0.05,56,427.9499999999989,1301,79.1407949924469,52.8,"[60, 80]"
100,0.05,67,427.9499999999989,1301,77.93049120903015,52.8,"[60, 80]"
100,0.05,78,392.46666666666897,1313,79.18345808982849,52.8,"[26, 60]"
100,0.05,89,558.5833333333394,2164,76.31064653396606,52.8,"[13, 60]"
100,0.05,90,427.9499999999989,1301,67.95896482467651,52.8,"[60, 80]"
300,0.01,0,1228.8666666666559,4329,41.75934314727783,10.5,"[21, 22, 26, 32, 66, 80]"
300,0.01,12,1178.2500000000146,3697,36.23895835876465,10.5,"[12, 22, 30, 50, 60, 61]"
300,0.01,23,1060.3333333333176,3502,45.11242461204529,10.5,"[6, 13, 60, 72, 75, 80]"
300,0.01,34,915.4833333333281,2827,42.8201789855957,10.5,"[6, 30, 45, 60, 72, 80]"
300,0.01,45,1248.783333333351,4210,49.258606910705566,10.5,"[13, 22, 50, 60, 61, 80]"
300,0.01,56,1019.8999999999996,3462,40.2054808139801,10.5,"[13, 22, 30, 60, 72, 80]"
300,0.01,67,905.0833333333176,2552,41.00890517234802,10.5,"[12, 30, 50, 72, 75, 80]"
300,0.01,78,896.2499999999818,2578,37.47865319252014,10.5,"[6, 30, 60, 72, 75, 80]"
300,0.01,89,1326.583333333334,4726,38.97164535522461,10.5,"[21, 27, 60, 61, 66, 80]"
300,0.01,90,925.6333333333278,2882,38.12864661216736,10.5,"[12, 30, 45, 50, 72, 80]"
300,0.02,0,1049.783333333322,3738,77.85485029220581,21.0,"[12, 13, 21, 22, 35, 80]"
300,0.02,12,1052.4166666666533,3577,76.74455642700195,21.0,"[13, 20, 26, 32, 72, 73]"
300,0.02,23,1318.1833333333416,4210,76.0023455619812,21.0,"[21, 26, 27, 32, 60, 72]"
