budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,477.3833333333423,1764,19.979604721069336,10.5,"[13, 50]"
100,0.01,12,459.2000000000098,1451,19.965174913406372,10.5,"[60, 61]"
100,0.01,23,459.2000000000098,1451,22.373639345169067,10.5,"[60, 61]"
100,0.01,34,558.5833333333394,2164,19.703414916992188,10.5,"[13, 60]"
100,0.01,45,459.2000000000098,1451,20.240296363830566,10.5,"[60, 61]"
100,0.01,56,477.3833333333423,1764,21.153785467147827,10.5,"[13, 50]"
100,0.01,67,431.7166666666708,1297,20.065593481063843,10.5,"[12, 50]"
100,0.01,78,558.5833333333394,2164,22.407312631607056,10.5,"[13, 60]"
100,0.01,89,400.8333333333376,1235,18.49126100540161,10.5,"[6, 12]"
100,0.01,90,431.7166666666708,1297,15.235900640487671,10.5,"[12, 50]"
100,0.02,0,558.5833333333394,2164,36.1337993144989,21.0,"[13, 60]"
100,0.02,12,558.5833333333394,2164,36.28839039802551,21.0,"[13, 60]"
100,0.02,23,558.5833333333394,2164,35.85918426513672,21.0,"[13, 60]"
100,0.02,34,459.2000000000098,1451,41.201310873031616,21.0,"[60, 61]"
100,0.02,45,558.5833333333394,2164,32.6161425113678,21.0,"[13, 60]"
100,0.02,56,558.5833333333394,2164,38.56683278083801,21.0,"[13, 60]"
100,0.02,67,558.5833333333394,2164,37.44653367996216,21.0,"[13, 60]"
100,0.02,78,558.5833333333394,2164,37.86294198036194,21.0,"[13, 60]"
100,0.02,89,459.2000000000098,1451,38.89405059814453,21.0,"[60, 61]"
100,0.02,90,459.2000000000098,1451,36.59257435798645,21.0,"[60, 61]"
100,0.03,0,459.2000000000098,1451,55.310460329055786,31.5,"[60, 61]"
100,0.03,12,427.9499999999989,1301,55.219796657562256,31.5,"[60, 80]"
100,0.03,23,426.28333333334194,1600,51.21261930465698,31.5,"[60, 67]"
100,0.03,34,459.2000000000098,1451,58.54680299758911,31.5,"[60, 61]"
100,0.03,45,459.2000000000098,1451,55.54608964920044,31.5,"[60, 61]"
100,0.03,56,459.2000000000098,1451,56.34820508956909,31.5,"[60, 61]"
100,0.03,67,459.2000000000098,1451,45.406253814697266,31.5,"[60, 61]"
100,0.03,78,459.2000000000098,1451,50.062652826309204,31.5,"[60, 61]"
100,0.03,89,558.5833333333394,2164,57.13154888153076,31.5,"[13, 60]"
100,0.03,90,459.2000000000098,1451,50.537792444229126,31.5,"[60, 61]"
100,0.04,0,448.7000000000062,1656,60.2101149559021,42.3,"[22, 60]"
100,0.04,12,446.71666666667625,1852,69.5861508846283,42.3,"[15, 16]"
100,0.04,23,558.5833333333394,2164,63.08888578414917,42.3,"[13, 60]"
100,0.04,34,459.2000000000098,1451,66.12273502349854,42.3,"[60, 61]"
100,0.04,45,446.71666666667625,1852,63.343456745147705,42.3,"[15, 16]"
100,0.04,56,558.5833333333394,2164,68.71732592582703,42.3,"[13, 60]"
100,0.04,67,558.5833333333394,2164,65.83777809143066,42.3,"[13, 60]"
100,0.04,78,459.2000000000098,1451,68.51989197731018,42.3,"[60, 61]"
100,0.04,89,459.2000000000098,1451,65.42286968231201,42.3,"[60, 61]"
100,0.04,90,459.2000000000098,1451,66.82014679908752,42.3,"[60, 61]"
100,0.05,0,558.5833333333394,2164,88.40431642532349,52.8,"[13, 60]"
100,0.05,12,446.71666666667625,1852,82.0195541381836,52.8,"[15, 16]"
100,0.05,23,448.7000000000062,1656,79.96574258804321,52.8,"[22, 60]"
100,0.05,34,558.5833333333394,2164,73.7383222579956,52.8,"[13, 60]"
100,0.05,45,426.28333333334194,1600,77.57858061790466,52.8,"[60, 67]"
100,0.05,56,446.71666666667625,1852,78.68423652648926,52.8,"[15, 16]"
100,0.05,67,459.2000000000098,1451,78.43398356437683,52.8,"[60, 61]"
100,0.05,78,459.2000000000098,1451,80.28214120864868,52.8,"[60, 61]"
100,0.05,89,558.5833333333394,2164,81.45647644996643,52.8,"[13, 60]"
100,0.05,90,446.71666666667625,1852,80.9163339138031,52.8,"[15, 16]"
