budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,325.7666666666646,1298,16.283560752868652,10.5,"[13, 21]"
100,0.01,12,325.7666666666646,1298,16.35663866996765,10.5,"[13, 21]"
100,0.01,23,302.16666666667334,1295,22.120635986328125,10.5,"[15, 51]"
100,0.01,34,427.9499999999989,1301,22.45088768005371,10.5,"[60, 80]"
100,0.01,45,117.69999999999345,374,17.94970178604126,10.5,"[35, 82]"
100,0.01,56,399.86666666666315,1562,19.646738052368164,10.5,"[13, 79]"
100,0.01,67,180.00000000000364,420,18.252206802368164,10.5,"[12, 27]"
100,0.01,78,460.4166666666697,1600,15.392648458480835,10.5,"[60, 79]"
100,0.01,89,458.4500000000062,1465,13.684082269668579,10.5,"[12, 60]"
100,0.01,90,434.45000000000437,1395,18.448622941970825,10.5,"[6, 60]"
100,0.02,0,385.3833333333314,1391,33.70808124542236,21.0,"[6, 13]"
100,0.02,12,325.7666666666646,1298,26.230003356933594,21.0,"[13, 21]"
100,0.02,23,558.5833333333394,2164,39.02639317512512,21.0,"[13, 60]"
100,0.02,34,369.0500000000029,1565,39.919957637786865,21.0,"[21, 22]"
100,0.02,45,117.69999999999345,374,34.178466796875,21.0,"[35, 82]"
100,0.02,56,399.86666666666315,1562,25.848573923110962,21.0,"[13, 79]"
100,0.02,67,260.4999999999909,705,34.664894819259644,21.0,"[6, 75]"
100,0.02,78,399.86666666666315,1562,38.62843585014343,21.0,"[13, 79]"
100,0.02,89,286.46666666665806,910,37.30851721763611,21.0,"[75, 79]"
100,0.02,90,435.6666666666715,1391,39.634665727615356,21.0,"[50, 60]"
100,0.03,0,477.3833333333423,1764,50.378105878829956,31.5,"[13, 50]"
100,0.03,12,413.6833333333416,1438,56.779436111450195,31.5,"[21, 60]"
100,0.03,23,458.4500000000062,1465,48.78772497177124,31.5,"[12, 60]"
100,0.03,34,558.5833333333394,2164,57.09076404571533,31.5,"[13, 60]"
100,0.03,45,558.5833333333394,2164,62.819674491882324,31.5,"[13, 60]"
100,0.03,56,306.8000000000011,875,42.67279601097107,31.5,"[12, 79]"
100,0.03,67,400.8333333333376,1235,51.074220418930054,31.5,"[6, 12]"
100,0.03,78,376.833333333323,1434,50.241005182266235,31.5,"[13, 75]"
100,0.03,89,413.6833333333416,1438,55.38979172706604,31.5,"[21, 60]"
100,0.03,90,431.7166666666708,1297,54.8184118270874,31.5,"[12, 50]"
100,0.04,0,477.3833333333423,1764,83.18697023391724,42.3,"[13, 50]"
100,0.04,12,477.3833333333423,1764,72.09156036376953,42.3,"[13, 50]"
100,0.04,23,458.4500000000062,1465,67.29933667182922,42.3,"[12, 60]"
100,0.04,34,558.5833333333394,2164,72.95579624176025,42.3,"[13, 60]"
100,0.04,45,558.5833333333394,2164,81.19317269325256,42.3,"[13, 60]"
100,0.04,56,460.4166666666697,1600,63.112518310546875,42.3,"[60, 79]"
100,0.04,67,400.8333333333376,1235,73.95219230651855,42.3,"[6, 12]"
100,0.04,78,376.833333333323,1434,76.58720779418945,42.3,"[13, 75]"
100,0.04,89,558.5833333333394,2164,80.18715620040894,42.3,"[13, 60]"
100,0.04,90,458.4500000000062,1465,73.2739577293396,42.3,"[12, 60]"
100,0.05,0,477.3833333333423,1764,96.18058013916016,52.8,"[13, 50]"
100,0.05,12,558.5833333333394,2164,90.79595136642456,52.8,"[13, 60]"
100,0.05,23,458.4500000000062,1465,86.31044459342957,52.8,"[12, 60]"
100,0.05,34,558.5833333333394,2164,101.85345697402954,52.8,"[13, 60]"
100,0.05,45,558.5833333333394,2164,100.90122961997986,52.8,"[13, 60]"
100,0.05,56,558.5833333333394,2164,98.66135668754578,52.8,"[13, 60]"
100,0.05,67,400.8333333333376,1235,87.70012497901917,52.8,"[6, 12]"
100,0.05,78,558.5833333333394,2164,96.43100142478943,52.8,"[13, 60]"
100,0.05,89,558.5833333333394,2164,90.83761978149414,52.8,"[13, 60]"
100,0.05,90,458.4500000000062,1465,94.02622866630554,52.8,"[12, 60]"
300,0.01,0,1208.8666666666722,4665,28.390444040298462,10.5,"[13, 21, 27, 60, 66, 78]"
300,0.01,12,1208.8666666666722,4665,28.259008407592773,10.5,"[13, 21, 27, 60, 66, 78]"
300,0.01,23,1097.3666666666904,4092,51.30384016036987,10.5,"[15, 51, 60, 61, 66, 67]"
300,0.01,34,1136.5833333333067,4036,81.01642417907715,10.5,"[16, 51, 60, 66, 67, 79, 80]"
300,0.01,45,1153.6500000000124,4038,40.51049757003784,10.5,"[13, 15, 22, 32, 60, 68]"
300,0.01,56,1097.0166666666646,4164,51.43158841133118,10.5,"[15, 16, 21, 51, 66, 77, 79]"
300,0.01,67,1111.2999999999865,3671,39.49978590011597,10.5,"[12, 21, 27, 60, 75, 80]"
300,0.01,78,1166.1999999999935,4063,32.05859851837158,10.5,"[6, 12, 45, 60, 75, 79]"
300,0.01,89,1273.4999999999927,4576,37.47248554229736,10.5,"[12, 13, 26, 27, 60, 75]"
300,0.01,90,1275.616666666674,4896,46.64834952354431,10.5,"[6, 15, 21, 22, 66, 68]"
300,0.02,0,1072.1666666666788,3710,105.58256793022156,21.0,"[6, 13, 22, 35, 60, 61]"
300,0.02,12,1211.2999999999956,4414,73.6560640335083,21.0,"[13, 21, 26, 27, 60, 78]"
300,0.02,23,1288.0500000000102,4364,91.20175409317017,21.0,"[6, 12, 13, 45, 60, 61]"
300,0.02,34,1187.666666666666,4441,122.87869596481323,21.0,"[6, 12, 21, 22, 45, 68]"
300,0.02,45,877.9666666666672,3006,74.13293027877808,21.0,"[13, 32, 35, 60, 80, 82]"
300,0.02,56,1097.0166666666646,4164,93.68281435966492,21.0,"[15, 16, 21, 51, 66, 79]"
300,0.02,67,1153.6166666666631,3912,79.1666669845581,21.0,"[6, 12, 21, 27, 60, 75]"
300,0.02,78,1248.8333333333267,4101,74.03120374679565,21.0,"[6, 12, 13, 60, 75, 79]"
300,0.02,89,1230.7833333333292,4280,95.05345821380615,21.0,"[12, 13, 21, 60, 75, 79]"
300,0.02,90,1378.51666666667,5391,76.52162981033325,21.0,"[13, 21, 22, 50, 66, 68]"
300,0.03,0,1407.7833333333292,5420,150.8096911907196,31.5,"[12, 13, 21, 22, 66, 68]"
300,0.03,12,1148.4833333333172,3664,108.42204427719116,31.5,"[6, 12, 13, 21, 26, 27]"
300,0.03,23,1375.133333333346,4772,156.40045475959778,31.5,"[12, 13, 15, 22, 60, 68]"
300,0.03,34,1289.1666666666606,4648,142.64354610443115,31.5,"[12, 13, 45, 60, 79, 80]"
300,0.03,45,1364.8999999999924,5058,118.42279386520386,31.5,"[13, 21, 22, 26, 27, 32]"
300,0.03,56,1215.8166666666784,4130,108.18226170539856,31.5,"[12, 13, 60, 61, 66, 79]"
300,0.03,67,1267.6666666666606,4272,141.34030151367188,31.5,"[6, 12, 21, 26, 27, 60]"
300,0.03,78,1248.8333333333267,4101,121.93440461158752,31.5,"[6, 12, 13, 60, 75, 79]"
300,0.03,89,1109.2000000000025,3699,154.07145738601685,31.5,"[6, 12, 21, 45, 60, 80]"
300,0.03,90,1407.7833333333292,5420,118.80168628692627,31.5,"[12, 13, 21, 22, 66, 68]"
300,0.04,0,1407.7833333333292,5420,186.4723198413849,42.3,"[12, 13, 21, 22, 66, 68]"
300,0.04,12,1376.7666666666664,4972,159.99919176101685,42.3,"[13, 21, 26, 27, 50, 60]"
300,0.04,23,1316.5833333333358,4544,186.48732662200928,42.3,"[12, 13, 60, 61, 68, 79]"
300,0.04,34,1334.8833333333605,4881,206.2120440006256,42.3,"[13, 22, 45, 50, 60, 68]"
300,0.04,45,1415.0833333333412,5114,176.96709895133972,42.3,"[15, 16, 21, 26, 27, 32]"
300,0.04,56,1193.5999999999985,4148,178.4335072040558,42.3,"[12, 13, 60, 66, 75, 79]"
300,0.04,67,1267.6666666666606,4272,187.85786533355713,42.3,"[6, 12, 21, 26, 27, 60]"
300,0.04,78,1319.983333333339,4849,166.99473667144775,42.3,"[13, 60, 66, 67, 68, 79]"
300,0.04,89,1243.7833333333456,4327,179.60382461547852,42.3,"[13, 21, 22, 60, 68, 79]"
300,0.04,90,1407.7833333333292,5420,192.37075877189636,42.3,"[12, 13, 21, 22, 66, 68]"
300,0.05,0,1378.51666666667,5391,231.45214796066284,52.8,"[13, 21, 22, 50, 66, 68]"
300,0.05,12,1464.7999999999993,5242,215.53282928466797,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,23,1309.1333333333478,4559,214.58346152305603,52.8,"[12, 13, 22, 60, 61, 79]"
300,0.05,34,1401.6500000000142,5083,259.6973304748535,52.8,"[13, 50, 60, 66, 67, 68]"
300,0.05,45,1464.7999999999993,5242,204.59137558937073,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,56,1145.9166666666606,3997,242.09937262535095,52.8,"[12, 13, 60, 73, 75, 79]"
300,0.05,67,1267.6666666666606,4272,213.6190264225006,52.8,"[6, 12, 21, 26, 27, 60]"
300,0.05,78,1319.983333333339,4849,221.6128351688385,52.8,"[13, 60, 66, 67, 68, 79]"
300,0.05,89,1335.1333333333296,4934,226.46641969680786,52.8,"[21, 22, 27, 66, 68, 80]"
