budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,115.66666666666424,266,17.549583196640015,10.5,"[30, 82]"
100,0.01,12,115.66666666666424,266,17.542163610458374,10.5,"[30, 82]"
100,0.01,23,107.44999999999709,522,29.662516832351685,10.5,"[47, 51]"
100,0.01,34,273.4166666666497,748,22.462095737457275,10.5,"[75, 80]"
100,0.01,45,558.5833333333394,2164,30.160234689712524,10.5,"[13, 60]"
100,0.01,56,460.4166666666697,1600,22.236660480499268,10.5,"[60, 79]"
100,0.01,67,458.4500000000062,1465,18.637412786483765,10.5,"[12, 60]"
100,0.01,78,460.4166666666697,1600,29.918588399887085,10.5,"[60, 79]"
100,0.01,89,332.4499999999971,1257,21.90537714958191,10.5,"[13, 72]"
100,0.01,90,216.41666666666606,732,24.727850675582886,10.5,"[21, 27]"
100,0.02,0,316.8666666666668,1338,65.77280378341675,21.0,"[13, 22]"
100,0.02,12,175.48333333332994,438,42.93157172203064,21.0,"[30, 66]"
100,0.02,23,459.2000000000098,1451,41.10971450805664,21.0,"[60, 61]"
100,0.02,34,273.4166666666497,748,60.29883599281311,21.0,"[75, 80]"
100,0.02,45,558.5833333333394,2164,53.92374348640442,21.0,"[13, 60]"
100,0.02,56,438.11666666666315,1500,48.67327880859375,21.0,"[60, 75]"
100,0.02,67,434.45000000000437,1395,43.049129247665405,21.0,"[6, 60]"
100,0.02,78,434.45000000000437,1395,64.72055411338806,21.0,"[6, 60]"
100,0.02,89,256.0166666666646,728,50.99328565597534,21.0,"[72, 79]"
100,0.02,90,216.41666666666606,732,54.013402223587036,21.0,"[21, 27]"
100,0.03,0,316.8666666666668,1338,95.59589791297913,31.5,"[13, 22]"
100,0.03,12,459.2000000000098,1451,83.08816957473755,31.5,"[60, 61]"
100,0.03,23,225.73333333332084,839,82.78469491004944,31.5,"[51, 75]"
100,0.03,34,369.0500000000029,1565,92.69684100151062,31.5,"[21, 22]"
100,0.03,45,332.4499999999971,1257,60.46868920326233,31.5,"[13, 72]"
100,0.03,56,460.4166666666697,1600,47.62602663040161,31.5,"[60, 79]"
100,0.03,67,434.45000000000437,1395,50.1918261051178,31.5,"[6, 60]"
100,0.03,78,400.8333333333376,1235,59.006025314331055,31.5,"[6, 12]"
100,0.03,89,314.21666666666533,1252,42.38544535636902,31.5,"[45, 79]"
100,0.03,90,139.39999999999782,466,50.502296924591064,31.5,"[66, 67]"
100,0.04,0,316.8666666666668,1338,79.69769215583801,42.3,"[13, 22]"
100,0.04,12,459.2000000000098,1451,58.31947183609009,42.3,"[60, 61]"
100,0.04,23,273.4166666666497,748,70.24495553970337,42.3,"[75, 80]"
100,0.04,34,369.0500000000029,1565,84.19773173332214,42.3,"[21, 22]"
100,0.04,45,369.0500000000029,1565,74.9876160621643,42.3,"[21, 22]"
100,0.04,56,558.5833333333394,2164,90.84894251823425,42.3,"[13, 60]"
100,0.04,67,400.8333333333376,1235,72.26431488990784,42.3,"[6, 12]"
100,0.04,78,460.4166666666697,1600,69.9897928237915,42.3,"[60, 79]"
100,0.04,89,303.0666666666657,1166,72.6057960987091,42.3,"[6, 45]"
100,0.04,90,229.51666666666824,584,72.20224833488464,42.3,"[12, 66]"
100,0.05,0,477.3833333333423,1764,96.5010199546814,52.8,"[13, 50]"
100,0.05,12,459.2000000000098,1451,74.16342210769653,52.8,"[60, 61]"
100,0.05,23,273.4166666666497,748,88.60447263717651,52.8,"[75, 80]"
100,0.05,34,438.11666666666315,1500,96.17356586456299,52.8,"[60, 75]"
100,0.05,45,426.28333333334194,1600,94.23558473587036,52.8,"[60, 67]"
100,0.05,56,558.5833333333394,2164,92.92816352844238,52.8,"[13, 60]"
100,0.05,67,434.45000000000437,1395,135.87547731399536,52.8,"[6, 60]"
100,0.05,78,460.4166666666697,1600,123.98705458641052,52.8,"[60, 79]"
100,0.05,89,281.74999999999454,953,136.24708223342896,52.8,"[45, 80]"
100,0.05,90,369.0500000000029,1565,110.33695363998413,52.8,"[21, 22]"
300,0.01,0,751.0666666666693,2924,27.632869005203247,10.5,"[20, 27, 60, 66, 78, 82]"
300,0.01,12,751.0666666666693,2924,27.534249782562256,10.5,"[20, 27, 60, 66, 78, 82]"
300,0.01,23,1097.3666666666904,4092,43.217681884765625,10.5,"[15, 51, 60, 61, 66, 67]"
300,0.01,34,965.1666666666442,3563,41.53872776031494,10.5,"[21, 22, 75, 78, 79, 80]"
300,0.01,45,928.6500000000015,3360,40.48289656639099,10.5,"[13, 14, 32, 60, 67, 80]"
300,0.01,56,1066.283333333342,3514,50.14513158798218,10.5,"[16, 21, 60, 61, 66, 79]"
300,0.01,67,1040.7333333333281,3597,38.85413575172424,10.5,"[6, 15, 16, 22, 27, 51, 80]"
300,0.01,78,1166.1999999999935,4063,43.01256537437439,10.5,"[6, 12, 45, 60, 75, 79]"
300,0.01,89,1213.2833333333292,4527,43.249905586242676,10.5,"[12, 13, 15, 16, 22, 72]"
300,0.01,90,972.0,3231,27.51754903793335,10.5,"[6, 21, 27, 66, 67, 68]"
300,0.02,0,1393.0666666666693,5437,92.84328174591064,21.0,"[13, 15, 21, 22, 66, 68]"
300,0.02,12,1172.583333333334,4499,59.28468155860901,21.0,"[21, 22, 30, 66, 68, 73]"
300,0.02,23,1107.8666666666613,3865,78.32345223426819,21.0,"[51, 60, 61, 66, 67, 68]"
300,0.02,34,1335.1333333333296,4934,107.27810144424438,21.0,"[21, 22, 27, 66, 68, 80]"
