budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,153.16666666666424,523,18.31731152534485,10.5,"[21, 66]"
100,0.01,12,153.16666666666424,523,18.221322298049927,10.5,"[21, 66]"
100,0.01,23,139.39999999999782,466,23.03921627998352,10.5,"[66, 67]"
100,0.01,34,448.7000000000062,1656,23.792641162872314,10.5,"[22, 60]"
100,0.01,45,369.0500000000029,1565,18.686205863952637,10.5,"[21, 22]"
100,0.01,56,459.2000000000098,1451,18.237682819366455,10.5,"[60, 61]"
100,0.01,67,438.11666666666315,1500,14.77285623550415,10.5,"[60, 75]"
100,0.01,78,460.4166666666697,1600,19.126634120941162,10.5,"[60, 79]"
100,0.01,89,458.4500000000062,1465,19.500526666641235,10.5,"[12, 60]"
100,0.01,90,434.45000000000437,1395,19.680532693862915,10.5,"[6, 60]"
100,0.02,0,558.5833333333394,2164,30.679778575897217,21.0,"[13, 60]"
100,0.02,12,459.2000000000098,1451,33.865894079208374,21.0,"[60, 61]"
100,0.02,23,558.5833333333394,2164,39.431774854660034,21.0,"[13, 60]"
100,0.02,34,369.0500000000029,1565,38.117855072021484,21.0,"[21, 22]"
100,0.02,45,369.0500000000029,1565,34.172595262527466,21.0,"[21, 22]"
100,0.02,56,459.2000000000098,1451,39.71026349067688,21.0,"[60, 61]"
100,0.02,67,448.7000000000062,1656,40.6293683052063,21.0,"[22, 60]"
100,0.02,78,438.11666666666315,1500,44.327091693878174,21.0,"[60, 75]"
100,0.02,89,262.7166666666617,881,29.599379301071167,21.0,"[68, 79]"
100,0.02,90,431.7166666666708,1297,29.867146492004395,21.0,"[12, 50]"
100,0.03,0,558.5833333333394,2164,52.60554575920105,31.5,"[13, 60]"
100,0.03,12,446.71666666667625,1852,60.57488799095154,31.5,"[15, 16]"
100,0.03,23,458.4500000000062,1465,55.91712832450867,31.5,"[12, 60]"
100,0.03,34,413.6833333333416,1438,56.41895413398743,31.5,"[21, 60]"
100,0.03,45,369.0500000000029,1565,52.228628635406494,31.5,"[21, 22]"
100,0.03,56,458.4500000000062,1465,45.01555585861206,31.5,"[12, 60]"
100,0.03,67,400.8333333333376,1235,52.97654485702515,31.5,"[6, 12]"
100,0.03,78,400.8333333333376,1235,46.26615500450134,31.5,"[6, 12]"
100,0.03,89,414.6833333333361,1482,59.024691104888916,31.5,"[60, 68]"
100,0.03,90,369.0500000000029,1565,47.319021463394165,31.5,"[21, 22]"
100,0.04,0,558.5833333333394,2164,85.80173826217651,42.3,"[13, 60]"
100,0.04,12,558.5833333333394,2164,77.03254771232605,42.3,"[13, 60]"
100,0.04,23,306.8000000000011,875,76.07970070838928,42.3,"[12, 79]"
