budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,1954.8750000000036,2164,29.705299377441406,10.5,"[13, 60]"
100,0.01,12,1954.8750000000036,2164,29.667641639709473,10.5,"[13, 60]"
100,0.01,23,1954.8750000000036,2164,30.34583020210266,10.5,"[13, 60]"
100,0.01,34,1608.783000000005,1764,35.910940647125244,10.5,"[13, 50]"
100,0.01,45,1181.1629999999896,1297,30.385714769363403,10.5,"[12, 50]"
100,0.01,56,1954.8750000000036,2164,32.094151973724365,10.5,"[13, 60]"
100,0.01,67,1954.8750000000036,2164,37.58047819137573,10.5,"[13, 60]"
100,0.01,78,1608.783000000005,1764,32.323538064956665,10.5,"[13, 50]"
100,0.01,89,1954.8750000000036,2164,38.057188749313354,10.5,"[13, 60]"
100,0.01,90,1954.8750000000036,2164,33.28596520423889,10.5,"[13, 60]"
100,0.02,0,1954.8750000000036,2164,60.989858865737915,21.0,"[13, 60]"
100,0.02,12,1954.8750000000036,2164,63.186973333358765,21.0,"[13, 60]"
100,0.02,23,1409.5829999999878,1565,58.859556436538696,21.0,"[21, 22]"
100,0.02,34,1954.8750000000036,2164,61.66405653953552,21.0,"[13, 60]"
100,0.02,45,1954.8750000000036,2164,61.738821029663086,21.0,"[13, 60]"
100,0.02,56,1648.7729999999992,1852,58.80268049240112,21.0,"[15, 16]"
100,0.02,67,1954.8750000000036,2164,61.08856558799744,21.0,"[13, 60]"
100,0.02,78,1954.8750000000036,2164,60.04638457298279,21.0,"[13, 60]"
100,0.02,89,1954.8750000000036,2164,59.4200599193573,21.0,"[13, 60]"
100,0.02,90,1954.8750000000036,2164,56.25053644180298,21.0,"[13, 60]"
100,0.03,0,1954.8750000000036,2164,96.8710720539093,31.5,"[13, 60]"
100,0.03,12,1954.8750000000036,2164,97.22895741462708,31.5,"[13, 60]"
100,0.03,23,1954.8750000000036,2164,82.64290952682495,31.5,"[13, 60]"
100,0.03,34,1954.8750000000036,2164,84.87796306610107,31.5,"[13, 60]"
100,0.03,45,1954.8750000000036,2164,97.64578127861023,31.5,"[13, 60]"
100,0.03,56,1954.8750000000036,2164,96.62354230880737,31.5,"[13, 60]"
100,0.03,67,1954.8750000000036,2164,86.73098301887512,31.5,"[13, 60]"
100,0.03,78,1954.8750000000036,2164,82.44247770309448,31.5,"[13, 60]"
100,0.03,89,1648.7729999999992,1852,94.62987613677979,31.5,"[15, 16]"
100,0.03,90,1954.8750000000036,2164,98.68004417419434,31.5,"[13, 60]"
100,0.04,0,1954.8750000000036,2164,127.956787109375,42.3,"[13, 60]"
100,0.04,12,1954.8750000000036,2164,132.55642771720886,42.3,"[13, 60]"
100,0.04,23,1954.8750000000036,2164,113.53431153297424,42.3,"[13, 60]"
100,0.04,34,1954.8750000000036,2164,115.86903667449951,42.3,"[13, 60]"
