budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,1172.4769999999971,1301,29.538988828659058,10.5,"[60, 80]"
100,0.01,12,1172.4769999999971,1301,29.702521800994873,10.5,"[60, 80]"
100,0.01,23,1608.783000000005,1764,34.02697014808655,10.5,"[13, 50]"
100,0.01,34,1181.1629999999896,1297,35.42524456977844,10.5,"[12, 50]"
100,0.01,45,1181.1629999999896,1297,28.14771008491516,10.5,"[12, 50]"
100,0.01,56,1608.783000000005,1764,28.83487033843994,10.5,"[13, 50]"
100,0.01,67,1181.1629999999896,1297,28.74409031867981,10.5,"[12, 50]"
100,0.01,78,1109.058000000001,1252,31.570531606674194,10.5,"[15, 50]"
100,0.01,89,1181.1629999999896,1297,28.71718430519104,10.5,"[12, 50]"
100,0.01,90,1608.783000000005,1764,33.66594958305359,10.5,"[13, 50]"
100,0.02,0,1409.5829999999878,1565,63.101189613342285,21.0,"[21, 22]"
100,0.02,12,1954.8750000000036,2164,62.3432412147522,21.0,"[13, 60]"
100,0.02,23,1409.5829999999878,1565,58.18743062019348,21.0,"[21, 22]"
100,0.02,34,1675.9830000000056,1867,56.36622643470764,21.0,"[13, 15]"
100,0.02,45,1675.9830000000056,1867,67.90035939216614,21.0,"[13, 15]"
100,0.02,56,1648.7729999999992,1852,60.779425859451294,21.0,"[15, 16]"
100,0.02,67,1409.5829999999878,1565,62.74915528297424,21.0,"[21, 22]"
100,0.02,78,1409.5829999999878,1565,59.13976526260376,21.0,"[21, 22]"
100,0.02,89,1954.8750000000036,2164,60.64475059509277,21.0,"[13, 60]"
100,0.02,90,1409.5829999999878,1565,68.43492889404297,21.0,"[21, 22]"
100,0.03,0,1954.8750000000036,2164,98.48755741119385,31.5,"[13, 60]"
100,0.03,12,1648.7729999999992,1852,90.64254426956177,31.5,"[15, 16]"
100,0.03,23,1648.7729999999992,1852,90.33037757873535,31.5,"[15, 16]"
100,0.03,34,1020.2070000000022,1134,93.61157298088074,31.5,"[15, 80]"
100,0.03,45,1954.8750000000036,2164,98.783766746521,31.5,"[13, 60]"
100,0.03,56,1648.7729999999992,1852,94.3536148071289,31.5,"[15, 16]"
100,0.03,67,1409.5829999999878,1565,84.40123677253723,31.5,"[21, 22]"
100,0.03,78,1648.7729999999992,1852,90.28050994873047,31.5,"[15, 16]"
100,0.03,89,1648.7729999999992,1852,95.2821319103241,31.5,"[15, 16]"
100,0.03,90,1409.5829999999878,1565,90.67445731163025,31.5,"[21, 22]"
100,0.04,0,1648.7729999999992,1852,115.80723261833191,42.3,"[15, 16]"
100,0.04,12,1416.3069999999843,1600,122.14428162574768,42.3,"[60, 67]"
100,0.04,23,1416.3069999999843,1600,113.09657406806946,42.3,"[60, 67]"
100,0.04,34,1648.7729999999992,1852,125.53617691993713,42.3,"[15, 16]"
100,0.04,45,1648.7729999999992,1852,113.43158340454102,42.3,"[15, 16]"
100,0.04,56,1954.8750000000036,2164,115.87903881072998,42.3,"[13, 60]"
100,0.04,67,1648.7729999999992,1852,113.10545659065247,42.3,"[15, 16]"
100,0.04,78,1954.8750000000036,2164,132.25024914741516,42.3,"[13, 60]"
100,0.04,89,1416.3069999999843,1600,122.83244109153748,42.3,"[60, 67]"
100,0.04,90,1648.7729999999992,1852,114.66927456855774,42.3,"[15, 16]"
100,0.05,0,1648.7729999999992,1852,141.1574227809906,52.8,"[15, 16]"
