budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,1330.3919999999962,1451,32.86725068092346,10.5,"[60, 61]"
100,0.01,12,1330.3919999999962,1451,32.89846444129944,10.5,"[60, 61]"
100,0.01,23,1167.0179999999982,1301,38.74084448814392,10.5,"[16, 60]"
100,0.01,34,1125.729999999994,1235,35.77283525466919,10.5,"[6, 12]"
100,0.01,45,1181.1629999999896,1297,33.91387939453125,10.5,"[12, 50]"
100,0.01,56,1675.9830000000056,1867,33.19527626037598,10.5,"[13, 15]"
100,0.01,67,1954.8750000000036,2164,38.56899666786194,10.5,"[13, 60]"
100,0.01,78,1181.1629999999896,1297,34.27316999435425,10.5,"[12, 50]"
100,0.01,89,1954.8750000000036,2164,38.647117376327515,10.5,"[13, 60]"
100,0.01,90,1409.5829999999878,1565,36.88190221786499,10.5,"[21, 22]"
100,0.02,0,1954.8750000000036,2164,62.37598729133606,21.0,"[13, 60]"
100,0.02,12,1648.7729999999992,1852,58.517430543899536,21.0,"[15, 16]"
100,0.02,23,1675.9830000000056,1867,56.221139430999756,21.0,"[13, 15]"
100,0.02,34,1954.8750000000036,2164,54.768314838409424,21.0,"[13, 60]"
100,0.02,45,1648.7729999999992,1852,62.43838143348694,21.0,"[15, 16]"
100,0.02,56,1648.7729999999992,1852,63.4537889957428,21.0,"[15, 16]"
100,0.02,67,1954.8750000000036,2164,62.86015701293945,21.0,"[13, 60]"
100,0.02,78,1954.8750000000036,2164,65.46891689300537,21.0,"[13, 60]"
100,0.02,89,1954.8750000000036,2164,60.391982555389404,21.0,"[13, 60]"
100,0.02,90,1954.8750000000036,2164,67.5621964931488,21.0,"[13, 60]"
100,0.03,0,1954.8750000000036,2164,90.93170619010925,31.5,"[13, 60]"
100,0.03,12,1648.7729999999992,1852,102.2102518081665,31.5,"[15, 16]"
100,0.03,23,1954.8750000000036,2164,97.03959012031555,31.5,"[13, 60]"
100,0.03,34,1675.9830000000056,1867,87.22940325737,31.5,"[13, 15]"
100,0.03,45,1954.8750000000036,2164,90.6661217212677,31.5,"[13, 60]"
100,0.03,56,1648.7729999999992,1852,91.15037536621094,31.5,"[15, 16]"
100,0.03,67,1954.8750000000036,2164,98.75794124603271,31.5,"[13, 60]"
100,0.03,78,1954.8750000000036,2164,97.35203194618225,31.5,"[13, 60]"
100,0.03,89,1648.7729999999992,1852,94.10279083251953,31.5,"[15, 16]"
100,0.03,90,1954.8750000000036,2164,89.77568817138672,31.5,"[13, 60]"
100,0.04,0,1648.7729999999992,1852,117.58162760734558,42.3,"[15, 16]"
100,0.04,12,1954.8750000000036,2164,106.61546444892883,42.3,"[13, 60]"
100,0.04,23,1954.8750000000036,2164,134.53075098991394,42.3,"[13, 60]"
100,0.04,34,1954.8750000000036,2164,107.67770409584045,42.3,"[13, 60]"
100,0.04,45,1648.7729999999992,1852,116.8474292755127,42.3,"[15, 16]"
100,0.04,56,1954.8750000000036,2164,126.17334532737732,42.3,"[13, 60]"
100,0.04,67,1954.8750000000036,2164,112.95771861076355,42.3,"[13, 60]"
100,0.04,78,1954.8750000000036,2164,99.91394329071045,42.3,"[13, 60]"
100,0.04,89,1954.8750000000036,2164,117.61287093162537,42.3,"[13, 60]"
100,0.04,90,1648.7729999999992,1852,109.5054087638855,42.3,"[15, 16]"
100,0.05,0,1954.8750000000036,2164,149.69907879829407,52.8,"[13, 60]"
100,0.05,12,1954.8750000000036,2164,128.03229188919067,52.8,"[13, 60]"
100,0.05,23,1954.8750000000036,2164,126.01713943481445,52.8,"[13, 60]"
100,0.05,34,1954.8750000000036,2164,156.90048217773438,52.8,"[13, 60]"
100,0.05,45,1954.8750000000036,2164,140.56057953834534,52.8,"[13, 60]"
100,0.05,56,1954.8750000000036,2164,127.9541826248169,52.8,"[13, 60]"
100,0.05,67,1954.8750000000036,2164,142.8881642818451,52.8,"[13, 60]"
100,0.05,78,1608.783000000005,1764,139.0296938419342,52.8,"[13, 50]"
100,0.05,89,1954.8750000000036,2164,126.0015172958374,52.8,"[13, 60]"
100,0.05,90,1954.8750000000036,2164,134.21832585334778,52.8,"[13, 60]"
300,0.01,0,3591.468999999992,3972,103.97545456886292,10.5,"[12, 16, 45, 50, 60, 67]"
300,0.01,12,3591.468999999992,3972,104.1004319190979,10.5,"[12, 16, 45, 50, 60, 67]"
300,0.01,23,4228.81100000002,4720,183.98783707618713,10.5,"[12, 13, 15, 20, 60, 61]"
300,0.01,34,4866.080000000005,5347,133.95276737213135,10.5,"[13, 21, 22, 27, 66, 68]"
300,0.01,45,4467.211999999987,4888,70.23341107368469,10.5,"[13, 21, 26, 27, 60, 75]"
300,0.01,56,4535.385999999993,4972,94.96198225021362,10.5,"[13, 21, 26, 27, 50, 60]"
300,0.01,67,3913.837999999985,4385,106.24057197570801,10.5,"[21, 45, 60, 66, 73, 79]"
300,0.01,78,3553.5929999999826,4018,111.11440253257751,10.5,"[12, 15, 21, 22, 50, 75]"
300,0.01,89,3913.837999999985,4385,106.05309581756592,10.5,"[21, 45, 60, 66, 73, 79]"
300,0.01,90,4731.208999999988,5254,122.89289665222168,10.5,"[15, 21, 22, 45, 66, 68]"
300,0.02,0,4430.661999999973,4812,600.5458703041077,21.0,"[21, 22, 26, 27, 32, 68]"
300,0.02,12,4931.802000000011,5422,351.7764263153076,21.0,"[13, 15, 16, 21, 27, 66]"
300,0.02,23,4931.802000000011,5422,183.34736347198486,21.0,"[13, 15, 16, 21, 27, 66]"
300,0.02,34,4097.633000000007,4621,316.76903009414673,21.0,"[12, 13, 15, 20, 60, 67]"
300,0.02,45,4812.405999999981,5357,316.20666694641113,21.0,"[15, 21, 22, 66, 68, 73]"
300,0.02,56,4731.660000000013,5266,526.7351493835449,21.0,"[15, 16, 21, 27, 28, 66, 80]"
300,0.02,67,4430.661999999973,4812,601.4362850189209,21.0,"[21, 22, 26, 27, 32, 68]"
300,0.02,78,4522.334000000017,4975,215.49603366851807,21.0,"[12, 13, 15, 16, 21, 27]"
300,0.02,89,4140.385000000002,4597,563.9607474803925,21.0,"[13, 15, 45, 50, 60, 67]"
300,0.02,90,4931.802000000011,5422,209.54431819915771,21.0,"[13, 15, 16, 21, 27, 66]"
300,0.03,0,4432.2279999999955,4879,709.301474571228,31.5,"[15, 21, 22, 60, 66, 68]"
300,0.03,12,4812.405999999981,5357,826.0083317756653,31.5,"[15, 21, 22, 66, 68, 73]"
300,0.03,23,4843.634999999998,5354,801.6703200340271,31.5,"[13, 21, 22, 66, 68, 73]"
300,0.03,34,4637.597000000003,5134,646.9724254608154,31.5,"[15, 21, 27, 60, 61, 66]"
300,0.03,45,4432.2279999999955,4879,707.3644325733185,31.5,"[15, 21, 22, 60, 66, 68]"
300,0.03,56,4357.186000000012,4796,425.50901889801025,31.5,"[12, 13, 15, 16, 21, 22]"
300,0.03,67,4256.318000000012,4690,780.1285243034363,31.5,"[12, 13, 15, 60, 61, 67]"
300,0.03,78,4843.634999999998,5354,801.8890182971954,31.5,"[13, 21, 22, 66, 68, 73]"
300,0.03,89,4636.854999999985,5114,560.9145910739899,31.5,"[15, 16, 21, 26, 27, 32]"
300,0.03,90,4812.405999999981,5357,392.2199954986572,31.5,"[15, 21, 22, 66, 68, 73]"
300,0.04,0,4812.405999999981,5357,1644.8152785301208,42.3,"[15, 21, 22, 66, 68, 73]"
300,0.04,12,4918.943999999998,5437,1220.7746238708496,42.3,"[13, 15, 21, 22, 66, 68]"
300,0.04,23,4931.802000000011,5422,1099.5568323135376,42.3,"[13, 15, 16, 21, 27, 66]"
300,0.04,34,4731.208999999988,5254,2055.2028617858887,42.3,"[15, 21, 22, 45, 66, 68]"
300,0.04,45,4357.186000000012,4796,1496.9594976902008,42.3,"[12, 13, 15, 16, 21, 22]"
300,0.04,56,4476.217000000013,4912,1851.2978205680847,42.3,"[12, 13, 15, 16, 21, 66]"
300,0.04,67,4918.943999999998,5437,1600.232021331787,42.3,"[13, 15, 21, 22, 66, 68]"
300,0.04,78,4918.943999999998,5437,1356.0449221134186,42.3,"[13, 15, 21, 22, 66, 68]"
300,0.04,89,4812.405999999981,5357,1840.2379267215729,42.3,"[15, 21, 22, 66, 68, 73]"
300,0.04,90,4918.943999999998,5437,2011.4787986278534,42.3,"[13, 15, 21, 22, 66, 68]"
300,0.05,0,4849.389999999987,5367,3714.124186038971,52.8,"[15, 21, 22, 27, 66, 68]"
300,0.05,12,4812.405999999981,5357,1168.4588315486908,52.8,"[15, 21, 22, 66, 68, 73]"
300,0.05,23,4849.389999999987,5367,1283.5254490375519,52.8,"[15, 21, 22, 27, 66, 68]"
300,0.05,34,4812.405999999981,5357,1537.1219148635864,52.8,"[15, 21, 22, 66, 68, 73]"
300,0.05,45,4812.405999999981,5357,1041.7699508666992,52.8,"[15, 21, 22, 66, 68, 73]"
300,0.05,56,4918.943999999998,5437,2256.1398622989655,52.8,"[13, 15, 21, 22, 66, 68]"
300,0.05,67,4812.405999999981,5357,1274.6837849617004,52.8,"[15, 21, 22, 66, 68, 73]"
300,0.05,78,4812.405999999981,5357,1057.9848816394806,52.8,"[15, 21, 22, 66, 68, 73]"
300,0.05,89,4637.597000000003,5134,1481.6506056785583,52.8,"[15, 21, 27, 60, 61, 66]"
300,0.05,90,4476.217000000013,4912,2366.317003250122,52.8,"[12, 13, 15, 16, 21, 66]"
500,0.01,0,6864.058999999987,7586,188.033757686615,10.5,"[12, 21, 22, 26, 32, 34, 45, 50, 66, 68]"
500,0.01,12,6864.058999999987,7586,187.40891194343567,10.5,"[12, 21, 22, 26, 32, 34, 45, 50, 66, 68]"
500,0.01,23,7296.76000000002,8113,537.2482957839966,10.5,"[6, 13, 15, 16, 21, 26, 27, 45, 61, 66, 80]"
500,0.01,34,8007.014000000021,8767,148.04318833351135,10.5,"[12, 13, 21, 22, 26, 27, 32, 45, 66, 68]"
500,0.01,45,6624.584999999997,7249,156.96295928955078,10.5,"[12, 21, 26, 27, 30, 32, 45, 50, 60, 75]"
500,0.01,56,7777.030000000028,8543,205.27969241142273,10.5,"[13, 15, 16, 21, 22, 26, 27, 50, 75, 79, 80]"
500,0.01,67,7637.270000000035,8389,122.42425775527954,10.5,"[12, 13, 21, 26, 27, 32, 45, 60, 66, 75]"
500,0.01,78,6305.357000000011,6958,430.695289850235,10.5,"[12, 13, 15, 20, 21, 22, 45, 59, 68, 79]"
500,0.01,89,7637.270000000035,8389,122.8303906917572,10.5,"[12, 13, 21, 26, 27, 32, 45, 60, 66, 75]"
500,0.01,90,6879.621999999999,7605,456.89223766326904,10.5,"[12, 15, 21, 22, 30, 45, 50, 66, 68, 79]"
500,0.02,0,7078.676000000016,7849,2119.1096680164337,21.0,"[12, 13, 15, 16, 22, 27, 59, 66, 68, 79, 80]"
500,0.02,12,7462.324000000011,8192,493.72730779647827,21.0,"[6, 12, 15, 16, 21, 26, 27, 45, 66, 79, 80]"
500,0.02,23,7339.7080000000005,8158,416.4798974990845,21.0,"[12, 15, 21, 22, 26, 27, 32, 45, 50, 68]"
500,0.02,34,8124.73800000003,8925,487.4319157600403,21.0,"[12, 13, 15, 16, 21, 26, 27, 32, 66, 75]"
500,0.02,45,7942.491000000011,8687,767.1784536838531,21.0,"[13, 15, 21, 22, 27, 50, 51, 66, 68, 79, 80]"
500,0.02,56,7588.4480000000185,8358,1162.0072219371796,21.0,"[12, 15, 16, 21, 26, 27, 50, 51, 75, 79, 80]"
500,0.02,67,7078.676000000016,7849,2117.656882286072,21.0,"[12, 13, 15, 16, 22, 27, 59, 66, 68, 79, 80]"
500,0.02,78,7667.414000000026,8439,1765.4430630207062,21.0,"[6, 12, 13, 15, 16, 21, 26, 27, 75, 79, 80]"
500,0.02,89,7465.891000000018,8270,1285.1032028198242,21.0,"[13, 15, 21, 26, 27, 32, 45, 50, 60, 75]"
500,0.02,90,8002.133000000016,8822,530.8123126029968,21.0,"[13, 15, 16, 21, 26, 27, 32, 50, 51, 61, 66]"
500,0.03,0,7993.510000000011,8814,821.8374409675598,31.5,"[15, 16, 21, 22, 26, 27, 32, 50, 51, 61, 66]"
500,0.03,12,7610.906000000028,8305,2648.4848363399506,31.5,"[12, 13, 15, 21, 22, 26, 27, 32, 60, 68]"
500,0.03,23,7873.722000000029,8638,541.4191920757294,31.5,"[12, 13, 15, 16, 21, 22, 26, 27, 32, 68]"
500,0.03,34,7873.722000000029,8638,542.0127980709076,31.5,"[12, 13, 15, 16, 21, 22, 26, 27, 32, 68]"
500,0.03,45,7993.510000000011,8814,815.7607519626617,31.5,"[15, 16, 21, 22, 26, 27, 32, 50, 51, 61, 66]"
500,0.03,56,8124.73800000003,8925,2203.5116424560547,31.5,"[12, 13, 15, 16, 21, 26, 27, 32, 66, 75]"
500,0.03,67,7873.722000000029,8638,1620.8677732944489,31.5,"[12, 13, 15, 16, 21, 22, 26, 27, 32, 68]"
500,0.03,78,7873.722000000029,8638,542.1690890789032,31.5,"[12, 13, 15, 16, 21, 22, 26, 27, 32, 68]"
500,0.03,89,7419.34700000002,8178,1095.2885797023773,31.5,"[12, 15, 16, 21, 26, 27, 28, 32, 50, 51, 75]"
500,0.03,90,8325.879000000019,9123,1018.4473297595978,31.5,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.04,0,7323.803000000025,8055,4489.597580194473,42.3,"[12, 13, 15, 16, 21, 22, 26, 27, 59, 79, 80]"
500,0.04,12,7355.074000000008,8167,3069.120037317276,42.3,"[12, 15, 16, 21, 26, 27, 28, 32, 50, 51, 68]"
500,0.04,23,8325.879000000019,9123,2280.5872151851654,42.3,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.04,34,8002.133000000016,8822,4972.37437081337,42.3,"[13, 15, 16, 21, 26, 27, 32, 50, 51, 61, 66]"
500,0.04,45,8325.879000000019,9123,4337.867761135101,42.3,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.04,56,8325.879000000019,9123,4111.249300479889,42.3,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.04,67,8325.879000000019,9123,2603.8234963417053,42.3,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.04,78,8325.879000000019,9123,4658.245319604874,42.3,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.04,89,7419.34700000002,8178,4137.196302652359,42.3,"[12, 15, 16, 21, 26, 27, 28, 32, 50, 51, 75]"
500,0.04,90,8002.133000000016,8822,3629.847178220749,42.3,"[13, 15, 16, 21, 26, 27, 32, 50, 51, 61, 66]"
500,0.05,0,7614.789000000028,8420,11746.65200662613,52.8,"[12, 13, 15, 16, 21, 22, 26, 27, 61, 79, 80]"
500,0.05,12,8325.879000000019,9123,20698.94731616974,52.8,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.05,23,8325.879000000019,9123,4567.454227924347,52.8,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.05,34,8002.133000000016,8822,8388.78753900528,52.8,"[13, 15, 16, 21, 26, 27, 32, 50, 51, 61, 66]"
500,0.05,45,8325.879000000019,9123,2589.014579772949,52.8,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.05,56,8325.879000000019,9123,14415.522689819336,52.8,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.05,67,8325.879000000019,9123,4977.216980457306,52.8,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.05,78,8325.879000000019,9123,3310.016377210617,52.8,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.05,89,8069.451000000026,8868,13096.25008559227,52.8,"[12, 13, 15, 21, 26, 27, 32, 60, 61, 66]"
500,0.05,90,7800.099000000033,8583,6480.346885442734,52.8,"[12, 13, 15, 21, 26, 27, 32, 60, 66, 75]"
