budget,size,seed,obj,time,loss_bound,projects
100,0.01,0,164248.1235219008,5.910607576370239,10.5,"[58, 65]"
100,0.01,12,164248.1235219008,5.807534456253052,10.5,"[58, 65]"
100,0.01,23,164248.1235219008,2.4021568298339844,10.5,"[58, 65]"
100,0.01,34,164248.1235219008,3.617347478866577,10.5,"[58, 65]"
100,0.01,45,163699.15482394464,8.037813186645508,10.5,"[15, 16]"
100,0.01,56,164712.4221579359,7.363862752914429,10.5,"[21, 22]"
100,0.01,67,164248.1235219008,5.7267937660217285,10.5,"[58, 65]"
100,0.01,78,163208.30620095233,5.99344801902771,10.5,"[51, 58]"
100,0.01,89,161354.86437295552,1.3232786655426025,10.5,"[25, 26]"
100,0.01,90,164425.69225563642,8.12837028503418,10.5,"[26, 27]"
100,0.02,0,164712.4221579359,14.14375615119934,21.0,"[21, 22]"
100,0.02,12,164712.4221579359,20.92569136619568,21.0,"[21, 22]"
100,0.02,23,163699.15482394464,18.43171238899231,21.0,"[15, 16]"
100,0.02,34,164712.4221579359,15.117619752883911,21.0,"[21, 22]"
100,0.02,45,162453.97581757742,15.577259540557861,21.0,"[66, 73]"
100,0.02,56,163699.15482394464,6.7554097175598145,21.0,"[15, 16]"
100,0.02,67,162453.97581757742,18.117750644683838,21.0,"[66, 73]"
100,0.02,78,164248.1235219008,14.386907815933228,21.0,"[58, 65]"
100,0.02,89,162453.97581757742,18.07657265663147,21.0,"[66, 73]"
100,0.02,90,162453.97581757742,19.339147567749023,21.0,"[66, 73]"
100,0.03,0,164712.4221579359,43.053264141082764,31.5,"[21, 22]"
100,0.03,12,164712.4221579359,32.21472191810608,31.5,"[21, 22]"
100,0.03,23,164712.4221579359,25.357123374938965,31.5,"[21, 22]"
100,0.03,34,164248.1235219008,57.41528105735779,31.5,"[58, 65]"
100,0.03,45,163699.15482394464,39.87498235702515,31.5,"[15, 16]"
100,0.03,56,163699.15482394464,40.19246053695679,31.5,"[15, 16]"
100,0.03,67,162453.97581757742,37.634899854660034,31.5,"[66, 73]"
100,0.03,78,164712.4221579359,25.156952381134033,31.5,"[21, 22]"
100,0.03,89,162453.97581757742,37.45663928985596,31.5,"[66, 73]"
100,0.03,90,161735.41729248592,42.4670844078064,31.5,"[65, 72]"
100,0.04,0,164248.1235219008,46.68310356140137,42.3,"[58, 65]"
100,0.04,12,164712.4221579359,64.70052337646484,42.3,"[21, 22]"
100,0.04,23,164425.69225563642,72.45999670028687,42.3,"[26, 27]"
100,0.04,34,162453.97581757742,57.74425005912781,42.3,"[66, 73]"
100,0.04,45,164425.69225563642,84.776052236557,42.3,"[26, 27]"
100,0.04,56,164425.69225563642,71.06576704978943,42.3,"[26, 27]"
100,0.04,67,164712.4221579359,64.03269243240356,42.3,"[21, 22]"
100,0.04,78,164712.4221579359,81.15265250205994,42.3,"[21, 22]"
100,0.04,89,163699.15482394464,73.05851745605469,42.3,"[15, 16]"
100,0.04,90,163699.15482394464,83.44041204452515,42.3,"[15, 16]"
100,0.05,0,164248.1235219008,102.32743549346924,52.8,"[58, 65]"
100,0.05,12,164712.4221579359,441.86417388916016,52.8,"[21, 22]"
100,0.05,23,164712.4221579359,442.47530245780945,52.8,"[21, 22]"
100,0.05,34,164712.4221579359,367.7223834991455,52.8,"[21, 22]"
100,0.05,45,164712.4221579359,470.454163312912,52.8,"[21, 22]"
100,0.05,56,164248.1235219008,102.09146785736084,52.8,"[58, 65]"
