budget,size,seed,obj,time,loss_bound,projects
100,0.01,0,164248.1235219008,5.3424506187438965,10.5,"[58, 65]"
100,0.01,12,164248.1235219008,5.2956037521362305,10.5,"[58, 65]"
100,0.01,23,164248.1235219008,3.45229172706604,10.5,"[58, 65]"
100,0.01,34,164248.1235219008,5.623642921447754,10.5,"[58, 65]"
100,0.01,45,163699.15482394464,6.607819080352783,10.5,"[15, 16]"
100,0.01,56,164712.4221579359,8.294891595840454,10.5,"[21, 22]"
100,0.01,67,164248.1235219008,5.201873064041138,10.5,"[58, 65]"
100,0.01,78,164248.1235219008,4.389592409133911,10.5,"[58, 65]"
100,0.01,89,164248.1235219008,5.998565196990967,10.5,"[58, 65]"
100,0.01,90,162314.8882362769,7.404486417770386,10.5,"[21, 60]"
100,0.02,0,164712.4221579359,15.839988231658936,21.0,"[21, 22]"
100,0.02,12,163699.15482394464,16.82415747642517,21.0,"[15, 16]"
100,0.02,23,164248.1235219008,19.479758501052856,21.0,"[58, 65]"
100,0.02,34,164712.4221579359,15.058927059173584,21.0,"[21, 22]"
100,0.02,45,164425.69225563642,15.652537107467651,21.0,"[26, 27]"
100,0.02,56,163699.15482394464,9.482128858566284,21.0,"[15, 16]"
100,0.02,67,164712.4221579359,17.38650345802307,21.0,"[21, 22]"
100,0.02,78,164248.1235219008,15.808749914169312,21.0,"[58, 65]"
100,0.02,89,164712.4221579359,17.41776967048645,21.0,"[21, 22]"
100,0.02,90,162453.97581757742,19.87031126022339,21.0,"[66, 73]"
100,0.03,0,164712.4221579359,41.81824207305908,31.5,"[21, 22]"
100,0.03,12,164712.4221579359,28.30579972267151,31.5,"[21, 22]"
100,0.03,23,164712.4221579359,29.9148006439209,31.5,"[21, 22]"
100,0.03,34,164248.1235219008,56.56476664543152,31.5,"[58, 65]"
100,0.03,45,164712.4221579359,32.16426730155945,31.5,"[21, 22]"
100,0.03,56,164248.1235219008,35.03858733177185,31.5,"[58, 65]"
100,0.03,67,164712.4221579359,40.20924782752991,31.5,"[21, 22]"
100,0.03,78,164712.4221579359,30.086633920669556,31.5,"[21, 22]"
100,0.03,89,164712.4221579359,40.11552286148071,31.5,"[21, 22]"
100,0.03,90,164712.4221579359,38.64711093902588,31.5,"[21, 22]"
100,0.04,0,164248.1235219008,43.630314350128174,42.3,"[58, 65]"
100,0.04,12,164712.4221579359,71.06134796142578,42.3,"[21, 22]"
100,0.04,23,164425.69225563642,45.17684483528137,42.3,"[26, 27]"
100,0.04,34,162453.97581757742,54.64333462715149,42.3,"[66, 73]"
100,0.04,45,164425.69225563642,52.9718656539917,42.3,"[26, 27]"
100,0.04,56,164425.69225563642,69.98347687721252,42.3,"[26, 27]"
100,0.04,67,164425.69225563642,62.34467363357544,42.3,"[26, 27]"
100,0.04,78,164712.4221579359,58.78298330307007,42.3,"[21, 22]"
100,0.04,89,164712.4221579359,68.84311866760254,42.3,"[21, 22]"
100,0.04,90,163699.15482394464,76.56006908416748,42.3,"[15, 16]"
100,0.05,0,164248.1235219008,120.12792372703552,52.8,"[58, 65]"
100,0.05,12,164712.4221579359,401.4834349155426,52.8,"[21, 22]"
100,0.05,23,164712.4221579359,404.1546823978424,52.8,"[21, 22]"
100,0.05,34,164712.4221579359,437.678019285202,52.8,"[21, 22]"
100,0.05,45,164425.69225563642,415.839426279068,52.8,"[26, 27]"
100,0.05,56,164248.1235219008,120.67467427253723,52.8,"[58, 65]"
100,0.05,67,164425.69225563642,370.41263818740845,52.8,"[26, 27]"
100,0.05,78,164712.4221579359,417.1203739643097,52.8,"[21, 22]"
100,0.05,89,164712.4221579359,325.48574924468994,52.8,"[21, 22]"
100,0.05,90,164712.4221579359,443.48917412757874,52.8,"[21, 22]"
300,0.01,0,177977.39425646738,9.685188055038452,10.5,"[27, 28, 47, 54, 61, 68]"
300,0.01,12,177977.39425646738,9.700812816619873,10.5,"[27, 28, 47, 54, 61, 68]"
300,0.01,23,177330.28005401106,2.8118362426757812,10.5,"[7, 20, 21, 22, 51, 58]"
300,0.01,34,174017.75852571314,18.604960441589355,10.5,"[10, 26, 27, 53, 60, 67]"
300,0.01,45,177524.27679045155,19.448508262634277,10.5,"[18, 19, 20, 21, 22, 68]"
300,0.01,56,182924.00399281198,15.55882978439331,10.5,"[6, 7, 8, 9, 10, 49, 51]"
300,0.01,67,177977.39425646738,10.013231992721558,10.5,"[27, 28, 47, 54, 61, 68]"
300,0.01,78,179640.91311744702,5.873593330383301,10.5,"[7, 8, 52, 59, 66, 73]"
300,0.01,89,176541.52557503807,10.997375965118408,10.5,"[16, 47, 54, 61, 68, 75]"
300,0.01,90,174017.75852571314,9.10720157623291,10.5,"[10, 26, 27, 53, 60, 67]"
300,0.02,0,179974.6084687156,39.16261839866638,21.0,"[7, 8, 9, 10, 54, 61]"
300,0.02,12,182104.98693757158,107.56836295127869,21.0,"[32, 33, 51, 58, 65, 72]"
300,0.02,23,184211.8825538808,107.81830191612244,21.0,"[25, 26, 27, 28, 61, 68]"
300,0.02,34,175336.76520275613,90.08813190460205,21.0,"[2, 13, 44, 51, 58, 65]"
300,0.02,45,180583.18594086866,36.42890429496765,21.0,"[24, 25, 26, 27, 28, 63]"
300,0.02,56,181469.3595948985,84.52691864967346,21.0,"[6, 7, 8, 9, 10, 47]"
300,0.02,67,180980.92127055104,100.10137104988098,21.0,"[24, 25, 26, 27, 28, 67]"
300,0.02,78,179974.6084687156,86.24526286125183,21.0,"[7, 8, 9, 10, 54, 61]"
300,0.02,89,180980.92127055104,99.1797149181366,21.0,"[24, 25, 26, 27, 28, 67]"
