budget,size,seed,obj,time,loss_bound,projects
100,0.01,0,164248.1235219008,9.638320207595825,10.5,"[58, 65]"
100,0.01,12,164248.1235219008,9.372792720794678,10.5,"[58, 65]"
100,0.01,23,162191.53679427493,4.420855283737183,10.5,"[23, 61]"
100,0.01,34,161685.6338194222,9.388386487960815,10.5,"[54, 61]"
100,0.01,45,161905.82149935447,10.96616816520691,10.5,"[9, 10]"
100,0.01,56,164712.4221579359,7.388853073120117,10.5,"[21, 22]"
100,0.01,67,164248.1235219008,9.404035091400146,10.5,"[58, 65]"
100,0.01,78,164248.1235219008,7.076433420181274,10.5,"[58, 65]"
100,0.01,89,161818.82296357385,9.07595705986023,10.5,"[22, 61]"
100,0.01,90,164712.4221579359,6.576545238494873,10.5,"[21, 22]"
100,0.02,0,164712.4221579359,24.447360038757324,21.0,"[21, 22]"
100,0.02,12,164712.4221579359,23.66626238822937,21.0,"[21, 22]"
100,0.02,23,164248.1235219008,39.084505558013916,21.0,"[58, 65]"
100,0.02,34,164712.4221579359,25.572073221206665,21.0,"[21, 22]"
100,0.02,45,164712.4221579359,22.713364362716675,21.0,"[21, 22]"
100,0.02,56,163699.15482394464,39.49068903923035,21.0,"[15, 16]"
100,0.02,67,164712.4221579359,21.60425043106079,21.0,"[21, 22]"
100,0.02,78,164712.4221579359,29.711711168289185,21.0,"[21, 22]"
100,0.02,89,164712.4221579359,21.61986994743347,21.0,"[21, 22]"
100,0.02,90,162453.97581757742,34.46060037612915,21.0,"[66, 73]"
100,0.03,0,164712.4221579359,77.9972312450409,31.5,"[21, 22]"
100,0.03,12,164712.4221579359,37.70985293388367,31.5,"[21, 22]"
100,0.03,23,164712.4221579359,78.88762593269348,31.5,"[21, 22]"
100,0.03,34,164712.4221579359,90.1818413734436,31.5,"[21, 22]"
100,0.03,45,164712.4221579359,57.70514273643494,31.5,"[21, 22]"
100,0.03,56,164712.4221579359,83.6833930015564,31.5,"[21, 22]"
100,0.03,67,164712.4221579359,45.05185508728027,31.5,"[21, 22]"
100,0.03,78,164712.4221579359,78.66895294189453,31.5,"[21, 22]"
100,0.03,89,164712.4221579359,45.16119837760925,31.5,"[21, 22]"
100,0.03,90,164712.4221579359,47.83249807357788,31.5,"[21, 22]"
100,0.04,0,164712.4221579359,50.90986490249634,42.3,"[21, 22]"
100,0.04,12,164712.4221579359,63.110092878341675,42.3,"[21, 22]"
100,0.04,23,164712.4221579359,118.51890587806702,42.3,"[21, 22]"
100,0.04,34,164712.4221579359,131.17216396331787,42.3,"[21, 22]"
100,0.04,45,164712.4221579359,88.74467825889587,42.3,"[21, 22]"
100,0.04,56,164712.4221579359,104.3503954410553,42.3,"[21, 22]"
100,0.04,67,164712.4221579359,85.58918142318726,42.3,"[21, 22]"
100,0.04,78,164712.4221579359,101.35107970237732,42.3,"[21, 22]"
100,0.04,89,164712.4221579359,83.27720427513123,42.3,"[21, 22]"
100,0.04,90,164712.4221579359,94.33710646629333,42.3,"[21, 22]"
100,0.05,0,164712.4221579359,221.0259883403778,52.8,"[21, 22]"
100,0.05,12,164712.4221579359,426.5712857246399,52.8,"[21, 22]"
100,0.05,23,164712.4221579359,425.33717918395996,52.8,"[21, 22]"
100,0.05,34,164712.4221579359,287.4946849346161,52.8,"[21, 22]"
100,0.05,45,164712.4221579359,283.151957988739,52.8,"[21, 22]"
100,0.05,56,164712.4221579359,220.65107226371765,52.8,"[21, 22]"
100,0.05,67,164712.4221579359,449.0034716129303,52.8,"[21, 22]"
100,0.05,78,164712.4221579359,401.2647304534912,52.8,"[21, 22]"
100,0.05,89,164712.4221579359,266.2028272151947,52.8,"[21, 22]"
100,0.05,90,164712.4221579359,331.48433208465576,52.8,"[21, 22]"
300,0.01,0,179453.50695853308,53.45614433288574,10.5,"[27, 28, 54, 61, 68, 75]"
300,0.01,12,179453.50695853308,53.284311056137085,10.5,"[27, 28, 54, 61, 68, 75]"
300,0.01,23,175818.4939495062,19.307923316955566,10.5,"[8, 9, 10, 23, 54, 61]"
300,0.01,34,178347.93244882714,51.53472638130188,10.5,"[21, 22, 54, 61, 68, 75]"
300,0.01,45,177977.39425646738,67.60903286933899,10.5,"[27, 28, 47, 54, 61, 68]"
300,0.01,56,182325.9253164978,30.53964376449585,10.5,"[6, 7, 8, 9, 10, 51, 66]"
300,0.01,67,179453.50695853308,53.31553602218628,10.5,"[27, 28, 54, 61, 68, 75]"
300,0.01,78,171059.4883557185,44.48948121070862,10.5,"[15, 34, 53, 60, 67, 74]"
300,0.01,89,175087.42198997547,28.212076425552368,10.5,"[21, 22, 54, 61, 66, 73]"
300,0.01,90,182566.0601952289,27.915263891220093,10.5,"[6, 7, 8, 9, 10, 49, 61]"
300,0.02,0,178273.84164012177,248.58201026916504,21.0,"[8, 9, 10, 54, 61, 68]"
300,0.02,12,179761.37531711857,475.8721342086792,21.0,"[15, 16, 52, 59, 66, 73]"
300,0.02,23,181857.85244362662,430.99209356307983,21.0,"[7, 8, 9, 10, 51, 58]"
300,0.02,34,182325.9253164978,224.25959038734436,21.0,"[6, 7, 8, 9, 10, 51, 66]"
300,0.02,45,185240.3214066418,133.43725299835205,21.0,"[7, 8, 9, 10, 26, 27, 28]"
300,0.02,56,185240.3214066418,275.40377378463745,21.0,"[7, 8, 9, 10, 26, 27, 28]"
300,0.02,67,182592.78721991327,205.09223818778992,21.0,"[8, 9, 10, 51, 58, 65]"
300,0.02,78,179755.15606496626,168.86639833450317,21.0,"[7, 8, 9, 10, 47, 54]"
300,0.02,89,182592.78721991327,208.85697150230408,21.0,"[8, 9, 10, 51, 58, 65]"
300,0.02,90,176911.80108500412,335.20220923423767,21.0,"[15, 16, 59, 61, 66, 73]"
300,0.03,0,180382.14614717508,1728.201866388321,31.5,"[20, 21, 22, 59, 66, 73]"
300,0.03,12,185240.3214066418,555.1815891265869,31.5,"[7, 8, 9, 10, 26, 27, 28]"
300,0.03,23,185240.3214066418,1726.7803027629852,31.5,"[7, 8, 9, 10, 26, 27, 28]"
300,0.03,34,180382.14614717508,1700.302194595337,31.5,"[20, 21, 22, 59, 66, 73]"
300,0.03,45,181590.49836315433,974.2390031814575,31.5,"[6, 7, 8, 9, 10, 16, 61]"
300,0.03,56,179974.6084687156,1545.901082277298,31.5,"[7, 8, 9, 10, 54, 61]"
300,0.03,67,185240.3214066418,808.7624230384827,31.5,"[7, 8, 9, 10, 26, 27, 28]"
300,0.03,78,185240.3214066418,1734.8565249443054,31.5,"[7, 8, 9, 10, 26, 27, 28]"
300,0.03,89,185240.3214066418,807.7313885688782,31.5,"[7, 8, 9, 10, 26, 27, 28]"
300,0.03,90,182019.2590167976,1352.7435011863708,31.5,"[21, 22, 52, 59, 66, 73]"
300,0.04,0,182592.78721991327,1265.1080920696259,42.3,"[8, 9, 10, 51, 58, 65]"
300,0.04,12,184154.41210566822,1574.1132011413574,42.3,"[16, 26, 27, 28, 59, 66, 73]"
300,0.04,23,180540.80708458545,3178.7660546302795,42.3,"[8, 9, 52, 59, 66, 73]"
300,0.04,34,182925.36444785292,3567.689869403839,42.3,"[16, 25, 26, 27, 28, 59, 66]"
300,0.04,45,180382.14614717508,2618.8199853897095,42.3,"[20, 21, 22, 59, 66, 73]"
300,0.04,56,185240.3214066418,2805.4946887493134,42.3,"[7, 8, 9, 10, 26, 27, 28]"
300,0.04,67,184211.8825538808,4029.893481492996,42.3,"[25, 26, 27, 28, 61, 68]"
300,0.04,78,184154.41210566822,1726.5928478240967,42.3,"[16, 26, 27, 28, 59, 66, 73]"
300,0.04,89,178273.84164012177,3179.4377682209015,42.3,"[8, 9, 10, 54, 61, 68]"
300,0.04,90,182019.2590167976,2272.558673143387,42.3,"[21, 22, 52, 59, 66, 73]"
300,0.05,0,185240.3214066418,1977.2525148391724,52.8,"[7, 8, 9, 10, 26, 27, 28]"
300,0.05,12,185240.3214066418,4719.699597358704,52.8,"[7, 8, 9, 10, 26, 27, 28]"
300,0.05,23,185240.3214066418,4905.89209485054,52.8,"[7, 8, 9, 10, 26, 27, 28]"
300,0.05,34,184154.41210566822,2908.9414064884186,52.8,"[16, 26, 27, 28, 59, 66, 73]"
300,0.05,45,182019.2590167976,2605.1809327602386,52.8,"[21, 22, 52, 59, 66, 73]"
300,0.05,56,185240.3214066418,2002.5487823486328,52.8,"[7, 8, 9, 10, 26, 27, 28]"
300,0.05,67,182019.2590167976,3481.8956730365753,52.8,"[21, 22, 52, 59, 66, 73]"
300,0.05,78,185240.3214066418,3113.7232744693756,52.8,"[7, 8, 9, 10, 26, 27, 28]"
300,0.05,89,178273.84164012177,2317.712455034256,52.8,"[8, 9, 10, 54, 61, 68]"
300,0.05,90,182019.2590167976,5692.13325381279,52.8,"[21, 22, 52, 59, 66, 73]"
500,0.01,0,203217.81380855484,129.34598183631897,10.5,"[8, 9, 10, 26, 27, 28, 54, 61, 66, 68, 73]"
500,0.01,12,203217.81380855484,126.19517183303833,10.5,"[8, 9, 10, 26, 27, 28, 54, 61, 66, 68, 73]"
500,0.01,23,194959.3469579476,32.52795958518982,10.5,"[8, 9, 10, 33, 34, 52, 59, 61, 66, 73]"
500,0.01,34,199689.3453847879,114.99238133430481,10.5,"[6, 7, 8, 9, 10, 21, 22, 28, 54, 61, 68]"
500,0.01,45,196452.30820863406,56.35126543045044,10.5,"[9, 15, 16, 27, 28, 54, 59, 61, 66, 68, 73]"
500,0.01,56,202127.23504777643,47.98928451538086,10.5,"[7, 8, 9, 10, 27, 28, 51, 54, 58, 61, 68]"
500,0.01,67,203217.81380855484,126.45375180244446,10.5,"[8, 9, 10, 26, 27, 28, 54, 61, 66, 68, 73]"
500,0.01,78,184307.19687147008,65.4233341217041,10.5,"[2, 15, 28, 34, 44, 51, 58, 60, 65, 67, 74]"
500,0.01,89,190304.61202994603,74.73406672477722,10.5,"[14, 15, 16, 21, 22, 47, 54, 61, 66, 73]"
500,0.01,90,197358.4390210248,32.841132402420044,10.5,"[6, 7, 8, 9, 10, 21, 22, 49, 54, 56, 61]"
