budget,size,seed,obj,time,loss_bound,projects
100,0.01,0,164248.1235219008,13.39737606048584,10.5,"[58, 65]"
100,0.01,12,164248.1235219008,12.36283564567566,10.5,"[58, 65]"
100,0.01,23,164248.1235219008,15.106348991394043,10.5,"[58, 65]"
100,0.01,34,162314.8882362769,13.493706941604614,10.5,"[21, 60]"
100,0.01,45,164425.69225563642,10.762053966522217,10.5,"[26, 27]"
100,0.01,56,162314.8882362769,15.995900392532349,10.5,"[21, 60]"
100,0.01,67,163699.15482394464,16.620377779006958,10.5,"[15, 16]"
100,0.01,78,164712.4221579359,10.066366195678711,10.5,"[21, 22]"
100,0.01,89,164248.1235219008,20.426780700683594,10.5,"[58, 65]"
100,0.01,90,164248.1235219008,11.4222571849823,10.5,"[58, 65]"
100,0.02,0,164712.4221579359,70.46243691444397,21.0,"[21, 22]"
100,0.02,12,164712.4221579359,53.5514919757843,21.0,"[21, 22]"
100,0.02,23,164712.4221579359,66.60487127304077,21.0,"[21, 22]"
100,0.02,34,164712.4221579359,42.489702463150024,21.0,"[21, 22]"
100,0.02,45,164712.4221579359,80.96858882904053,21.0,"[21, 22]"
100,0.02,56,164425.69225563642,56.45261836051941,21.0,"[26, 27]"
100,0.02,67,162314.8882362769,47.41995716094971,21.0,"[21, 60]"
100,0.02,78,163130.875317269,71.01451635360718,21.0,"[27, 28]"
100,0.02,89,164248.1235219008,62.4179573059082,21.0,"[58, 65]"
100,0.02,90,164712.4221579359,45.67503523826599,21.0,"[21, 22]"
100,0.03,0,164712.4221579359,112.50832033157349,31.5,"[21, 22]"
100,0.03,12,164712.4221579359,142.453848361969,31.5,"[21, 22]"
100,0.03,23,164425.69225563642,154.08777499198914,31.5,"[26, 27]"
100,0.03,34,164712.4221579359,98.78010606765747,31.5,"[21, 22]"
100,0.03,45,164712.4221579359,91.45750904083252,31.5,"[21, 22]"
100,0.03,56,164712.4221579359,90.39489006996155,31.5,"[21, 22]"
100,0.03,67,164712.4221579359,119.74427914619446,31.5,"[21, 22]"
100,0.03,78,164712.4221579359,130.21454119682312,31.5,"[21, 22]"
100,0.03,89,164248.1235219008,76.0963990688324,31.5,"[58, 65]"
100,0.03,90,164712.4221579359,88.4888904094696,31.5,"[21, 22]"
100,0.04,0,164712.4221579359,416.9030511379242,42.3,"[21, 22]"
100,0.04,12,164712.4221579359,215.3334035873413,42.3,"[21, 22]"
