budget,size,seed,obj,time,loss_bound,projects
100,0.01,0,162010.6846943313,6.772872686386108,10.5,"[8, 9]"
100,0.01,12,164248.1235219008,4.938457012176514,10.5,"[58, 65]"
100,0.01,23,164712.4221579359,1.591874599456787,10.5,"[21, 22]"
100,0.01,34,163130.875317269,3.258364677429199,10.5,"[27, 28]"
100,0.01,45,164712.4221579359,0.8868057727813721,10.5,"[21, 22]"
100,0.01,56,163699.15482394464,2.6232235431671143,10.5,"[15, 16]"
100,0.01,67,161392.08413567068,3.7404627799987793,10.5,"[26, 72]"
100,0.01,78,163208.30620095233,3.1713953018188477,10.5,"[51, 58]"
100,0.01,89,160253.04398322635,5.752530813217163,10.5,"[6, 13]"
100,0.01,90,162830.69269972996,4.059705495834351,10.5,"[21, 66]"
100,0.02,0,164712.4221579359,16.064076900482178,21.0,"[21, 22]"
100,0.02,12,164248.1235219008,12.206428289413452,21.0,"[58, 65]"
100,0.02,23,164712.4221579359,10.369733095169067,21.0,"[21, 22]"
100,0.02,34,163130.875317269,12.75501298904419,21.0,"[27, 28]"
100,0.02,45,164712.4221579359,14.10143494606018,21.0,"[21, 22]"
100,0.02,56,163699.15482394464,16.197570323944092,21.0,"[15, 16]"
100,0.02,67,161392.08413567068,15.96495509147644,21.0,"[26, 72]"
100,0.02,78,164712.4221579359,11.870096206665039,21.0,"[21, 22]"
100,0.02,89,162150.98745153012,15.02234148979187,21.0,"[26, 66]"
100,0.02,90,164712.4221579359,12.509108304977417,21.0,"[21, 22]"
100,0.03,0,164712.4221579359,31.963327407836914,31.5,"[21, 22]"
100,0.03,12,161392.08413567068,25.09757971763611,31.5,"[26, 72]"
100,0.03,23,163208.30620095233,26.155996084213257,31.5,"[51, 58]"
100,0.03,34,163130.875317269,29.430643558502197,31.5,"[27, 28]"
100,0.03,45,164712.4221579359,32.89465022087097,31.5,"[21, 22]"
100,0.03,56,163130.875317269,38.20427703857422,31.5,"[27, 28]"
100,0.03,67,162150.98745153012,42.0850727558136,31.5,"[26, 66]"
100,0.03,78,163208.30620095233,31.327271699905396,31.5,"[51, 58]"
100,0.03,89,161735.41729248592,32.24780583381653,31.5,"[65, 72]"
100,0.03,90,164712.4221579359,28.884296655654907,31.5,"[21, 22]"
100,0.04,0,164712.4221579359,62.104623794555664,42.3,"[21, 22]"
100,0.04,12,161392.08413567068,258.4016330242157,42.3,"[26, 72]"
100,0.04,23,161392.08413567068,61.52429723739624,42.3,"[26, 72]"
100,0.04,34,163130.875317269,61.534934282302856,42.3,"[27, 28]"
100,0.04,45,164712.4221579359,70.46102499961853,42.3,"[21, 22]"
100,0.04,56,163130.875317269,68.49330973625183,42.3,"[27, 28]"
100,0.04,67,164425.69225563642,79.48887157440186,42.3,"[26, 27]"
100,0.04,78,163208.30620095233,73.70753574371338,42.3,"[51, 58]"
100,0.04,89,164425.69225563642,298.8123052120209,42.3,"[26, 27]"
100,0.04,90,164425.69225563642,55.938117027282715,42.3,"[26, 27]"
100,0.05,0,164712.4221579359,484.4405553340912,52.8,"[21, 22]"
100,0.05,12,164712.4221579359,363.03968715667725,52.8,"[21, 22]"
100,0.05,23,164712.4221579359,370.23826789855957,52.8,"[21, 22]"
100,0.05,34,160126.7755390569,346.165433883667,52.8,"[7, 44]"
100,0.05,45,164712.4221579359,478.02733635902405,52.8,"[21, 22]"
100,0.05,56,164425.69225563642,182.8556728363037,52.8,"[26, 27]"
100,0.05,67,164425.69225563642,372.61826825141907,52.8,"[26, 27]"
100,0.05,78,163208.30620095233,347.3102436065674,52.8,"[51, 58]"
100,0.05,89,164425.69225563642,538.7116768360138,52.8,"[26, 27]"
100,0.05,90,164712.4221579359,391.71495366096497,52.8,"[21, 22]"
300,0.01,0,182924.00399281198,12.686139345169067,10.5,"[6, 7, 8, 9, 10, 49, 51]"
300,0.01,12,174666.34236908035,8.126468658447266,10.5,"[8, 24, 25, 51, 58, 65]"
300,0.01,23,170581.21745366536,16.629899263381958,10.5,"[21, 22, 23, 59, 68, 69]"
300,0.01,34,174246.57655284653,8.44241452217102,10.5,"[26, 27, 28, 32, 73, 75]"
300,0.01,45,182019.2590167976,6.759110927581787,10.5,"[21, 22, 52, 59, 66, 73]"
300,0.01,56,170597.49829250158,8.281926155090332,10.5,"[14, 15, 16, 32, 51, 59]"
300,0.01,67,180637.99008915963,9.903183221817017,10.5,"[25, 26, 27, 28, 68, 71]"
300,0.01,78,180794.4106287658,7.602596282958984,10.5,"[7, 8, 9, 10, 52, 59]"
300,0.01,89,180874.50917339427,14.358575105667114,10.5,"[14, 15, 51, 58, 65, 72]"
300,0.01,90,178083.1363816985,9.704564809799194,10.5,"[20, 21, 22, 23, 59, 66]"
300,0.02,0,183667.70229535757,84.02784323692322,21.0,"[7, 26, 27, 28, 59, 66, 73]"
300,0.02,12,177317.50424182948,51.78928351402283,21.0,"[7, 8, 25, 51, 58, 65]"
300,0.02,23,182983.65101466046,87.82442283630371,21.0,"[21, 22, 51, 58, 65, 72]"
300,0.02,34,178918.1985977377,81.47289109230042,21.0,"[16, 26, 27, 28, 60, 66, 67]"
300,0.02,45,175761.03285368925,53.43367600440979,21.0,"[15, 16, 21, 22, 61, 68]"
300,0.02,56,173743.85937119872,68.43251872062683,21.0,"[26, 32, 33, 34, 66, 73]"
300,0.02,67,182928.3674345164,128.73058342933655,21.0,"[7, 26, 51, 58, 65, 72]"
300,0.02,78,177796.67505947273,59.06832003593445,21.0,"[19, 20, 21, 22, 23, 57]"
300,0.02,89,174387.45696930055,80.71758532524109,21.0,"[25, 26, 58, 65, 72, 79]"
300,0.02,90,181597.3255973119,41.06034231185913,21.0,"[6, 25, 26, 27, 28, 59, 66]"
300,0.03,0,182325.9253164978,454.76811933517456,31.5,"[6, 7, 8, 9, 10, 51, 66]"
300,0.03,12,182928.3674345164,355.1225092411041,31.5,"[7, 26, 51, 58, 65, 72]"
300,0.03,23,182924.00399281198,306.9285147190094,31.5,"[6, 7, 8, 9, 10, 49, 51]"
300,0.03,34,180929.44178921788,390.54810547828674,31.5,"[24, 25, 26, 27, 28, 75]"
300,0.03,45,181205.02649609224,404.46410489082336,31.5,"[6, 7, 8, 9, 10, 22, 49]"
300,0.03,56,185240.3214066418,539.0588719844818,31.5,"[7, 8, 9, 10, 26, 27, 28]"
300,0.03,67,181300.29461857182,382.3824291229248,31.5,"[6, 7, 8, 9, 10, 46, 49]"
300,0.03,78,180583.18594086866,228.21369552612305,31.5,"[24, 25, 26, 27, 28, 63]"
300,0.03,89,178273.84164012177,373.01630306243896,31.5,"[8, 9, 10, 54, 61, 68]"
300,0.03,90,182925.36444785292,238.41559314727783,31.5,"[16, 25, 26, 27, 28, 59, 66]"
300,0.04,0,187554.97117318457,1068.882973432541,42.3,"[7, 26, 27, 28, 51, 58, 65]"
300,0.04,12,182924.00399281198,1531.5049302577972,42.3,"[6, 7, 8, 9, 10, 49, 51]"
300,0.04,23,178297.3638532718,1255.0009338855743,42.3,"[20, 21, 22, 23, 51, 58]"
300,0.04,34,180929.44178921788,1236.3941204547882,42.3,"[24, 25, 26, 27, 28, 75]"
300,0.04,45,186537.65009832836,927.1985459327698,42.3,"[9, 26, 27, 28, 51, 58, 65]"
300,0.04,56,185240.3214066418,1218.9148843288422,42.3,"[7, 8, 9, 10, 26, 27, 28]"
300,0.04,67,184154.41210566822,681.7326567173004,42.3,"[16, 26, 27, 28, 59, 66, 73]"
300,0.04,78,180583.18594086866,556.4693059921265,42.3,"[24, 25, 26, 27, 28, 63]"
