budget,size,seed,obj,time,loss_bound,projects
100,0.01,0,162010.6846943313,10.41764760017395,10.5,"[8, 9]"
100,0.01,12,164248.1235219008,6.939948558807373,10.5,"[58, 65]"
100,0.01,23,164712.4221579359,7.155928134918213,10.5,"[21, 22]"
100,0.01,34,159771.9827052833,4.408764839172363,10.5,"[32, 51]"
100,0.01,45,164712.4221579359,2.9350571632385254,10.5,"[21, 22]"
100,0.01,56,163699.15482394464,7.95031213760376,10.5,"[15, 16]"
100,0.01,67,161905.82149935447,8.552915096282959,10.5,"[9, 10]"
100,0.01,78,162453.97581757742,8.148605585098267,10.5,"[66, 73]"
100,0.01,89,160088.73916696958,10.184531688690186,10.5,"[13, 50]"
100,0.01,90,162830.69269972996,11.38264513015747,10.5,"[21, 66]"
100,0.02,0,163130.875317269,44.93242835998535,21.0,"[27, 28]"
100,0.02,12,164425.69225563642,58.46540284156799,21.0,"[26, 27]"
100,0.02,23,164712.4221579359,12.439616203308105,21.0,"[21, 22]"
100,0.02,34,164712.4221579359,26.11633586883545,21.0,"[21, 22]"
100,0.02,45,164712.4221579359,41.58265781402588,21.0,"[21, 22]"
100,0.02,56,164425.69225563642,24.09913921356201,21.0,"[26, 27]"
100,0.02,67,161069.79770294612,48.49423003196716,21.0,"[6, 7]"
100,0.02,78,163699.15482394464,45.63952970504761,21.0,"[15, 16]"
100,0.02,89,164248.1235219008,34.98862552642822,21.0,"[58, 65]"
100,0.02,90,164712.4221579359,75.17686438560486,21.0,"[21, 22]"
100,0.03,0,162747.921638476,120.16212368011475,31.5,"[61, 68]"
100,0.03,12,164712.4221579359,193.9726893901825,31.5,"[21, 22]"
100,0.03,23,164712.4221579359,87.89926147460938,31.5,"[21, 22]"
100,0.03,34,164712.4221579359,69.24027132987976,31.5,"[21, 22]"
100,0.03,45,164712.4221579359,95.73443412780762,31.5,"[21, 22]"
100,0.03,56,163699.15482394464,172.2873375415802,31.5,"[15, 16]"
100,0.03,67,164712.4221579359,137.16122221946716,31.5,"[21, 22]"
100,0.03,78,163699.15482394464,219.28641939163208,31.5,"[15, 16]"
100,0.03,89,162747.921638476,118.98912906646729,31.5,"[61, 68]"
100,0.03,90,163130.875317269,185.87034821510315,31.5,"[27, 28]"
100,0.04,0,163699.15482394464,235.06856155395508,42.3,"[15, 16]"
100,0.04,12,164425.69225563642,580.0327880382538,42.3,"[26, 27]"
100,0.04,23,164712.4221579359,114.06750798225403,42.3,"[21, 22]"
100,0.04,34,164248.1235219008,251.20680570602417,42.3,"[58, 65]"
100,0.04,45,164712.4221579359,312.7497081756592,42.3,"[21, 22]"
100,0.04,56,164425.69225563642,217.81371641159058,42.3,"[26, 27]"
100,0.04,67,163130.875317269,197.6752369403839,42.3,"[27, 28]"
100,0.04,78,164712.4221579359,310.67479705810547,42.3,"[21, 22]"
100,0.04,89,162747.921638476,575.0531349182129,42.3,"[61, 68]"
100,0.04,90,164712.4221579359,367.316623210907,42.3,"[21, 22]"
100,0.05,0,164425.69225563642,594.5093379020691,52.8,"[26, 27]"
100,0.05,12,164712.4221579359,503.9620826244354,52.8,"[21, 22]"
100,0.05,23,164712.4221579359,381.18995666503906,52.8,"[21, 22]"
100,0.05,34,164712.4221579359,703.4801201820374,52.8,"[21, 22]"
100,0.05,45,164712.4221579359,501.15002274513245,52.8,"[21, 22]"
100,0.05,56,164425.69225563642,613.559732913971,52.8,"[26, 27]"
100,0.05,67,164712.4221579359,714.8825101852417,52.8,"[21, 22]"
100,0.05,78,164712.4221579359,422.9378900527954,52.8,"[21, 22]"
100,0.05,89,164712.4221579359,804.6947066783905,52.8,"[21, 22]"
100,0.05,90,164712.4221579359,491.3703019618988,52.8,"[21, 22]"
300,0.01,0,176207.09416285937,92.59857988357544,10.5,"[14, 15, 16, 61, 68, 75]"
300,0.01,12,176474.01941203853,59.56934571266174,10.5,"[12, 13, 14, 15, 16, 54]"
300,0.01,23,177321.07924469723,57.25020694732666,10.5,"[21, 22, 47, 54, 61, 68]"
300,0.01,34,174246.57655284653,73.8440809249878,10.5,"[26, 27, 28, 32, 73, 75]"
300,0.01,45,170837.11974138592,34.702229261398315,10.5,"[13, 14, 50, 57, 64, 71]"
300,0.01,56,174429.12187376263,42.348026752471924,10.5,"[8, 9, 10, 15, 16, 47]"
300,0.01,67,180427.86385638473,32.46620845794678,10.5,"[6, 25, 26, 27, 28, 68, 74]"
300,0.01,78,176010.0673625117,31.041383504867554,10.5,"[19, 20, 21, 22, 50, 57]"
300,0.01,89,180282.93874561365,33.51157212257385,10.5,"[19, 20, 21, 22, 23, 61]"
300,0.01,90,179995.9685910415,31.691789865493774,10.5,"[19, 20, 21, 22, 23, 66]"
300,0.02,0,183667.70229535757,350.426646232605,21.0,"[7, 26, 27, 28, 59, 66, 73]"
300,0.02,12,177931.6189525389,593.8152768611908,21.0,"[12, 13, 14, 15, 16, 61]"
300,0.02,23,182019.2590167976,430.7731239795685,21.0,"[21, 22, 52, 59, 66, 73]"
300,0.02,34,177329.6128964522,643.6695051193237,21.0,"[19, 20, 21, 22, 61, 64]"
300,0.02,45,179199.75169880115,296.73775362968445,21.0,"[7, 8, 9, 10, 11, 47]"
300,0.02,56,179451.58520447998,700.7937512397766,21.0,"[19, 20, 21, 22, 66, 73]"
300,0.02,67,182681.95067468012,654.9566292762756,21.0,"[7, 8, 51, 58, 65, 72]"
300,0.02,78,182566.0601952289,396.9238986968994,21.0,"[6, 7, 8, 9, 10, 49, 61]"
300,0.02,89,178544.87727619108,1022.7588069438934,21.0,"[14, 15, 16, 58, 65, 72]"
300,0.02,90,179995.9685910415,436.2557363510132,21.0,"[19, 20, 21, 22, 23, 66]"
300,0.03,0,184154.41210566822,2448.817042827606,31.5,"[16, 26, 27, 28, 59, 66, 73]"
300,0.03,12,179327.20660097513,2528.580531358719,31.5,"[16, 26, 27, 28, 60, 67, 74]"
300,0.03,23,178347.93244882714,2744.573560476303,31.5,"[21, 22, 54, 61, 68, 75]"
300,0.03,34,178505.37035827758,2484.272292137146,31.5,"[20, 21, 22, 54, 61, 68]"
300,0.03,45,182566.0601952289,1223.4590938091278,31.5,"[6, 7, 8, 9, 10, 49, 61]"
300,0.03,56,179451.58520447998,2117.1693589687347,31.5,"[19, 20, 21, 22, 66, 73]"
300,0.03,67,182372.61807454893,1810.8866600990295,31.5,"[26, 27, 28, 61, 68, 75]"
300,0.03,78,179974.6084687156,1946.564744234085,31.5,"[7, 8, 9, 10, 54, 61]"
300,0.03,89,182566.0601952289,2531.1698620319366,31.5,"[6, 7, 8, 9, 10, 49, 61]"
300,0.03,90,178082.5467069892,1402.598878145218,31.5,"[19, 20, 21, 22, 23, 64]"
300,0.04,0,184154.41210566822,4803.274724960327,42.3,"[16, 26, 27, 28, 59, 66, 73]"
300,0.04,12,179327.20660097513,8472.137186527252,42.3,"[16, 26, 27, 28, 60, 67, 74]"
300,0.04,23,178347.93244882714,4032.9955236911774,42.3,"[21, 22, 54, 61, 68, 75]"
300,0.04,34,187554.97117318457,4701.368425607681,42.3,"[7, 26, 27, 28, 51, 58, 65]"
300,0.04,45,180263.39048393906,3917.294285774231,42.3,"[26, 45, 52, 59, 66, 73]"
300,0.04,56,184154.41210566822,5679.526837348938,42.3,"[16, 26, 27, 28, 59, 66, 73]"
300,0.04,67,184154.41210566822,2737.1267507076263,42.3,"[16, 26, 27, 28, 59, 66, 73]"
300,0.04,78,182924.00399281198,3401.0893399715424,42.3,"[6, 7, 8, 9, 10, 49, 51]"
300,0.04,89,182566.0601952289,6942.282254934311,42.3,"[6, 7, 8, 9, 10, 49, 61]"
300,0.04,90,179244.56802547036,3657.8035666942596,42.3,"[20, 21, 22, 52, 59, 66]"
300,0.05,0,183858.3097105746,6305.532281398773,52.8,"[24, 25, 26, 27, 28, 68]"
300,0.05,12,182566.0601952289,9693.511677980423,52.8,"[6, 7, 8, 9, 10, 49, 61]"
