budget,job_acc,projects
80,59114390,"[58, 79, 118, 121, 122, 147, 155, 161, 211, 212, 227, 269, 328, 374, 409, 416, 463, 709, 724, 837, 901, 925, 979, 993, 994, 996, 997, 1015, 1044, 1091, 1178, 1217, 1239, 1251, 1279]"
120,70603075,"[58, 79, 118, 121, 122, 147, 149, 155, 161, 211, 212, 227, 328, 374, 463, 509, 569, 630, 644, 684, 685, 709, 724, 726, 837, 901, 917, 918, 919, 925, 979, 996, 997, 1015, 1043, 1044, 1072, 1091, 1131, 1152, 1158, 1178, 1217, 1228, 1239, 1243, 1244, 1251, 1252, 1264]"
200,97425155,"[12, 13, 58, 59, 79, 118, 147, 149, 155, 161, 202, 211, 212, 227, 259, 262, 269, 328, 333, 334, 356, 374, 376, 377, 414, 463, 478, 509, 560, 568, 569, 591, 619, 620, 630, 656, 662, 695, 708, 709, 710, 718, 724, 726, 901, 909, 925, 996, 997, 1024, 1043, 1044, 1072, 1073, 1131, 1162, 1164, 1171, 1195, 1217, 1228, 1239, 1243, 1244, 1246, 1247, 1251, 1252, 1256, 1273, 1274, 1279]"
400,104887870,"[12, 13, 18, 40, 58, 70, 79, 88, 119, 147, 148, 149, 155, 156, 161, 163, 211, 212, 227, 231, 232, 259, 262, 267, 269, 313, 320, 328, 331, 344, 356, 360, 367, 374, 375, 376, 409, 416, 422, 463, 464, 475, 509, 513, 560, 568, 569, 576, 587, 591, 600, 605, 618, 620, 630, 656, 674, 686, 694, 699, 709, 718, 724, 726, 750, 780, 797, 799, 801, 821, 834, 837, 901, 902, 912, 925, 943, 947, 979, 986, 993, 994, 995, 996, 997, 1015, 1024, 1034, 1043, 1044, 1072, 1091, 1093, 1127, 1131, 1141, 1164, 1178, 1183, 1196, 1217, 1228, 1239, 1243, 1251, 1252]"
40,38425980,"[58, 79, 118, 121, 122, 155, 211, 212, 227, 463, 724, 837, 901, 925, 979, 1044, 1091, 1178, 1211, 1217, 1239, 1251, 1252]"
160,85876260,"[12, 13, 58, 71, 79, 118, 121, 122, 147, 149, 155, 161, 211, 212, 222, 227, 269, 374, 376, 409, 413, 416, 463, 630, 644, 656, 695, 709, 724, 726, 837, 901, 908, 909, 917, 918, 919, 925, 937, 979, 993, 994, 996, 997, 1015, 1024, 1039, 1043, 1044, 1072, 1091, 1131, 1164, 1178, 1217, 1228, 1239, 1243, 1244, 1251, 1252, 1279]"
240,109481050,"[12, 13, 18, 58, 70, 79, 86, 88, 118, 147, 148, 149, 155, 161, 182, 211, 212, 222, 227, 269, 320, 328, 374, 376, 409, 413, 416, 422, 463, 478, 568, 569, 630, 644, 656, 674, 695, 699, 709, 717, 724, 726, 743, 834, 837, 901, 908, 909, 925, 937, 967, 979, 993, 994, 995, 996, 997, 1015, 1033, 1035, 1039, 1043, 1044, 1072, 1073, 1091, 1131, 1158, 1162, 1164, 1178, 1217, 1228, 1239, 1243, 1244, 1247, 1251, 1252, 1264]"
360,83621795,"[12, 13, 18, 40, 58, 86, 147, 155, 161, 182, 202, 203, 211, 217, 227, 231, 249, 260, 279, 318, 320, 328, 334, 356, 367, 374, 376, 377, 409, 414, 415, 416, 422, 436, 437, 463, 477, 513, 576, 587, 596, 619, 644, 662, 674, 685, 694, 708, 709, 710, 718, 724, 726, 755, 780, 781, 785, 799, 800, 814, 832, 838, 901, 912, 918, 925, 937, 943, 944, 979, 994, 995, 998, 1000, 1026, 1033, 1034, 1035, 1039, 1044, 1053, 1054, 1056, 1072, 1090, 1091, 1131, 1152, 1163, 1164, 1178, 1202, 1217, 1228, 1243, 1244, 1247, 1251, 1252, 1266, 1279]"
280,78313295,"[12, 18, 58, 79, 86, 88, 121, 147, 149, 155, 156, 161, 182, 190, 211, 212, 227, 259, 270, 271, 313, 320, 328, 367, 374, 376, 409, 416, 422, 463, 478, 513, 538, 568, 569, 576, 587, 631, 643, 656, 694, 695, 699, 709, 718, 724, 726, 734, 743, 749, 751, 821, 830, 834, 840, 879, 901, 908, 909, 917, 925, 937, 942, 944, 967, 993, 994, 996, 997, 1015, 1033, 1035, 1039, 1043, 1044, 1093, 1126, 1131, 1156, 1158, 1163, 1164, 1165, 1181, 1184, 1212, 1221, 1225, 1228, 1235, 1239, 1242, 1243, 1244, 1251, 1252, 1264, 1273, 1274]"
320,112342320,"[18, 58, 70, 79, 120, 147, 148, 155, 161, 164, 180, 212, 222, 227, 261, 320, 350, 356, 367, 374, 376, 413, 430, 438, 463, 469, 477, 490, 510, 558, 568, 569, 576, 587, 625, 629, 630, 632, 644, 656, 674, 684, 685, 694, 699, 709, 717, 724, 735, 799, 821, 834, 837, 901, 908, 912, 925, 937, 957, 993, 994, 995, 996, 1024, 1043, 1044, 1070, 1072, 1073, 1131, 1158, 1162, 1164, 1228, 1243, 1244, 1247, 1251, 1252, 1256, 1263, 1273, 1274]"
